date,val
20170824,2.8479
20170825,2.855
20170828,2.851
20170829,2.922
20170830,2.9237
20170831,2.831
20170901,2.813
20170904,2.75
20170905,2.665
20170906,2.641
20170907,2.6406
20170908,2.636
20170911,2.644
20170912,2.6483
20170913,2.65
20170914,2.681
20170915,2.6958
20170918,2.756
20170919,2.832
20170920,2.79
20170921,2.8057
20170922,2.756
20170925,2.758
20170926,2.837
20170927,2.863
20170928,2.917
20170929,2.804
20170930,2.938
20171009,2.74
20171010,2.738
20171011,2.741
20171012,2.657
20171013,2.605
20171016,2.594
20171017,2.6003
20171018,2.596
20171019,2.592
20171020,2.5782
20171023,2.616
20171024,2.634
20171025,2.664
20171026,2.6937
20171027,2.7181
20171030,2.72
20171031,2.736
20171101,2.739
20171102,2.626
20171103,2.5772
20171106,2.512
20171107,2.552
20171108,2.595
20171109,2.646
20171110,2.717
20171113,2.787
20171114,2.827
20171115,2.806
20171116,2.8
20171117,2.738
20171120,2.786
20171121,2.808
20171122,2.809
20171123,2.803
20171124,2.797
20171127,2.819
20171128,2.799
20171129,2.683
20171130,2.788
20171201,2.642
20171204,2.6
20171205,2.579
20171206,2.573
20171207,2.585
20171208,2.608
20171211,2.688
20171212,2.726
20171213,2.788
20171214,2.803
20171215,2.724
20171218,2.723
20171219,2.741
20171220,2.73
20171221,2.665
20171222,2.612
20171225,2.569
20171226,2.589
20171227,2.666
20171228,2.672
20171229,2.84
20180102,2.657
20180103,2.5635
20180104,2.505
20180105,2.484
20180108,2.461
20180109,2.529
20180110,2.643
20180111,2.832
20180112,2.83
20180115,2.794
20180116,2.785
20180117,2.765
20180118,2.7655
20180119,2.836
20180122,2.771
20180123,2.602
20180124,2.574
20180125,2.5634
20180126,2.5506
20180129,2.566
20180130,2.554
20180131,2.594
20180201,2.5154
20180202,2.5173
20180205,2.5305
20180206,2.539
20180207,2.571
20180208,2.572
20180209,2.589
20180211,2.608
20180212,2.585
20180213,2.587
20180214,2.723
20180222,2.631
20180223,2.597
20180224,2.56
20180226,2.571
20180227,2.561
20180228,2.708
20180301,2.691
20180302,2.773
20180305,2.652
20180306,2.617
20180307,2.592
20180308,2.57
20180309,2.573
20180312,2.586
20180313,2.637
20180314,2.633
20180315,2.632
20180316,2.586
20180319,2.561
20180320,2.558
20180321,2.559
20180322,2.549
20180323,2.545
20180326,2.543
20180327,2.5935
20180328,2.592
20180329,2.581
20180330,2.69
20180402,2.622
20180403,2.574
20180404,2.469
20180408,2.446
20180409,2.528
20180410,2.551
20180411,2.561
20180412,2.557
20180413,2.557
20180416,2.582
20180417,2.665
20180418,2.679
20180419,2.733
20180420,2.747
20180423,2.724
20180424,2.736
20180425,2.728
20180426,2.765
20180427,2.921
20180428,2.824
20180502,2.72
20180503,2.681
20180504,2.594
20180507,2.582
20180508,2.575
20180509,2.52
20180510,2.509
20180511,2.487
20180514,2.58
20180515,2.641
20180516,2.766
20180517,2.597
20180518,2.563
20180521,2.527
20180522,2.525
20180523,2.53
20180524,2.53
20180525,2.528
20180528,2.533
20180529,2.742
20180530,2.884
20180531,2.831
20180601,2.801
20180604,2.599
20180605,2.584
20180606,2.562
20180607,2.555
20180608,2.563
20180611,2.573
20180612,2.584
20180613,2.589
20180614,2.591
20180615,2.592
20180619,2.59
20180620,2.619
20180621,2.593
20180622,2.586
20180625,2.564
20180626,2.518
20180627,2.445
20180628,2.289
20180629,2.628
20180702,2.519
20180703,2.42
20180704,2.199
20180705,2.132
20180706,1.967
20180709,1.991
20180710,2.308
20180711,2.406
20180712,2.487
20180713,2.48
20180716,2.557
20180717,2.591
20180718,2.525
20180719,2.416
20180720,2.346
20180723,2.362
20180724,2.353
20180725,2.349
20180726,2.321
20180727,2.284
20180730,2.198
20180731,2.066
20180801,2.028
20180802,1.97
20180803,1.849
20180806,1.819
20180807,1.613
20180808,1.422
20180809,1.622
20180810,1.826
20180813,2.113
20180814,2.328
20180815,2.345
20180816,2.511
20180817,2.58
20180820,2.625
20180821,2.636
20180822,2.538
20180823,2.454
20180824,2.392
20180827,2.44
20180828,2.4255
20180829,2.3895
20180830,2.277
20180831,2.309
20180903,2.277
20180904,2.195
20180905,2.164
20180906,2.494
20180907,2.591
20180910,2.573
20180911,2.59
20180912,2.557
20180913,2.53
20180914,2.489
20180917,2.466
20180918,2.654
20180919,2.562
20180920,2.519
20180921,2.514
20180925,2.543
20180926,2.553
20180927,2.46
20180928,2.445
20180929,2.073
20180930,2.653
20181008,2.536
20181009,2.502
20181010,2.398
20181011,2.36
20181012,2.439
20181015,2.377
20181016,2.373
20181017,2.353
20181018,2.427
20181019,2.445
20181022,2.475
20181023,2.451
20181024,2.393
20181025,2.215
20181026,2.067
20181029,1.852
20181030,1.566
20181031,2.37
20181101,2.547
20181102,2.477
20181105,2.4345
20181106,2.27
20181107,2.0906
20181108,1.978
20181109,2.038
20181112,2.309
20181113,2.468
20181114,2.325
20181115,2.339
20181116,2.345
20181119,2.551
20181120,2.609
20181121,2.579
20181122,2.456
20181123,2.356
20181126,2.498
20181127,2.556
20181128,2.539
20181129,2.262
20181130,2.642
20181203,2.515
20181204,2.445
20181205,2.267
20181206,2.418
20181207,2.416
20181210,2.453
20181211,2.463
20181212,2.424
20181213,2.519
20181214,2.655
20181217,2.625
20181218,2.669
20181219,2.654
20181220,2.567
20181221,2.486
20181224,2.316
20181225,2.028
20181226,2.029
20181227,1.793
20181228,1.47
20181229,2.554
20190102,2.3
20190103,1.968
20190104,1.649
20190107,1.447
20190108,1.414
20190109,1.567
20190110,1.743
20190111,1.708
20190114,1.878
20190115,2.245
20190116,2.306
20190117,2.259
20190118,2.1785
20190121,2.24
20190122,2.243
20190123,2.244
20190124,2.263
20190125,2.362
20190128,2.194
20190129,2.078
20190130,2.0021
20190131,2.238
20190201,2.1
20190202,2.264
20190203,2.086
20190211,2.265
20190212,2.017
20190213,1.722
20190214,1.721
20190215,1.713
20190218,1.8224
20190219,1.967
20190220,1.854
20190221,2.03
20190222,2.431
20190225,2.605
20190226,2.705
20190227,2.654
20190228,2.584
20190301,2.155
20190304,1.933
20190305,2.266
20190306,2.074
20190307,2.06
20190308,2.047
20190311,2.092
20190312,2.365
20190313,2.079
20190314,2.31
20190315,2.655
20190318,2.756
20190319,2.666
20190320,2.714
20190321,2.661
20190322,2.62
20190325,2.535
20190326,2.495
20190327,2.286
20190328,2.041
20190329,2.486
20190401,2.315
20190402,1.956
20190403,1.663
20190404,1.417
20190408,1.428
20190409,1.797
20190410,2.278
20190411,2.735
20190412,2.652
20190415,2.797
20190416,2.883
20190417,2.998
20190418,2.812
20190419,2.661
20190422,2.557
20190423,2.828
20190424,2.752
20190425,2.785
20190426,2.496
20190428,2.07
20190429,1.7
20190430,2.086
20190505,1.79
20190506,1.642
20190507,1.391
20190508,1.141
20190509,1.513
20190510,1.826
20190513,2.156
20190514,2.4123
20190515,2.5334
20190516,2.281
20190517,2.134
20190520,2.5845
20190521,2.75
20190522,2.623
20190523,2.584
20190524,2.342
20190527,2.666
20190528,2.76
20190529,2.491
20190530,2.067
20190531,2.194
20190603,2.003
20190604,1.738
20190605,1.593
20190606,1.521
20190610,1.848
20190611,2.053
20190612,1.939
20190613,1.924
20190614,1.723
20190617,1.801
20190618,1.601
20190619,1.447
20190620,1.253
20190621,1.112
20190624,1
20190625,1.023
20190626,0.991
20190627,0.9615
20190628,1.3705
20190701,1.065
20190702,0.914
20190703,0.877
20190704,0.844
20190705,1.055
