trade_date,per,normcjl,normcje,normccl,q,iv
20220705,-0.092885375,3.491778814,0.313758487,1.360906663,2.336534199,0.83877182
20220706,-0.6,0.139244306,-0.037607797,1.029491475,-1.830633882,0.054153442
20220706,-0.693877551,0.85481986,-0.031554683,2.372007431,-0.990664186,0.116325378
20220706,-0.267605634,-0.363578411,-0.038529938,-0.438159041,-0.691091273,0.119731903
20220706,-0.72,2.647358424,0.005586109,3.784651189,0.534748623,0.312515259
20220706,-0.636054422,4.858051207,0.132000127,3.550031822,1.650424091,0.511444092
20220706,-0.416058394,4.020340077,0.269788396,1.823145305,2.702501091,0.81608963
20220707,-0.368421053,-0.175905024,-0.038756978,1.05171835,-1.966922277,0.052787781
20220707,-0.548387097,0.325802299,-0.036100897,2.069924951,-1.062668271,0.109672546
20220707,-0.147540984,-0.40741675,-0.038899257,-0.419146709,-0.714338826,0.119056702
20220707,-0.456790123,1.047529417,-0.024269139,3.884873036,0.582109019,0.294891357
20220707,-0.252212389,2.651600299,0.037944089,3.527952985,1.783371498,0.496376038
20220707,-0.066666667,3.128937966,0.174533689,2.047253961,2.90676212,0.813308716
20220708,-1,-0.175465627,-0.038843036,0.983007486,-2.074283682,0.044807434
20220708,-0.576923077,0.142032789,-0.037346554,1.959319282,-1.125113964,0.104042053
20220708,-0.6,-0.364440305,-0.038764964,-0.4324067,-0.724714781,0.110649109
20220708,-0.507042254,1.250564812,-0.024329579,3.63898162,0.616424169,0.290290833
20220708,-0.279816514,3.47048494,0.058138557,3.595373801,1.879447516,0.500320435
20220708,-0.196581197,3.498251475,0.210430448,2.095514408,3.06575569,0.822738647
20220711,-0.222222222,-0.056372033,-0.038966689,0.861785365,-2.662619738,0.061019897
20220711,-0.315789474,0.058175487,-0.038345453,1.787066286,-1.427686234,0.132125854
20220711,-0.15625,-0.425888341,-0.03915164,-0.415953314,-0.794317505,0.124237061
20220711,-0.578947368,1.104093381,-0.032363529,3.829549054,0.767124288,0.31427002
20220711,-0.646017699,3.394790289,0.00970278,4.038050256,2.354465911,0.508087158
20220711,-0.428571429,3.975808842,0.121921839,3.052242868,3.911933033,0.828025818
20220712,-0.142857143,-0.283337687,-0.039194577,0.783980727,-2.918223018,0.066162109
20220712,-0.266666667,-0.083394973,-0.038736793,1.685258315,-1.561845707,0.139984131
20220712,-0.652173913,0.493500004,-0.036699917,3.517336532,-0.000891393,0.232635498
20220712,-0.275862069,-0.448551106,-0.039251519,-0.400959161,-0.55226857,0.173492432
20220712,-0.666666667,1.794826082,-0.020580669,4.295953914,2.56875431,0.484405518
20220712,-0.376518219,3.753693459,0.081177459,3.289336587,4.299269647,0.801292419
20220713,-0.6,-0.393795431,-0.039292685,0.769430689,-3.198653774,0.065032959
20220713,-0.5,-0.169330963,-0.03895355,1.480394622,-1.703345477,0.144042969
20220713,-0.263157895,0.133194142,-0.038100728,3.435788644,-0.003589815,0.239456177
20220713,-0.107142857,-0.441470048,-0.039236757,-0.381143193,-0.567051302,0.178390503
20220713,-0.574468085,1.002339085,-0.031310674,4.250717675,2.778987319,0.478347778
20220713,-0.310679612,3.31029079,0.042126827,3.484281722,4.664375962,0.804229736
20220714,-0.75,-0.396127617,-0.039303481,0.716792542,-3.516631099,0.074737549
20220714,-0.714285714,-0.142324923,-0.039032667,1.229914022,-1.849604234,0.15032959
20220714,-0.133333333,0.048643943,-0.038504568,3.2603634,-0.001332223,0.254821777
20220714,-0.086956522,-0.432242703,-0.039227038,-0.361179187,-0.583912549,0.183120728
20220714,-0.586206897,0.863759907,-0.034778378,4.232931946,3.032346041,0.474456787
20220714,-0.566929134,3.204497418,0.012777633,3.192371579,5.150753354,0.771240234
20220715,-0.2,-0.394775625,-0.039302923,0.691816386,-3.899542239,0.108612061
20220715,0.125,-0.237437559,-0.03917965,1.078724744,-2.022757094,0.192718506
20220715,-0.083333333,0.024882684,-0.038696196,3.058587361,0.005018155,0.290924072
20220715,-0.380952381,0.943696433,-0.03563929,4.228088982,2.185660709,0.417694092
20220715,-0.095238095,-0.430180915,-0.039230356,-0.321970218,-0.303894338,0.244110107
20220715,-0.984126984,3.458502911,0.004269576,3.173274654,5.752550339,0.745635986
20220718,-1,-0.37385355,-0.039303927,0.635836806,-5.134356803,0.086334229
20220718,-0.714285714,0.129611363,-0.038778478,2.526897664,-1.36627325,0.189331055
20220718,-0.142857143,-0.301978276,-0.039234051,1.006080294,-1.365868757,0.267822266
20220718,-0.157894737,0.51438828,-0.037501916,3.794041039,2.872212616,0.434875488
20220718,-0.05,-0.448770805,-0.039281104,-0.30866793,-0.325591853,0.234466553
20220718,0.152941176,1.668583832,-0.023835469,2.982072771,7.515275226,0.858306885
