,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
1746,20170807,10000943.SH,2.4,0.2795,0.2839,0.2833,0.294,0.2677,1744.0,485.4415,5532.0
1747,20170808,10000943.SH,2.4,0.2867,0.2869,0.2869,0.2922,0.2728,3229.0,910.0973,5166.0
1748,20170809,10000943.SH,2.4,0.2847,0.2696,0.2696,0.285,0.2658,2834.0,783.7985,5229.0
1749,20170810,10000943.SH,2.4,0.2686,0.2564,0.2564,0.2845,0.2379,5834.0,1521.8438,4756.0
1750,20170811,10000943.SH,2.4,0.25,0.2179,0.2179,0.2506,0.214,5328.0,1225.6822,4609.0
1751,20170814,10000943.SH,2.4,0.2179,0.2355,0.2355,0.2423,0.2159,4821.0,1099.4801,4111.0
1752,20170815,10000943.SH,2.4,0.2372,0.251,0.2509,0.2647,0.2372,4719.0,1207.8998,3987.0
1753,20170816,10000943.SH,2.4,0.2458,0.24,0.2389,0.2488,0.2335,2259.0,543.7147,3817.0
1754,20170817,10000943.SH,2.4,0.2408,0.2529,0.253,0.2571,0.2392,2671.0,665.1528,3151.0
1755,20170818,10000943.SH,2.4,0.2503,0.2646,0.2646,0.268,0.2421,2995.0,765.9643,2846.0
1756,20170821,10000943.SH,2.4,0.2664,0.263,0.2593,0.2777,0.2566,1808.0,481.4935,2480.0
1757,20170822,10000943.SH,2.4,0.264,0.289,0.2846,0.2846,0.2623,2722.0,749.123,2167.0
1758,20170823,10000943.SH,2.4,0.2863,0.308,0.303,0.3186,0.2863,2532.0,767.2656,1440.0
1759,20170711,10000947.SH,2.7,0.0136,0.0176,0.0176,0.0235,0.0129,22598.0,395.958,9983.0
1760,20170712,10000947.SH,2.7,0.0175,0.0188,0.0188,0.0265,0.0157,39972.0,879.5012,23750.0
1761,20170713,10000947.SH,2.7,0.019,0.0287,0.0287,0.0289,0.0189,32477.0,816.717,31238.0
1762,20170714,10000947.SH,2.7,0.032,0.0416,0.0416,0.0416,0.0293,36032.0,1232.1155,33133.0
1763,20170717,10000947.SH,2.7,0.048,0.049,0.049,0.0631,0.0355,58435.0,2949.8312,36062.0
1764,20170718,10000947.SH,2.7,0.0463,0.0428,0.0428,0.0546,0.0368,48159.0,2222.9951,48784.0
1765,20170719,10000947.SH,2.7,0.042,0.0605,0.0605,0.0614,0.042,50184.0,2709.6047,53019.0
1766,20170720,10000947.SH,2.7,0.0613,0.0652,0.0652,0.0677,0.0578,47035.0,2954.0055,58110.0
1767,20170721,10000947.SH,2.7,0.0654,0.045,0.045,0.0655,0.0429,49846.0,2782.1177,63710.0
1768,20170724,10000947.SH,2.7,0.0432,0.0549,0.0549,0.0591,0.0416,69433.0,3684.976,73036.0
1769,20170725,10000947.SH,2.7,0.0569,0.0406,0.0406,0.0607,0.04,72959.0,3680.0782,82186.0
1770,20170726,10000947.SH,2.7,0.0388,0.0391,0.0391,0.0515,0.0316,109790.0,4294.2995,97570.0
1771,20170727,10000947.SH,2.7,0.0377,0.0385,0.0385,0.0426,0.0333,88662.0,3391.8935,106446.0
1772,20170728,10000947.SH,2.7,0.039,0.039,0.039,0.0418,0.0353,52931.0,2064.9095,109917.0
