,trade_date,price,settle,per,normcjl,normcje,normccl,jc,dt,g_settle,q,iv,normprice,normsettle,normper,normjc,normdt,normgse,normq,normiv
1074,20160307,2.2,0.0471,0.230936819,-0.464538412,-0.038585392,-0.724337991,-0.089,51,0.1721,0.143789443,0.305620193,-1.296667926861321,-0.43106057313876683,0.0803521190366578,-0.1289884107466928,2.102429202308236,0.07921718156011692,-0.0619852676823572,0.20964602228660745
1075,20160308,2.2,0.049,0.069387755,-0.435183286,-0.037769343,-0.703443459,-0.085,50,0.1736,0.158648989,0.315052032,-1.296667926861321,-0.4167685772529873,0.06121920664452573,-0.11441844655837032,2.0318831838492186,0.08767913543285026,-0.05910531980460009,0.2549332878043977
1076,20160309,2.2,0.0393,-0.165394402,-0.456003962,-0.038432637,-0.692805858,-0.093,49,0.1926,0.23725414,0.314807892,-1.296667926861321,-0.48973297730144066,0.03341300133517899,-0.14355837493501533,1.9613371653902012,0.1948638844874724,-0.043870753566625675,0.2537610420733676
1077,20160310,2.2,0.031,-0.209677419,-0.444089533,-0.038046684,-0.671636399,-0.141,48,0.2066,0.150029541,0.308078766,-1.296667926861321,-0.5521664330130038,0.028168383608886908,-0.3183979451948855,1.890791146931184,0.2738421206329836,-0.06077586619781007,0.22145093628544385
1078,20160311,2.2,0.0328,0.085365854,-0.437380273,-0.038036797,-0.646914023,-0.134,47,0.2086,0.179876211,0.319366455,-1.296667926861321,-0.5386266474370021,0.06311155786458487,-0.2929005078653212,1.8202451284721668,0.285124725796628,-0.05499124438469296,0.2756491227499541
1079,20160314,2.2,0.0354,-0.096045198,-0.408211046,-0.03649271,-0.621430307,-0.124,44,0.1888,0.13927147,0.315849304,-1.296667926861321,-0.5190691793827775,0.04162630948901698,-0.25647559739451486,1.6086070730951152,0.17342693467654796,-0.06286090188767639,0.25876141387333296
1080,20160315,2.2,0.0351,-0.040229885,-0.418891782,-0.037418486,-0.592795494,-0.102,43,0.1828,0.207880038,0.311519623,-1.296667926861321,-0.5213258103121111,0.04823674391263227,-0.17634079435874098,1.538061054636098,0.1395791191856146,-0.04956378636291172,0.2379723171707355
1081,20160316,2.2,0.0345,0.002898551,-0.412148722,-0.037002076,-0.590786404,-0.065,42,0.168,0.304224094,0.29574585,-1.296667926861321,-0.5258390721707783,0.05334461991739622,-0.041568625616757685,1.4675150361770808,0.05608784097464586,-0.03089121994589515,0.16223406018094239
1082,20160317,2.25,0.0288,0.18245614,-0.404831066,-0.037309981,-0.685446246,-0.118,41,0.1423,0.001977245,0.245220184,-1.19466276030825,-0.5687150598281169,0.07461035513502308,-0.23462065111203106,1.3969690177180636,-0.08889363537818523,-0.08947007365625251,-0.080366481622749
1083,20160317,2.2,0.0414,0.140096618,-0.344954721,-0.033920275,-0.559867573,-0.068,41,0.179,0.316489219,0.333480835,-1.296667926861321,-0.47393656079610536,0.0695935447411319,-0.052496098757999585,1.3969690177180636,0.11814216937469019,-0.028514100166180768,0.34341975313062406
1084,20160318,2.25,0.0353,0.065155807,-0.302417673,-0.033331787,-0.555955135,-0.11,40,0.1292,-0.047626098,0.250953674,-1.19466276030825,-0.5198213896925554,0.06071799983882081,-0.20548072273538606,1.3264229992590464,-0.16279469920005632,-0.09908376188081255,-0.05283695276060497
1085,20160318,2.2,0.052,0.134615385,-0.366130295,-0.033764501,-0.528843,-0.06,40,0.159,0.223560904,0.34029007,-1.296667926861321,-0.3942022679596513,0.06894438003418031,-0.02335617038135451,1.3264229992590464,0.005316117738245824,-0.046524657390997384,0.3761145047499034
1086,20160321,2.25,0.0602,0.187707641,-0.197604495,-0.023979025,-0.481766859,-0.058,37,0.0934,-0.090703599,0.267276764,-1.19466276030825,-0.33252102255786603,0.07523231174728914,-0.01607118828719327,1.1147849438819948,-0.3647533316292919,-0.10743266820567807,0.025538866727067202
1087,20160321,2.2,0.0785,0.122292994,-0.179724401,-0.017478333,-0.403518107,-0.008,37,0.122,0.181455301,0.357780457,-1.296667926861321,-0.194866535868516,0.06748498917404759,0.1660533640668383,1.1147849438819948,-0.2034120777891764,-0.054685198904280065,0.4600951367430817
1088,20160322,2.3,0.0395,-0.240506329,-0.332060098,-0.03343189,-0.613922657,-0.131,36,0.1038,-0.286440337,0.235572815,-1.0926575937551792,-0.488228556681885,0.024517190469353002,-0.2819730347240793,1.0442389254229776,-0.30608378477834075,-0.14536865919774478,-0.12668862107520357
1089,20160322,2.25,0.054,-0.127777778,-0.283574285,-0.028856997,-0.400811123,-0.081,36,0.1365,0.027848801,0.323348999,-1.19466276030825,-0.3791580617640939,0.03786809103770907,-0.09984848237004777,1.0442389254229776,-0.1216131903527541,-0.08445587384177133,0.29477143045307375
1090,20160322,2.2,0.0711,-0.05625879,-0.290435645,-0.025923181,-0.343097381,-0.031,36,0.1707,0.346870659,0.424575806,-1.296667926861321,-0.2505300987920783,0.046338375531452376,0.08227606998398378,1.0442389254229776,0.07131935794556575,-0.022625833885958933,0.7808150626786778
1091,20160323,2.3,0.0404,0.056930693,-0.323052451,-0.033431953,-0.508138803,-0.129,35,0.1079,-0.270707903,0.246868134,-1.0926575937551792,-0.4814586638938841,0.05974386615038733,-0.274688052629918,0.9736929069639605,-0.2829544441928697,-0.14231953576488526,-0.0724537989306418
1092,20160323,2.25,0.055,0.04,-0.34346753,-0.032341867,-0.360121772,-0.079,35,0.139,0.044821995,0.33405304,-1.19466276030825,-0.3716359586663152,0.05773869535034429,-0.0925635002758865,0.9736929069639605,-0.10750993389819855,-0.08116627710449148,0.3461672130655964
1093,20160323,2.2,0.0723,0.031811895,-0.205716447,-0.020885688,-0.219464352,-0.029,35,0.176,0.38613641,0.441822052,-1.296667926861321,-0.24150357507474385,0.056768944788232835,0.08956105207814503,0.9736929069639605,0.10121826162922351,-0.01501568777106489,0.8636234441392953
1094,20160324,2.3,0.0279,-0.397849462,-0.32661833,-0.034862988,-0.424560676,-0.16,34,0.123,-0.299919859,0.236152649,-1.0926575937551792,-0.5754849526161178,0.005882403583849392,-0.3876052750894176,0.9031468885049433,-0.19777077520735414,-0.14798114283466615,-0.12390453026171082
1095,20160324,2.25,0.0387,-0.354005168,-0.30801154,-0.032371168,-0.336583701,-0.11,34,0.1577,0.066308787,0.320716858,-1.19466276030825,-0.4942462391601079,0.011075061561718466,-0.20548072273538606,0.9031468885049433,-0.0020175756181230377,-0.07700189408631526,0.2821331243552636
1096,20160324,2.2,0.0523,-0.334608031,-0.207676836,-0.024631313,-0.144578182,-0.06,34,0.195,0.444427978,0.422306061,-1.296667926861321,-0.3919456370303177,0.01337234335147358,-0.02335617038135451,0.9031468885049433,0.2084030106838458,-0.0037181233937457776,0.7699168121389182
