trade_date,normsettle,normper,normjc,normcje,normccl
20150506,-0.176061278,0.035455545,-0.23097816,-0.031766374,-0.557224034
20150506,0.080442438,0.031907516,0.133270945,-0.03365231,-0.642324839
20150506,0.493405898,0.039067913,0.497520049,-0.033439919,-0.677177256
20150506,0.710042467,0.030720477,0.679644602,-0.038076868,-0.71018977
20150507,-0.561192957,0.066513944,-1.462140134,-0.038030119,-0.589031094
20150507,-0.49575066,0.056385163,-1.097891029,-0.038300696,-0.539459452
20150507,-0.379158062,0.047079629,-0.733641925,-0.037558184,-0.598907356
20150507,-0.221193897,0.026156278,-0.36939282,-0.032365324,-0.503951437
20150507,0.040575291,0.043077896,-0.005143715,-0.031410347,-0.612294237
20150507,0.382078772,0.039952219,0.35910539,-0.034493207,-0.659751048
20150507,0.591193238,0.039928283,0.541229942,-0.038209204,-0.707609676
20150508,-0.613847678,0.015601102,-1.425715224,-0.037980157,-0.574142683
20150508,-0.540883278,0.028585695,-1.061466119,-0.038383141,-0.536921655
20150508,-0.445352569,0.02732315,-0.697217014,-0.037748748,-0.58858698
20150508,-0.255795571,0.036851233,-0.332967909,-0.034918669,-0.497839575
20150508,-0.01057501,0.040812973,0.031281195,-0.032100822,-0.581523444
20150508,0.342963836,0.041868531,0.3955303,-0.031780831,-0.630249153
20150508,0.564113667,0.046750646,0.577654852,-0.036487592,-0.696210736
20150511,-0.637918408,0.036082181,-1.225378216,-0.038749009,-0.561982404
20150511,-0.571723901,0.038822607,-0.861129111,-0.038556941,-0.539967012
20150511,-0.446104779,0.04958749,-0.496880007,-0.037458891,-0.585795403
20150511,-0.263317674,0.050953481,-0.132630902,-0.034698595,-0.485531258
20150511,0.035309819,0.06201144,0.231618203,-0.032438018,-0.581798372
20150511,0.483627164,0.069920485,0.595867308,-0.032669948,-0.646596798
20150511,0.719068991,0.068989932,0.77799186,-0.037144402,-0.705262214
20150512,-0.671015662,0.022613645,-1.156170886,-0.038775612,-0.57843579
20150512,-0.588272528,0.046220757,-0.791921781,-0.038407257,-0.544788827
20150512,-0.44685699,0.056159575,-0.427672677,-0.037152751,-0.576532442
20150512,-0.232477051,0.063152824,-0.063423572,-0.035002476,-0.486165708
20150512,0.116548532,0.064459507,0.300825533,-0.026352211,-0.505008853
20150512,0.561104825,0.065506382,0.665074638,-0.032699094,-0.64482034
20150512,0.812343069,0.060305882,0.84719919,-0.037963378,-0.705854366
20150513,-0.706369547,-0.001139954,-1.320082983,-0.039016304,-0.578076269
20150513,-0.653714825,-0.009261147,-0.955833878,-0.038681099,-0.533030366
20150513,-0.549157592,-0.002443914,-0.591584774,-0.037743848,-0.548785858
20150513,-0.385927955,0.002371327,-0.227335669,-0.034948749,-0.473793945
20150513,-0.08429162,0.013862178,0.136913436,-0.034167325,-0.491748862
20150513,0.292565745,0.018662955,0.50116254,-0.034010276,-0.635916901
20150513,0.543051778,0.032593395,0.683287093,-0.03894268,-0.705494845
20150514,-0.753006586,-0.115009783,-1.360150385,-0.03920906,-0.579895024
20150514,-0.71539607,-0.028276947,-0.99590128,-0.03903871,-0.532670844
20150514,-0.646192722,-0.024460948,-0.631652175,-0.038642716,-0.53484912
20150514,-0.504777183,-0.00224673,-0.267403071,-0.036618656,-0.473772797
20150514,-0.216680635,0.036708816,0.096846034,-0.03565003,-0.496041969
20150514,0.173716516,0.041735199,0.461095139,-0.035474928,-0.640273453
20150514,0.4497777,0.045371926,0.643219691,-0.038370614,-0.704775803
20150515,-0.770307423,-0.0062157,-1.604197285,-0.039261381,-0.588650425
20150515,-0.756767637,-0.118416393,-1.23994818,-0.039205409,-0.532120988
20150515,-0.721413753,-0.087726204,-0.875699075,-0.038855337,-0.55777389
20150515,-0.664997979,-0.102443378,-0.511449971,-0.037439222,-0.492785129
20150515,-0.493494029,-0.063296036,-0.147200866,-0.034921187,-0.493800248
20150515,-0.221946107,-0.029380707,0.217048239,-0.033519088,-0.640569529
20150515,0.002212565,-0.011475665,0.399172791,-0.038412097,-0.705706328
20150518,-0.772564054,0.072740344,-1.822746748,-0.039323206,-0.594127837
20150518,-0.765794161,0.074933567,-1.458497643,-0.039312704,-0.53823285
20150518,-0.747741114,-0.065432733,-1.094248538,-0.03886096,-0.573571679
20150518,-0.725174804,-0.050628474,-0.729999434,-0.038469059,-0.528779555
20150518,-0.653714825,-0.069493329,-0.365750329,-0.035440457,-0.485996521
20150518,-0.502520553,-0.038029106,-0.001501224,-0.036274685,-0.623502842
20150518,-0.366370486,-0.043744627,0.180623328,-0.036737464,-0.684008161
20150519,-0.76278532,0.135905178,-1.385647822,-0.039322973,-0.603137018
