,trade_date,price,open,settle,close,per,high,low,normcjl,vol,normcje,amount,normccl,oi,jc,ts_code,dt,shibor,g_settle,q,iv
530,20150715,2.9,0.0297,0.0155,0.0155,-0.916129032,0.0416,0.0131,-0.386393275,5640,-0.037260874,133.3382,-0.570632063,7818,-0.151,10000229.SH,7,1.245,0.2183,1.0053003851713327,0.508636474609375
531,20150715,2.8,0.0521,0.03,0.03,-0.736666667,0.0743,0.0247,-0.369256777,6654,-0.034929209,282.5293,-0.545803946,8992,-0.051,10000232.SH,7,1.245,0.1349,1.0454622753948954,0.46375274658203125
532,20150715,2.65,0.12,0.1368,0.0889,-0.349831271,0.1454,0.0638,-0.411388227,4161,-0.033209134,392.5879,-0.6540833,3872,0.099,10000256.SH,7,1.245,0.0361,-0.02024135833315271,0.5102767944335938
533,20150715,2.55,0.1892,0.2118,0.1585,-0.193690852,0.2234,0.1253,-0.446066821,2109,-0.034025222,340.3707,-0.673455153,2956,0.199,10000275.SH,7,1.245,0.0111,-0.02069401851228348,0.47930908203125
534,20150715,2.5,0.3342,0.2905,0.2905,-0.150430293,0.355,0.255,-0.471872968,582,-0.036594737,175.9608,-0.717993497,850,0.249,10000283.SH,42,1.245,0.078,0.1276351760554186,0.4625053405761719
535,20150716,3.6,0.0003,0.0003,0.0003,0.0,0.0009,0.0002,-0.463287819,1090,-0.039339651,0.3281,-0.376321378,17006,-0.86,10000223.SH,6,1.263,0.8703,0.23908109428116817,0.79296875
536,20150716,2.9,0.0152,0.0114,0.0114,-0.333333333,0.0228,0.0108,-0.412368421,4103,-0.038322667,65.3996,-0.582707749,7247,-0.16,10000229.SH,6,1.263,0.184,0.2938190739975706,0.4432220458984375
537,20150716,2.8,0.0286,0.0293,0.0293,0.023890785,0.0514,0.0258,-0.378281323,6120,-0.035965875,216.1984,-0.569870724,7854,-0.06,10000232.SH,6,1.263,0.1025,0.3067429776321132,0.4161224365234375
538,20150716,2.65,0.0864,0.1009,0.1009,0.14370664,0.1431,0.0742,-0.418604484,3734,-0.032862543,414.7645,-0.659433823,3619,0.09,10000256.SH,6,1.263,0.0196,0.20571825621415074,0.364227294921875
539,20150716,2.55,0.1649,0.1961,0.1833,0.100381888,0.2302,0.1424,-0.447131515,2046,-0.033225801,391.5215,-0.683754381,2469,0.19,10000275.SH,6,1.263,0.0047,-0.019326677721940543,0.3970794677734375
540,20150716,2.5,0.2795,0.2716,0.2716,-0.029086892,0.31,0.2541,-0.461614729,1189,-0.034214919,328.233,-0.70718671,1361,0.24,10000283.SH,41,1.263,0.0671,0.1277698924865803,0.4246826171875
541,20150717,3.6,0.0004,0.0002,0.0002,-1.0,0.0006,0.0001,-0.460888033,1232,-0.039338575,0.3969,-0.386282233,16535,-0.797,10000223.SH,5,1.282,0.8037,0.18598339684138987,0.76416015625
542,20150717,2.9,0.0128,0.015,0.015,0.146666667,0.0188,0.0099,-0.37207906,6487,-0.037938683,89.9687,-0.59998592,6430,-0.097,10000229.SH,5,1.282,0.1199,0.21933550490525902,0.38564300537109375
543,20150717,2.8,0.0315,0.0483,0.0483,0.347826087,0.0569,0.0296,-0.36709359,6782,-0.034956382,280.7906,-0.591399705,6836,0.003,10000232.SH,5,1.282,0.0482,0.08838486092586723,0.3701171875
544,20150717,2.65,0.112,0.1614,0.152,0.263157895,0.1753,0.0976,-0.406183058,4469,-0.030229689,583.2271,-0.695005283,1937,0.153,10000256.SH,5,1.282,0.0071,-0.021734182335762964,0.4011993408203125
545,20150717,2.55,0.2042,0.2546,0.2375,0.140210526,0.2691,0.184,-0.453147879,1690,-0.033546788,370.9832,-0.692848155,2039,0.253,10000275.SH,5,1.282,0.0005,-0.016984064193399446,0.3629150390625
546,20150717,2.5,0.284,0.3263,0.3263,0.129635305,0.3498,0.2741,-0.455040668,1578,-0.031752832,485.7691,-0.705325659,1449,0.303,10000283.SH,40,1.282,0.0446,0.08112659921680473,0.4129524230957031
547,20150720,3.6,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,-0.463507518,1077,-0.039342342,0.1559,-0.399140406,15927,-0.823,10000223.SH,2,1.29,0.8648,2.778219506236471,0.0
548,20150720,2.9,0.0132,0.0023,0.0023,-4.739130435,0.015,0.0023,-0.424570149,3381,-0.039001142,21.9875,-0.620626671,5454,-0.123,10000229.SH,2,1.29,0.1476,1.4850167357070059,0.44207763671875
549,20150720,2.8,0.0473,0.0249,0.0249,-0.899598394,0.0479,0.0203,-0.34674611,7986,-0.035573728,241.2899,-0.570695508,7815,-0.023,10000232.SH,2,1.29,0.0635,1.041177803554673,0.5038299560546875
550,20150720,2.65,0.1526,0.1306,0.103,-0.481553398,0.1553,0.1018,-0.430907611,3006,-0.033543626,371.1855,-0.702280302,1593,0.127,10000256.SH,2,1.29,0.0032,-0.013977213451554987,0.448577880859375
551,20150720,2.55,0.2446,0.2276,0.2028,-0.206114398,0.253,0.1868,-0.459214943,1331,-0.034801974,290.6704,-0.697373894,1825,0.227,10000275.SH,2,1.29,0.0002,-0.014441690937123155,0.4658203125
552,20150720,2.5,0.3281,0.3403,0.2614,-0.255164499,0.3281,0.2468,-0.43449039,2794,-0.027239772,774.5363,-0.67375123,2942,0.277,10000283.SH,37,1.29,0.0545,-0.01963542846104143,0.472015380859375
