,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
1868,20170905,10000982.SH,2.85,0.0941,0.0796,0.0796,0.0945,0.0743,20127,1665.7164,23322
1890,20170905,10001004.SH,2.9,0.1352,0.1201,0.1201,0.1361,0.1123,7167,878.1029,5290
1869,20170906,10000982.SH,2.85,0.081,0.093,0.093,0.0965,0.081,13247,1181.622,22348
1891,20170906,10001004.SH,2.9,0.1227,0.136,0.135,0.1391,0.1227,5272,690.9937,5946
1870,20170907,10000982.SH,2.85,0.0901,0.1104,0.1102,0.1117,0.0857,12828,1260.2342,21801
1892,20170907,10001004.SH,2.9,0.1353,0.157,0.1561,0.1571,0.1262,5224,732.7483,5884
1871,20170908,10000982.SH,2.85,0.1104,0.1122,0.1122,0.1199,0.0998,11462,1254.2894,21923
1893,20170908,10001004.SH,2.9,0.1553,0.162,0.1573,0.1656,0.1443,6402,988.8181,5711
1872,20170911,10000982.SH,2.85,0.111,0.12,0.1185,0.122,0.0931,15126,1630.578,23027
1894,20170911,10001004.SH,2.9,0.1592,0.17,0.1651,0.168,0.137,6065,924.079,5798
1873,20170912,10000982.SH,2.85,0.1169,0.1056,0.1056,0.1221,0.1035,12302,1390.2935,23237
1895,20170912,10001004.SH,2.9,0.1635,0.154,0.1506,0.1675,0.1472,5750,905.9984,6076
1874,20170913,10000982.SH,2.85,0.105,0.111,0.1079,0.1171,0.1037,8353,910.2345,22836
1896,20170913,10001004.SH,2.9,0.1504,0.161,0.1523,0.1627,0.1492,4234,651.7322,5917
1875,20170914,10000982.SH,2.85,0.1072,0.128,0.1242,0.1311,0.1028,13490,1576.3714,20169
1897,20170914,10001004.SH,2.9,0.1534,0.178,0.1723,0.1794,0.148,5400,886.3686,5168
1876,20170915,10000982.SH,2.85,0.125,0.128,0.1262,0.1358,0.1196,10923,1381.5967,18104
1898,20170915,10001004.SH,2.9,0.1731,0.178,0.1741,0.1846,0.167,3797,661.9041,5264
1877,20170918,10000982.SH,2.85,0.1255,0.121,0.1154,0.1255,0.1023,14330,1608.0191,17576
1899,20170918,10001004.SH,2.9,0.1744,0.171,0.165,0.1744,0.1499,5739,916.6284,4930
1878,20170919,10000982.SH,2.85,0.1154,0.13,0.1274,0.1348,0.1076,7554,918.0342,15858
1900,20170919,10001004.SH,2.9,0.1654,0.18,0.1768,0.1842,0.1557,2713,466.1746,4617
1879,20170920,10000982.SH,2.85,0.1279,0.133,0.1283,0.1332,0.1206,5401,684.3927,14920
1901,20170920,10001004.SH,2.9,0.1776,0.183,0.1782,0.1829,0.1701,1323,232.4888,4414
1880,20170921,10000982.SH,2.85,0.1288,0.122,0.1184,0.1334,0.1059,5866,711.0164,13466
1902,20170921,10001004.SH,2.9,0.1795,0.172,0.1681,0.183,0.1554,2434,411.6154,4085
1881,20170922,10000982.SH,2.85,0.1192,0.121,0.1198,0.1329,0.1132,4095,503.2993,12234
1903,20170922,10001004.SH,2.9,0.1689,0.171,0.1691,0.1823,0.1629,1677,290.0201,3443
1882,20170925,10000982.SH,2.85,0.1352,0.121,0.1214,0.1352,0.1174,6388,791.4319,9529
1904,20170925,10001004.SH,2.9,0.1859,0.172,0.172,0.1859,0.1673,2124,368.7068,2899
1883,20170926,10000982.SH,2.85,0.1211,0.1198,0.1198,0.1222,0.113,4143,490.5167,7862
1905,20170926,10001004.SH,2.9,0.1712,0.1698,0.1698,0.1712,0.1652,1084,182.4823,2575
1884,20170927,10000982.SH,2.85,0.1206,0.139,0.1452,0.1463,0.1206,5594,734.0762,4499
1906,20170927,10001004.SH,2.9,0.1706,0.189,0.1955,0.1955,0.1706,2791,498.8984,1561
1907,20171009,10001022.SH,2.85,0.085,0.1,0.097,0.1039,0.0676,3973,349.739,2280
1908,20171010,10001022.SH,2.85,0.0978,0.104,0.1002,0.11,0.0875,3974,404.2371,4339
1909,20171011,10001022.SH,2.85,0.1017,0.088,0.0875,0.1017,0.0836,2281,204.7163,3973
1910,20171012,10001022.SH,2.85,0.086,0.0798,0.0798,0.0922,0.0773,3049,257.1117,4218
1911,20171013,10001022.SH,2.85,0.0806,0.0797,0.0797,0.0836,0.0775,2719,216.7045,4429
1912,20171016,10001022.SH,2.85,0.0798,0.0701,0.0701,0.0798,0.0653,5651,397.6759,5697
