trade_date,price,open,settle,close,high,low,vol,amount,oi
20190103,2.2,0.0841,0.0883,0.0883,0.1072,0.0836,30460,2815.0327,20934
20190103,2.15,0.123,0.1261,0.1261,0.1492,0.1204,11141,1474.0866,9033
20190103,2.1,0.1697,0.1698,0.17,0.1945,0.1633,9891,1740.4373,9591
20190103,2.05,0.2325,0.232,0.232,0.2533,0.2264,1002,237.8387,333
20190104,2.7,0.0003,0.0005,0.0005,0.0007,0.0002,7245,2.8101,51081
20190104,2.45,0.0045,0.0086,0.0086,0.009,0.0043,66444,461.1479,131868
20190104,2.2,0.0798,0.1276,0.1276,0.1293,0.0786,51381,5580.5714,19537
20190104,2.15,0.1197,0.171,0.171,0.171,0.1163,20722,3093.6493,11032
20190104,2.1,0.1597,0.218,0.218,0.218,0.1578,19419,3799.3271,9502
20190104,2.05,0.2211,0.2762,0.2762,0.2762,0.2211,1803,462.2302,573
20190107,2.7,0.0005,0.0002,0.0002,0.0007,0.0002,4020,1.2737,52120
20190107,2.45,0.01,0.0075,0.0075,0.0109,0.0074,42903,372.8684,139436
20190107,2.2,0.1402,0.12,0.12,0.1488,0.1174,25128,3125.0273,15990
20190107,2.15,0.1818,0.1641,0.1641,0.1872,0.1602,6493,1102.9959,10592
20190107,2.1,0.2294,0.2121,0.2121,0.2329,0.2077,5749,1260.4519,9749
20190107,2.05,0.2851,0.273,0.273,0.2916,0.2697,509,141.0369,698
20190108,2.7,0.0001,0.0001,0.0001,0.0003,0.0001,1427,0.3088,51485
20190108,2.45,0.0075,0.005,0.005,0.0075,0.0048,29722,166.1919,138214
20190108,2.2,0.1193,0.1135,0.1135,0.1205,0.11,13533,1542.6895,16699
20190108,2.15,0.1681,0.157,0.157,0.1693,0.1538,5074,800.7072,10400
20190108,2.1,0.2118,0.2052,0.2052,0.213,0.2001,3471,711.8555,9327
20190108,2.05,0.2725,0.2649,0.2649,0.2725,0.26,573,152.0058,641
20190109,2.7,0.0001,0.0003,0.0003,0.0005,0.0001,2242,0.5142,51396
20190109,2.45,0.0054,0.0048,0.0048,0.0093,0.0048,73618,542.876,129557
20190109,2.2,0.1228,0.1339,0.1339,0.1588,0.1221,24071,3442.7647,15163
20190109,2.15,0.165,0.18,0.18,0.2059,0.165,8778,1675.116,9686
20190109,2.1,0.2126,0.2299,0.2299,0.2557,0.2126,6412,1542.5961,8812
20190109,2.05,0.2738,0.2869,0.2865,0.3111,0.2738,793,237.5175,664
20190110,2.7,0.0001,0.0002,0.0002,0.0003,0.0001,1767,0.3428,51089
20190110,2.45,0.0045,0.0035,0.0035,0.005,0.0031,34001,138.6948,126856
20190110,2.55,0.0077,0.0067,0.0067,0.0081,0.0063,5184,37.292,3029
20190110,2.2,0.1315,0.1335,0.1335,0.1456,0.1231,11520,1541.2946,14686
20190110,2.15,0.1798,0.1807,0.1807,0.1938,0.1699,5121,927.9927,9282
20190110,2.1,0.2292,0.2305,0.2305,0.2434,0.2187,4529,1043.8629,8548
20190110,2.05,0.2811,0.2887,0.2893,0.2981,0.2781,700,203.9628,643
20190111,2.7,0.0001,0.0002,0.0002,0.0002,0.0001,627,0.1147,50945
20190111,2.45,0.0036,0.0041,0.0041,0.0058,0.0034,29246,126.2833,125419
20190111,2.55,0.007,0.0074,0.0074,0.0087,0.0062,5495,39.0357,6135
20190111,2.2,0.1351,0.1513,0.1513,0.1597,0.1344,13310,1954.3176,13175
20190111,2.15,0.1828,0.1994,0.1994,0.2078,0.182,4934,963.3587,9265
20190111,2.1,0.2353,0.2494,0.2494,0.2573,0.2319,9123,2237.1475,7074
20190111,2.05,0.2947,0.3069,0.3044,0.3123,0.2916,711,214.5092,655
20190114,2.7,0.0002,0.0002,0.0002,0.0003,0.0001,617,0.105,50739
20190114,2.45,0.0039,0.0022,0.0022,0.004,0.0022,32944,91.3608,117756
20190114,2.55,0.007,0.005,0.005,0.0072,0.0047,4079,22.1871,8980
20190114,2.2,0.1471,0.1296,0.1296,0.1509,0.1294,8658,1173.8091,12610
20190114,2.15,0.1965,0.1778,0.1778,0.1987,0.1778,3001,551.9392,9199
20190114,2.1,0.2452,0.2283,0.2285,0.2524,0.2282,2478,582.8382,7090
20190114,2.05,0.3069,0.287,0.287,0.3069,0.287,951,278.3054,1102
20190115,2.7,0.0001,0.0002,0.0002,0.0003,0.0001,1325,0.2629,50205
20190115,2.45,0.0024,0.0047,0.0047,0.0054,0.002,47461,172.0886,111392
20190115,2.55,0.005,0.0063,0.0063,0.0064,0.0042,9390,50.6362,13139
