trade_date,normprice,normsettle,normper,normjc,normgse,normiv,normcjl,normcje,normccl
20190220,-0.174611095,-0.633405146,0.042447802,-0.434957659,-0.615227166,-0.793826367,-0.187549055,-0.033753614,-0.232470564
20190220,-0.480626594,-0.597299052,0.038315509,0.111415998,-0.415525055,0.402911378,3.298055263,0.049012621,2.213606579
20190220,-0.582631761,-0.418272998,0.042565544,0.293540551,-0.175769695,1.582450029,3.115874344,0.128306246,1.483165051
20190220,-1.602683427,3.178796703,0.052596507,2.114786074,0.169478023,-1.257798749,-0.466667799,-0.032037254,-0.697966046
20190221,-0.276616261,-0.774068474,-0.065432733,-0.292900508,-0.891086863,-1.239482364,0.39466939,-0.037358284,0.544920215
20190221,-0.378621428,-0.749245534,-0.072834862,-0.110775956,-0.759080382,-0.835239714,1.578980563,-0.023221829,1.325102572
20190221,-0.072605928,-0.707873967,0.028854582,-0.657149613,-0.606201082,-0.894584805,-0.083665371,-0.034767914,-0.504332107
20190221,-0.480626594,-0.6665024,-0.009963613,0.071348597,-0.38393376,0.320048043,4.452166315,0.063744297,1.959446172
20190221,-0.174611095,-0.658980297,0.029032534,-0.47502506,-0.126126232,-0.408541178,0.024071489,-0.029834199,-0.094202904
20190221,-0.582631761,-0.502520553,0.020242974,0.253473149,0.194863884,2.383682036,4.613577257,0.186143018,1.383323873
20190221,-1.602683427,3.096053569,0.052473019,2.074718673,0.438004026,-1.257798749,-0.436247979,-0.017224532,-0.669881089
20190222,-0.276616261,-0.756767637,0.127801795,-0.103490973,-0.891086863,-1.217063105,0.127312977,-0.038440506,0.351730391
20190222,-0.378621428,-0.686059868,0.124779554,0.078633579,-0.859495568,-0.910739858,1.552346321,-0.02643586,1.103891234
20190222,-0.072605928,-0.668759031,0.092734051,-0.467740078,-0.796877109,-1.026471947,-0.097928887,-0.035474105,-0.307250993
20190222,-0.174611095,-0.585263687,0.100642103,-0.285615526,-0.665998889,-0.77600452,0.049826936,-0.030368181,-0.016863529
20190222,-0.480626594,-0.516812548,0.120346193,0.260758131,-0.413832664,1.014129189,3.924010649,0.039251181,1.352595376
20190222,-0.582631761,-0.224954948,0.110231217,0.442882684,-0.046583866,3.166670925,5.235256969,0.170378504,0.645395843
20190222,-1.602683427,3.48720293,0.065218566,2.264128207,0.18470954,-1.257798749,-0.462493524,-0.030111787,-0.671636399
20190225,-0.276616261,0.164689992,0.161120475,0.617722254,-0.890522732,0.028158111,5.453079776,0.151998078,-0.149780666
20190225,-0.072605928,0.216592504,0.150896157,0.253473149,-0.88544556,-0.825238966,3.071258609,0.154586628,0.575479525
20190225,-0.174611095,0.40314066,0.139952925,0.435597702,-0.879804257,-0.688232398,2.146039799,0.135568239,-0.002355787
20190225,-0.378621428,0.531768623,0.154525908,0.799846806,-0.868521652,1.578896651,5.409579434,0.269611685,-0.073392965
20190225,-0.480626594,0.83942264,0.142688726,0.981971359,-0.844828181,2.717736294,3.253929625,0.291283347,-0.102598783
20190225,-0.582631761,1.238094104,0.127407864,1.164095911,-0.468553299,-1.257798749,1.563956552,0.22621831,-0.249558399
20190225,-1.602683427,4.988614709,0.078690848,2.985341435,-0.299314222,-1.257798749,-0.432952499,-0.009307713,-0.675464243
20190226,0.233409571,-0.564954008,-0.181845739,-0.61343972,-0.891086863,-1.176400726,0.525930911,0.013121417,-0.172430508
20190226,-0.276616261,-0.487476346,-0.216765149,0.297183042,-0.889394472,-0.488217458,1.296279041,0.072108099,-0.418089293
20190226,-0.072605928,-0.255795571,-0.059039985,-0.067066063,-0.88544556,-0.992137881,3.175733789,0.303772076,1.044422183
20190226,-0.378621428,-0.185087802,-0.088585257,0.479307594,-0.872470564,0.884778869,0.404522032,0.057310462,-0.440337317
20190226,-0.174611095,-0.127919818,-0.0514754,0.115058489,-0.825647753,-0.671491222,1.668076835,0.201109205,0.292303635
20190226,-0.480626594,0.177477567,-0.037039047,0.661432146,-0.328648995,-1.257798749,0.247099466,0.075105594,-0.495428668
20190226,-0.582631761,0.553582722,-0.012719305,0.843556699,-0.152640355,-1.257798749,-0.037832843,0.048803206,-0.514885114
20190226,-1.602683427,4.314634271,0.036623654,2.664802222,0.462261627,-1.257798749,-0.45460127,-0.02128546,-0.684135051
20190227,0.233409571,-0.52132581,0.072571634,-0.584299792,-0.891650993,-1.23904277,0.40486003,-0.009073593,0.075935261
20190227,-0.276616261,-0.514555918,0.027254797,0.32632297,-0.891650993,-0.057416048,1.540161494,0.047658549,-0.687307297
20190227,-0.072605928,-0.221193897,0.05963364,-0.037926135,-0.891650993,-1.22028679,3.06593514,0.222706657,1.516833163
20190227,-0.378621428,-0.138450763,0.053851338,0.508447522,-0.891650993,2.343349355,0.068045028,0.010019696,-0.701540111
