ts_code,call_put,k,trade_date,c,s,r,t,q,iv
10001989.SH,C,2.755,20200515,0.0873,2.812,0.01657,0.1095890410958904,0.06381935615605383,0.17454910278320312
10001990.SH,C,2.804,20200515,0.0603,2.812,0.01657,0.1095890410958904,0.06182261745762914,0.17119216918945312
10001991.SH,C,2.853,20200515,0.0395,2.812,0.01657,0.1095890410958904,0.05851986248221849,0.16849517822265625
10001992.SH,C,2.903,20200515,0.0251,2.812,0.01657,0.1095890410958904,0.060122619486187946,0.17084884643554688
10001993.SH,C,2.952,20200515,0.0156,2.812,0.01657,0.1095890410958904,0.06662161387639053,0.17464828491210938
10001994.SH,C,3.05,20200515,0.0066,2.812,0.01657,0.1095890410958904,0.05413613864574397,0.18473052978515625
10001995.SH,C,3.149,20200515,0.0032,2.812,0.01657,0.1095890410958904,0.055701878547799975,0.202606201171875
10001996.SH,C,3.247,20200515,0.0021,2.812,0.01657,0.1095890410958904,0.05530290387516291,0.22735595703125
10001997.SH,C,3.345,20200515,0.0018,2.812,0.01657,0.1095890410958904,0.05882231390161575,0.259063720703125
10002291.SH,C,2.5,20200515,0.312,2.812,0.01657,0.1095890410958904,0.03392675816980406,0.232330322265625
10002292.SH,C,2.55,20200515,0.262,2.812,0.01657,0.1095890410958904,0.04171689199053115,0.2162628173828125
10002293.SH,C,2.6,20200515,0.212,2.812,0.01657,0.1095890410958904,0.05375614845022803,0.20052337646484375
10002294.SH,C,2.65,20200515,0.1651,2.812,0.01657,0.1095890410958904,0.0645039999197168,0.188507080078125
10002299.SH,C,2.5,20200515,0.312,2.812,0.01657,0.3589041095890411,0.04849896701457073,0.20324325561523438
10002300.SH,C,2.55,20200515,0.2712,2.812,0.01657,0.3589041095890411,0.048495407533737094,0.19772911071777344
10002301.SH,C,2.6,20200515,0.233,2.812,0.01657,0.3589041095890411,0.048491848057449494,0.1934051513671875
10002302.SH,C,2.65,20200515,0.1981,2.812,0.01657,0.3589041095890411,0.047883409966187104,0.18988704681396484
10002303.SH,C,2.7,20200515,0.165,2.812,0.01657,0.3589041095890411,0.04929143723608016,0.18695831298828125
10002433.SH,C,2.5,20200515,0.312,2.812,0.01657,0.03287671232876712,0.019060161687079205,0.2742919921875
10002434.SH,C,2.55,20200515,0.262,2.812,0.01657,0.03287671232876712,0.020437279219667023,0.2398681640625
10002435.SH,C,2.6,20200515,0.212,2.812,0.01657,0.03287671232876712,0.03047529059165512,0.23095703125
10002436.SH,C,2.65,20200515,0.162,2.812,0.01657,0.03287671232876712,0.04051661576981268,0.201446533203125
10002437.SH,C,2.7,20200515,0.1149,2.812,0.01657,0.03287671232876712,0.03864538469410293,0.1820526123046875
10002438.SH,C,2.75,20200515,0.0709,2.812,0.01657,0.03287671232876712,0.04977283378616608,0.16692352294921875
10002439.SH,C,2.8,20200515,0.0364,2.812,0.01657,0.03287671232876712,0.05006786752204848,0.15661239624023438
10002440.SH,C,2.85,20200515,0.0158,2.812,0.01657,0.03287671232876712,0.0449460551765637,0.15691375732421875
10002441.SH,C,2.9,20200515,0.0055,2.812,0.01657,0.03287671232876712,0.06474640386911096,0.16007232666015625
10002469.SH,C,2.45,20200515,0.362,2.812,0.01657,0.03287671232876712,0.017683106500798473,0.304931640625
10002213.SH,C,3.5,20200515,0.0015,2.812,0.01657,0.1095890410958904,0.05484259713818464,0.304962158203125
10002107.SH,C,3.3,20200515,0.0018,2.812,0.01657,0.1095890410958904,0.055290350477995714,0.242034912109375
10002115.SH,C,3.4,20200515,0.0017,2.812,0.01657,0.1095890410958904,0.05947483108719496,0.2764892578125
10002486.SH,P,2.563,20200515,0.0895,2.812,0.01657,0.6082191780821918,0.06536452625554531,0.1947803497314453
10002487.SH,P,2.612,20200515,0.1089,2.812,0.01657,0.6082191780821918,0.06621124462224207,0.1946887969970703
10002488.SH,P,2.661,20200515,0.13,2.812,0.01657,0.6082191780821918,0.0667539130848566,0.19391918182373047
10002489.SH,P,2.711,20200515,0.1532,2.812,0.01657,0.6082191780821918,0.06590249081563511,0.19342994689941406
10002490.SH,P,2.76,20200515,0.18,2.812,0.01657,0.6082191780821918,0.06705397170627965,0.19323158264160156
10002491.SH,P,2.809,20200515,0.205,2.812,0.01657,0.6082191780821918,0.06504014873648013,0.19137859344482422
10002492.SH,P,2.859,20200515,0.238,2.812,0.01657,0.6082191780821918,0.06595366360945297,0.192657470703125
10002493.SH,P,2.908,20200515,0.2719,2.812,0.01657,0.6082191780821918,0.0677752675750301,0.19200897216796875
10002494.SH,P,2.957,20200515,0.3069,2.812,0.01657,0.6082191780821918,0.06825750415329582,0.19182395935058594
10002010.SH,P,2.706,20200515,0.0293,2.812,0.01657,0.1095890410958904,0.05928184918719581,0.18049049377441406
10002422.SH,P,2.35,20200515,0.0025,2.812,0.01657,0.1095890410958904,0.02197404220259646,0.2813262939453125
10002424.SH,P,2.35,20200515,0.0178,2.812,0.01657,0.3589041095890411,0.03162235554358751,0.23201751708984375
10002092.SH,P,2.7,20200515,0.0282,2.812,0.01657,0.1095890410958904,0.06447364683914943,0.18120574951171875
10002093.SH,P,2.75,20200515,0.0435,2.812,0.01657,0.1095890410958904,0.06673119444499806,0.17531204223632812
10002094.SH,P,2.8,20200515,0.065,2.812,0.01657,0.1095890410958904,0.06539339630062234,0.1719970703125
10002095.SH,P,2.85,20200515,0.0932,2.812,0.01657,0.1095890410958904,0.06470939385096049,0.17033767700195312
10002096.SH,P,2.9,20200515,0.1283,2.812,0.01657,0.1095890410958904,0.06369866151588635,0.17229461669921875
10002097.SH,P,2.95,20200515,0.1677,2.812,0.01657,0.1095890410958904,0.06334154274920087,0.17252731323242188
10002098.SH,P,3.0,20200515,0.2113,2.812,0.01657,0.1095890410958904,0.060697476482182364,0.17877960205078125
10002099.SH,P,3.1,20200515,0.3035,2.812,0.01657,0.1095890410958904,0.053452979478942314,0.195037841796875
