,time,ccl,cje,cjl,avgprice,jc,price,per,apper,avgper,normper,normcjl,normcje,normjc,normccl
67,2011,432623,1931000000000.0,1531533,6310.076225,-7.6119,6344.0,0.045450051,-0.001499564,0.021975243,0.3516641807099449,0.5563481506551328,0.37993434855155184,0.5480707101739486,1.158074313520879
68,2012,493513,2285000000000.0,1813217,6298.40618,-19.1149,6348.0,0.000630517,-0.00184943,-0.000609457,-0.012736998828286892,0.8474369970521769,0.591975744016196,0.4223900404779257,1.5155660335257486
69,2101,233682,1724000000000.0,1331242,6473.91,-32.5371,6313.6,-0.00541903,0.027864799,0.011222885,0.178176291208763,0.3493698482534685,0.25594404103409046,0.27574037649514216,-0.009929632438863618
70,2102,374432,1318000000000.0,1021902,6454.10675,-43.9529,6320.4,0.00107704,-0.003058932,-0.000990946,-0.018892273929610372,0.029701625193366936,0.012755321941871471,0.15101244559747565,0.8164287119639181
71,2103,319576,1780000000000.0,1426166,6238.271625,-19.3941,6232.4,-0.013923169,-0.033441518,-0.023682344,-0.38501501173757213,0.447463164364405,0.2894873126330172,0.4193395281786012,0.4943632530611899
72,2104,400669,1673000000000.0,1321494,6329.41104,-8.1075,6477.6,0.039342789,0.014609722,0.026976256,0.4323548711369168,0.3392963826868109,0.22539570439935358,0.5426558323245746,0.9704689526892878
73,2105,372127,1183000000000.0,907022,6514.170725,-16.3696,6651.8,0.026892676,0.02919066,0.028041668,0.44954515435937203,-0.08901398049986532,-0.06810792209125553,0.45238492377067474,0.8028958097696132
74,2106,281673,1342000000000.0,1006767,6666.649225,-13.6138,6799.8,0.022249617,0.0234072,0.022828409,0.36542990249247537,0.014061298833973916,0.027131009769982936,0.48249452905175794,0.27183067524308235
75,2107,449347,1942000000000.0,1428817,6797.78434,-8.716,6758.6,-0.006059002,0.019670319,0.006805658,0.10690491150975769,0.4502026757736386,0.38652320547276964,0.5360074199530168,1.2562627110469333
76,2108,449299,1489000000000.0,1072012,6942.18955,-73.3088,7106.8,0.051519545,0.021242982,0.036381264,0.5841034446741569,0.08148469449427109,0.11518209771716567,-0.16972728938726567,1.2559808978992861
77,2109,529201,2197000000000.0,1498470,7326.78554,-8.4076,7095.2,-0.00163224,0.055399811,0.026883786,0.4308628797856081,0.5221812454406887,0.5392648886464539,0.5393769686389468,1.7250941088013896
78,2110,239459,1073140000000.0,762945,7040.765175,-7.0992,7015.4,-0.01124704,-0.039037633,-0.025142337,-0.40857180776840546,-0.23790141366023984,-0.13391263312443577,0.5536724209757526,0.023987754101916985
79,2111,424147,1215000000000.0,856328,7102.7429,-23.4622,7196.4,0.025800382,0.008802697,0.01730154,0.276254594308028,-0.14140054835338828,-0.048940338320440244,0.3748918595364739,1.1083108085321902
80,2112,484251,1738000000000.0,1193761,7284.68466,12.3976,7371.8,0.024373298,0.025615704,0.024994501,0.40037951350295264,0.2072986418963022,0.26432985893382216,0.7666925792761454,1.461187838244338
81,2201,321766,1232000000000.0,873125,7075.377425,-19.53,6561.0,-0.109986706,-0.028732505,-0.069359605,-1.122011641600961,-0.12404273125006984,-0.03875755944219462,0.4178546978724472,0.5072209779225902
82,2202,352306,964000000000.0,711435,6775.863933,-1.2311,6818.2,0.039201341,-0.042331804,-0.001565231,-0.028158287265679195,-0.291131226066737,-0.19928607352277267,0.6177867161894561,0.6865245931130766
83,2203,436257,1712000000000.0,1335623,6441.9634,-57.2376,6211.0,-0.089055763,-0.049277928,-0.069166845,-1.1189014842215053,0.3538971207860421,0.24875619712003472,0.005865093366687548,1.179409917240664
84,2204,496904,2021000000000.0,1721551,5970.11874,-8.9021,5619.0,-0.095314764,-0.073245474,-0.084280119,-1.362752182804373,0.7527104588255419,0.43384317790696986,0.5339741092835888,1.5354749581855698
85,2205,538147,1521000000000.0,1326597,5711.92905,-54.915,5845.0,0.04022068,-0.043246994,-0.001513157,-0.027318080088994362,0.3445697613066974,0.13434968148798096,0.03124159718621141,1.7776170341941233
86,2206,547370,2006000000000.0,1630282,6138.6439,-19.6827,6348.6,0.08615911,0.074705909,0.08043251,1.2948645352588806,0.6583941756081358,0.4248583730144002,0.4161863123849585,1.8317662562930708
87,2207,397752,2079000000000.0,1639122,6337.60956,-38.9144,6255.2,-0.014711905,0.032411989,0.008850042,0.13989077986439993,0.6675293249320231,0.4685844234915726,0.20606261114241275,0.953342932862482
88,2208,478393,1427000000000.0,1131512,6319.803575,-29.3739,6269.0,0.002206164,-0.002809574,-0.000301705,-0.007771460574280865,0.14297127648197408,0.07804490416121104,0.31030119492359215,1.4267948920169027
89,2209,580946,1851000000000.0,1526542,6068.19948,-3.8629,5710.2,-0.089137023,-0.039812012,-0.064474518,-1.0431914020163355,0.5511905114836936,0.3320153891245136,0.5890319229610815,2.028894553072238
90,2210,273301,1135000000000.0,964129,5892.472633,-10.7972,5771.0,0.010647613,-0.028958647,-0.009155517,-0.15062655876950823,-0.03000029583479382,-0.09685929774747846,0.5132684292748143,0.2226777654076288
91,2211,492737,1373000000000.0,1125770,6107.710875,8.3409,6096.2,0.056350719,0.036527661,0.04643919,0.746386764714195,0.1370375629731776,0.04569960654796025,0.7223694659356381,1.5110100543054534
92,2212,446702,1472000000000.0,1212381,6050.10434,6.3331,5870.8,-0.036973853,-0.009431772,-0.023202812,-0.3772778256591063,0.22654032520068926,0.10499931883892005,0.70043243658541,1.240733632390128
93,2301,153576,621000000000.0,512006,6061.496367,-7.2337,6244.2,0.063602916,0.001882947,0.032742932,0.5253994338902327,-0.49721874807052896,-0.40473861206619904,0.5522028869347098,-0.48024054921846737
94,2302,414989,1052000000000.0,830729,6330.24875,-1.4435,6339.4,0.015246148,0.04433763,0.029791889,0.47778474119703573,-0.1678542460391565,-0.14657521815303062,0.6154660542540101,1.054543208404015
95,2303,252440,836000000000.0,664574,6282.601433,14.1683,6155.0,-0.029087926,-0.007526926,-0.018307426,-0.2982914130569931,-0.3395568179747328,-0.2759564086060338,0.786039076870751,0.10020059721873766
