time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
1606,0.411393256,-0.75831351,-0.594625875,-0.642943473,-0.851382594,-1.0105196365242504,-0.7144809282664482,0.7870066226885581,-0.2911538404994829
1607,0.904582719,-0.69750483,-0.540041388,-0.460176049,-0.863905665,-0.974448878090377,-0.3816430232155818,1.190841873079574,-0.20294618014734633
1608,0.293665151,-0.801204276,-0.613309477,-0.805884752,-0.857958234,-1.0187358747855362,-0.8807516200310606,0.7217725492655045,-0.39221800493000736
1609,0.100738858,-0.79699012,-0.608915308,0.527598845,-0.85619103,-1.302904862820327,-0.05876657737887886,0.24005679484410286,0.5171645772503464
1610,0.297989844,-0.900697833,-0.682791369,0.141375799,-1.059665994,-1.3978976403196983,-0.3476319730674539,0.5766184096122595,0.3174355036415308
1611,0.260034404,-0.864719398,-0.654940271,-0.330435314,-0.90348867,-1.20517770005404,-0.596631273796058,0.5949364683929518,-0.07073718013681007
1612,-0.644387922,-0.846639243,-0.644505318,0.051885,-0.815469031,-1.249147553881944,-0.6876577273143732,-0.3272913751611005,0.2621126373397464
1701,-0.199679594,-0.905282975,-0.689804908,0.249856911,-0.980417789,-1.4081913192754403,-0.44850079402350673,0.07963736579793027,0.40691236887989657
1702,0.354009578,-0.906177889,-0.689061565,-0.08512474,-0.933895135,-1.316520981538834,-0.403783926268131,0.6293347563811978,0.07773747546094056
1703,0.185272939,-0.770558123,-0.585963325,0.396899907,-0.732046468,-1.2025715634087326,-0.03973134736879114,0.2991995739766076,0.3535439334461843
1704,-0.291696414,-0.835808304,-0.635712189,0.287482445,-0.939959989,-1.3235070219688634,-0.44327374218214644,-0.020965563878137444,0.45070850526431727
1705,-1.059417094,-0.786392727,-0.612207341,0.387220649,-0.870005746,-1.2816508794266386,-0.6766175890192105,-0.7482357407290393,0.5990728175466866
1706,0.364389397,-0.713289831,-0.561332381,0.183760657,-0.717380442,-1.0965124641938044,-0.09747346816453312,0.5037668296289675,0.19708521551266422
1707,0.316528712,-0.78734241,-0.608398982,0.300583696,-0.956915746,-1.2768892230297486,-0.1753786272116259,0.5230137572225603,0.40174169414080196
1708,0.444098845,-0.803032339,-0.614340334,0.420034416,-0.874602823,-1.2900322176360919,0.01015057301071931,0.5754049373399504,0.4058587426714926
