time,per,cjl,cje,jc,ccl,price,avgp
170929,0.8961,47882,62564044600,-5.0587,19512,6598.2,6533.1486
171013,2.2015,46945,62672034360,12.1836,17400,6722,6675.0489
171020,-2.4172,45954,60621410480,-23.424,0,6548,6595.8796
171027,0.796,52763,69442537920,-29.4067,17809,6601.4,6580.6093
171103,-3.4041,54576,70587128360,-64.9799,18125,6362,6466.8653
171110,4.1866,48481,63237134400,-21.6164,15226,6619.6,6521.8472
171117,-4.5466,46393,60743687600,-38.3415,23928,6323.6,6546.6436
171124,-2.0172,60404,76578305960,-51.0287,24270,6227,6338.8439
171201,0.3067,56513,70550650960,-37.4072,23391,6279,6241.9842
171208,-1.6848,59654,73487604600,-29.1433,19800,6174,6159.4868
171215,0.8477,43632,54548478720,-2.1608,0,6233.6,6250.9716
171222,0.1432,49403,61298702840,0.3153,19358,6243.2,6203.9454
171229,0.7281,46425,57581092200,29.9793,18882,6280.8,6201.5177
180105,2.259,32735,41718133960,-16.4537,17964,6400.8,6372.0993
180112,-0.0905,40355,51714615160,1.8263,15211,6401.2,6407.4607
180119,-1.7826,40052,50348166680,8.62,0,6281,6285.3499
180126,1.8478,45779,58268605800,13.3688,16182,6397,6364.1196
180202,-6.4188,50085,61773053680,-18.6494,15578,5986.2,6166.8218
180209,-8.0029,56003,64490547600,-50.8974,12730,5504,5757.7762
180214,4.1629,22440,25569380440,-24.8344,3613,5730,5697.2773
180223,1.7584,18446,21428102800,-64.2765,23047,5833.4,5808.3332
180302,3.6157,51302,61501084320,-21.1354,22155,6035.2,5994.024
180309,2.8915,50859,61842240880,-8.1754,18511,6198.8,6079.7736
180316,-0.339,45342,56400790360,27.8942,0,6174.2,6219.4864
180323,-8.2372,57499,69193726640,-121.5523,18999,5665.6,6016.9504
180330,7.3364,60422,71624657640,-13.7382,20118,6101,5927.0347
180404,-1.6976,31680,38282620800,-41.6863,20449,5976,6042.0803
180413,0.5286,52047,62715386760,-17.1867,17716,6010,6024.8801
180420,-1.6088,49245,58670881160,27.1641,0,5908,5957.0394
180427,-0.973,52773,61723787760,-8.7836,18887,5852.2,5848.0461
180504,0.6676,30126,35222597080,-28.2944,19121,5881,5845.8802
180511,1.901,41238,49519635800,1.6576,17176,5993,6004.1268
180518,-0.2904,46553,55677036520,-19.9497,28363,5975.2,5979.9622
180525,-1.4328,47696,57208518720,-42.9978,27485,5874.8,5997.203
180601,-3.9023,53441,61583101280,-21.1155,26961,5664,5761.7841
180608,0.2942,49401,56369690800,-10.7031,22063,5658.6,5705.3188
