,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB
,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS
,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅
2015-09-08,2.4677,2.4677,2.4677,2.4677,0,2.4677,0,0,0,0,0,0
2015-09-09,2.466,2.466,2.466,2.466,0,2.466,0,0,0,0,0,0
2015-09-10,2.4755,2.4755,2.4755,2.4755,0,2.4755,0,0,0,0,0,0
2015-09-14,2.4451,2.4451,2.4451,2.4451,0,2.4451,0,0,0,0,0,0
2015-09-15,2.4572,2.4572,2.4572,2.4572,0,2.4572,0,0,0,0,0,0
2015-09-17,2.4876,2.4876,2.4876,2.4876,0,2.4876,0,0,0,0,0,0
2015-09-18,2.46,2.46,2.46,2.46,0,2.46,0,0,0,0,0,0
2015-09-22,2.4752,2.4752,2.4752,2.4752,0,2.4752,0,0,0,0,0,0
2015-09-23,2.4837,2.4837,2.4837,2.4837,0,2.4837,0,0,0,0,0,0
2015-09-24,2.4797,2.4797,2.4797,2.4797,0,2.4797,0,0,0,0,0,0
2015-09-25,2.4742,2.4742,2.4742,2.4742,0,2.4742,0,0,0,0,0,0
2015-09-28,2.4708,2.4708,2.4708,2.4708,0,2.4708,0,0,0,0,0,0
2015-09-29,2.4588,2.4588,2.4588,2.4588,0,2.4588,0,0,0,0,0,0
2015-09-30,2.4642,2.4642,2.4642,2.4642,0,2.4642,0,0,0,0,0,0
2015-10-08,2.4576,2.4576,2.4576,2.4576,0,2.4576,0,0,0,0,0,0
2015-10-09,2.4642,2.4642,2.4642,2.4642,0,2.4642,0,0,0,0,0,0
2015-10-10,2.4576,2.4576,2.4576,2.4576,0,2.4576,0,0,0,0,0,0
2015-10-12,2.434,2.434,2.434,2.434,0,2.434,0,0,0,0,0,0
2015-10-13,2.4298,2.4298,2.4298,2.4298,0,2.4298,0,0,0,0,0,0
2015-10-14,2.4007,2.4007,2.4007,2.4007,0,2.4007,0,0,0,0,0,0
2015-10-15,2.4302,2.4302,2.4302,2.4302,0,2.4302,0,0,0,0,0,0
