time,val,per
180404,3.3222,-0.006162499
180408,3.3079,-0.004304377
180409,3.2725,-0.010701654
180410,3.2908,0.005592055
180411,3.2922,0.000425428
180412,3.2759,-0.004951097
180413,3.3057,0.009096737
180416,3.282,-0.007169435
180417,3.3014,0.00591103
180418,3.1884,-0.034227903
180419,3.2165,0.008813198
180420,3.2352,0.005813773
180423,3.2354,6.18E-05
180424,3.2322,-0.000989059
180425,3.2316,-0.000185632
180426,3.2498,0.005631885
180427,3.2745,0.007600468
180428,3.2685,-0.001832341
180430,3.2599,-0.002631176
180502,3.2797,0.006073806
180503,3.242,-0.011494954
180504,3.2093,-0.010086366
180507,3.1995,-0.003053625
180508,3.2018,0.000718862
180509,3.2201,0.005715535
180510,3.2274,0.00226701
180511,3.2144,-0.00402801
180514,3.2202,0.00180438
180515,3.239,0.005838147
180516,3.2493,0.003179994
180517,3.2236,-0.007909396
180518,3.2092,-0.004467055
180521,3.2016,-0.002368191
180522,3.1977,-0.001218141
180523,3.1962,-0.000469087
180524,3.185,-0.003504161
180525,3.1964,0.003579278
180528,3.1943,-0.000656989
180529,3.2032,0.002786213
180530,3.2023,-0.000280969
180531,3.2145,0.003809762
180601,3.1891,-0.007901695
180604,3.1892,3.14E-05
180605,3.1791,-0.003166938
180606,3.1772,-0.000597653
180607,3.1834,0.001951404
180608,3.1781,-0.001664887
180611,3.1706,-0.002359901
180612,3.1813,0.003374756
180613,3.1775,-0.00119448
180614,3.1605,-0.005350118
180615,3.1418,-0.005916785
180619,3.1019,-0.012699726
180620,3.1056,0.001192817
180621,3.0769,-0.00924137
180622,3.0669,-0.003250024
180625,3.0529,-0.00456487
180626,3.0416,-0.003701399
180627,3.0455,0.00128222
180628,3.039,-0.002134297
180629,3.0034,-0.01171438
180630,3.117,0.0378238
180702,2.9753,-0.045460379
180703,2.9751,-6.72E-05
180704,2.9775,0.000806696
180705,2.9026,-0.025155332
180706,2.8288,-0.025425481
180709,2.8705,0.014741233
180710,2.9149,0.015467689
180711,2.9108,-0.001406566
180712,2.899,-0.004053868
180713,2.8793,-0.006795447
180716,2.8621,-0.005973674
180717,2.8725,0.003633696
180718,2.8515,-0.007310705
180719,2.8043,-0.016552692
180720,2.7926,-0.004172164
180723,2.7935,0.00032228
180724,2.8011,0.002720601
180725,2.8122,0.003962729
180726,2.8234,0.003982647
180730,2.792,-0.011121343
180731,2.8699,0.027901146
180801,2.7767,-0.032474999
180802,2.7661,-0.003817481
180803,2.6855,-0.029138498
180806,2.6364,-0.018283374
180807,2.596,-0.015323927
180808,2.6498,0.020724191
180809,2.7043,0.02056759
180810,2.763,0.021706172
180813,2.8267,0.023054651
180814,2.8007,-0.009198005
180815,2.7645,-0.01292534
180816,2.7631,-0.000506421
180817,2.8065,0.015706996
180820,2.8385,0.011402102
180821,2.8671,0.010075744
180822,2.8433,-0.008301071
180823,2.7882,-0.019378891
180824,2.7723,-0.005702604
180827,2.8219,0.017891282
180828,2.823,0.000389808
180829,2.8189,-0.001452356
180830,2.8031,-0.005605023
180831,2.8045,0.000499447
180903,2.8181,0.004849349
180904,2.8134,-0.00166779
180905,2.7939,-0.006931115
180906,2.8204,0.009484949
180907,2.8388,0.006523897
180910,2.8522,0.004720304
180911,2.8702,0.006310918
180912,2.8681,-0.000731656
180913,2.8711,0.001045989
180914,2.8637,-0.002577409
180917,2.828,-0.01246639
180918,2.8456,0.006223479
180919,2.8483,0.000948833
180920,2.8939,0.01600955
180921,2.8908,-0.001071219
180925,2.879,-0.004081915
180926,2.8898,0.003751303
180927,2.8646,-0.008720327
180928,2.8469,-0.006178873
180929,2.8429,-0.001405037
180930,2.8535,0.003728587
181008,2.8284,-0.008796215
181009,2.8,-0.010041013
181010,2.8002,7.14E-05
181011,2.7978,-0.000857082
181012,2.7932,-0.001644149
181015,2.7949,0.000608621
181016,2.8036,0.003112813
181017,2.8019,-0.000606363
181018,2.788,-0.004960919
181019,2.7762,-0.004232425
181022,2.7995,0.008392767
181023,2.7808,-0.006679764
181024,2.7686,-0.004387227
181025,2.7625,-0.00220328
181026,2.7765,0.005067873
181029,2.7581,-0.006627048
181030,2.7582,3.63E-05
181031,2.7859,0.010042782
181101,2.7619,-0.00861481
181102,2.7913,0.010644846
181105,2.7958,0.001612152
181106,2.7684,-0.009800415
181107,2.7626,-0.002095073
181108,2.7648,0.000796351
181109,2.7826,0.006438079
181112,2.7945,0.004276576
181113,2.7818,-0.004544641
181114,2.7541,-0.009957581
181115,2.7642,0.00366726
181116,2.7528,-0.004124159
181119,2.7636,0.003923278
181120,2.7648,0.000434216
181121,2.7519,-0.004665799
181122,2.7594,0.00272539
181123,2.7602,0.000289918
181126,2.7629,0.00097819
181127,2.7821,0.00694922
181128,2.7679,-0.005104058
181129,2.7596,-0.002998663
181130,2.7691,0.003442528
181203,2.7532,-0.005741938
181204,2.7323,-0.007591167
181205,2.7021,-0.011052959
181206,2.7112,0.003367751
181207,2.724,0.004721157
181210,2.6958,-0.010352423
181211,2.7049,0.003375621
181212,2.709,0.001515768
181213,2.7335,0.009043928
181214,2.7521,0.006804463
181217,2.737,-0.005486719
181218,2.7372,7.31E-05
181219,2.7204,-0.006137659
181220,2.6883,-0.011799735
181221,2.685,-0.001227542
181224,2.6922,0.002681564
181225,2.6779,-0.005311641
181226,2.6716,-0.00235259
181227,2.6672,-0.001646953
181228,2.6537,-0.005061488
181231,2.721,0.025360817
190102,2.5915,-0.047592797
190103,2.5813,-0.003935944
190104,2.5845,0.001239685
190107,2.5448,-0.015360805
190108,2.4703,-0.029275385
190109,2.4953,0.010120228
190110,2.5213,0.010419589
190111,2.5111,-0.004045532
190114,2.5273,0.006451356
190115,2.5106,-0.006607842
190116,2.476,-0.013781566
190117,2.4809,0.001978998
190118,2.5076,0.010762223
190121,2.5284,0.008294784
190122,2.5412,0.00506249
190123,2.5314,-0.003856446
190124,2.5419,0.004147902
190125,2.551,0.003579999
190128,2.5414,-0.00376323
190129,2.5341,-0.002872433
190130,2.5274,-0.002643937
190131,2.5265,-0.000356097
190201,2.5444,0.0070849
190202,2.5156,-0.011318975
190211,2.4946,-0.008347909
190212,2.4888,-0.002325022
190213,2.4853,-0.0014063
190214,2.4711,-0.005713596
190215,2.4726,0.000607017
190218,2.4895,0.006834911
190219,2.5019,0.00498092
190220,2.4913,-0.00423678
190221,2.5029,0.004656204
190222,2.5172,0.005713372
190225,2.5565,0.015612585
190226,2.6151,0.022921964
190227,2.6019,-0.005047608
190228,2.6111,0.003535878
190301,2.6265,0.005897897
190304,2.6389,0.004721112
190305,2.6572,0.006934708
190306,2.6447,-0.0047042
190307,2.5963,-0.018300752
190308,2.5767,-0.007549205
190311,2.5662,-0.00407498
190312,2.6081,0.016327644
190313,2.6013,-0.002607262
190314,2.6255,0.009303041
190315,2.6347,0.003504094
190318,2.6278,-0.002618894
190319,2.6288,0.000380546
190320,2.6226,-0.002358491
190321,2.6059,-0.006367727
190322,2.598,-0.003031582
190325,2.5823,-0.00604311
190326,2.5922,0.003833792
190327,2.6082,0.006172363
190328,2.6033,-0.00187869
190329,2.6136,0.003956517
190331,2.6154,0.000688705
190401,2.6403,0.009520532
190402,2.6518,0.004355566
190403,2.6569,0.001923222
190404,2.6759,0.007151191
190408,2.6957,0.00739938
190409,2.7368,0.015246504
190410,2.7784,0.015200234
190411,2.7466,-0.011445436
190412,2.7652,0.006772009
190415,2.8476,0.02979893
190416,2.8954,0.016786065
190417,2.8975,0.000725288
190418,2.8687,-0.009939603
190419,2.8329,-0.01247952
190422,2.887,0.019097038
190423,2.9355,0.016799446
190424,2.9491,0.004632942
190425,2.916,-0.011223763
190426,2.8879,-0.009636488
190428,2.895,0.002458534
190429,2.8731,-0.007564767
190430,2.8384,-0.012077547
190505,2.84,0.000563698
190506,2.7944,-0.016056338
190507,2.7745,-0.007121386
190508,2.7413,-0.01196612
190509,2.7236,-0.006456791
190510,2.7364,0.004699662
190513,2.7078,-0.010451688
190514,2.7229,0.005576483
190515,2.7234,0.000183628
190516,2.7065,-0.006205478
190517,2.7111,0.001699612
190520,2.7358,0.009110693
190521,2.7538,0.006579428
190522,2.7626,0.003195584
190523,2.7476,-0.005429668
190524,2.7403,-0.002656864
190527,2.7941,0.019632887
190528,2.8176,0.008410579
190529,2.7625,-0.01955565
190530,2.7648,0.000832579
190531,2.7656,0.000289352
190603,2.728,-0.013595603
190604,2.7144,-0.004985337
190605,2.7004,-0.005157678
190606,2.6761,-0.008998667
190610,2.6945,0.006875677
190611,2.721,0.009834849
190612,2.7207,-0.000110254
190613,2.6914,-0.010769287
190614,2.6746,-0.006242104
190617,2.6432,-0.011740073
190618,2.6362,-0.002648305
190619,2.6189,-0.006562476
190620,2.5897,-0.011149719
190621,2.6054,0.006062478
190624,2.6267,0.008175328
190625,2.6339,0.002741082
190626,2.6481,0.005391245
190627,2.6533,0.001963672
