time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model9,y_test_model11,y_real
161014,-1.226384212,0.250988006,0.727153321,0.257678573,-1.326538091,-0.508582449,-0.296325521,1.062992771,-1.185160606,-0.477800305,0.328511455,0.051972031,-1.227409455,0.061507295,0.188560101,0.600036552,0,0,0,0,0,0,0,0,0
161021,-1.326538091,-0.508582449,-0.296325521,1.062992771,-1.185160606,-0.477800305,0.328511455,0.051972031,-1.227409455,0.061507295,0.188560101,0.600036552,-1.318214818,0.391663915,0.6131802,0.505096745,0,0,0,0,0,0,0,0,0
161028,-1.185160606,-0.477800305,0.328511455,0.051972031,-1.227409455,0.061507295,0.188560101,0.600036552,-1.318214818,0.391663915,0.6131802,0.505096745,-1.165869328,-0.720478281,0.130851386,0.122961194,0,0,0,0,0,0,0,0,0
161104,-1.227409455,0.061507295,0.188560101,0.600036552,-1.318214818,0.391663915,0.6131802,0.505096745,-1.165869328,-0.720478281,0.130851386,0.122961194,-1.216832824,-0.246492442,0.267676716,0.292082349,1,0,0,0,0,0,0,1,0
161111,-1.318214818,0.391663915,0.6131802,0.505096745,-1.165869328,-0.720478281,0.130851386,0.122961194,-1.216832824,-0.246492442,0.267676716,0.292082349,-1.222486229,-0.290739203,0.222788355,0.358006977,0,0,0,0,0,0,0,0,0
161118,-1.165869328,-0.720478281,0.130851386,0.122961194,-1.216832824,-0.246492442,0.267676716,0.292082349,-1.222486229,-0.290739203,0.222788355,0.358006977,-1.301586639,0.17602638,0.65288231,0.402376524,0,0,0,0,0,0,0,0,0
161125,-1.216832824,-0.246492442,0.267676716,0.292082349,-1.222486229,-0.290739203,0.222788355,0.358006977,-1.301586639,0.17602638,0.65288231,0.402376524,-1.153159931,-0.804720028,0.104471164,-0.106435893,0,0,0,0,0,0,0,0,0
161202,-1.222486229,-0.290739203,0.222788355,0.358006977,-1.301586639,0.17602638,0.65288231,0.402376524,-1.153159931,-0.804720028,0.104471164,-0.106435893,-1.160798153,-0.495067069,0.405627693,-0.2004,0,0,0,0,0,0,0,0,0
161209,-1.301586639,0.17602638,0.65288231,0.402376524,-1.153159931,-0.804720028,0.104471164,-0.106435893,-1.160798153,-0.495067069,0.405627693,-0.2004,-1.119158463,-0.924367153,-0.123446041,0.091788057,0,0,0,0,0,0,0,0,0
161216,-1.153159931,-0.804720028,0.104471164,-0.106435893,-1.160798153,-0.495067069,0.405627693,-0.2004,-1.119158463,-0.924367153,-0.123446041,0.091788057,-1.249447037,-0.448760757,0.254514888,0.253934402,0,0,0,0,0,0,1,0,1
161223,-1.160798153,-0.495067069,0.405627693,-0.2004,-1.119158463,-0.924367153,-0.123446041,0.091788057,-1.249447037,-0.448760757,0.254514888,0.253934402,-1.086232797,-1.497428815,-0.432843459,0.114402185,1,1,0,0,0,0,1,0,1
161230,-1.119158463,-0.924367153,-0.123446041,0.091788057,-1.249447037,-0.448760757,0.254514888,0.253934402,-1.086232797,-1.497428815,-0.432843459,0.114402185,-1.235192041,-0.507003023,0.292914565,0.06386499,0,0,0,0,0,0,0,0,0
170106,-1.249447037,-0.448760757,0.254514888,0.253934402,-1.086232797,-1.497428815,-0.432843459,0.114402185,-1.235192041,-0.507003023,0.292914565,0.06386499,-1.263762002,-0.327324248,0.259406161,0.218823895,0,0,0,0,0,0,0,0,0
170113,-1.086232797,-1.497428815,-0.432843459,0.114402185,-1.235192041,-0.507003023,0.292914565,0.06386499,-1.263762002,-0.327324248,0.259406161,0.218823895,-1.35105661,0.08641618,0.559486934,0.24805167,0,0,0,0,0,0,0,0,0
170120,-1.235192041,-0.507003023,0.292914565,0.06386499,-1.263762002,-0.327324248,0.259406161,0.218823895,-1.35105661,0.08641618,0.559486934,0.24805167,-1.239760065,-0.424527251,-0.334589433,0.823030064,0,0,0,0,0,0,0,0,0
170126,-1.263762002,-0.327324248,0.259406161,0.218823895,-1.35105661,0.08641618,0.559486934,0.24805167,-1.239760065,-0.424527251,-0.334589433,0.823030064,-1.198544266,-0.529047701,-0.147319328,0.567167879,1,0,0,0,0,0,0,1,0
170203,-1.35105661,0.08641618,0.559486934,0.24805167,-1.239760065,-0.424527251,-0.334589433,0.823030064,-1.198544266,-0.529047701,-0.147319328,0.567167879,-1.362166912,0.001530943,0.5161151,0.279975478,0,0,0,0,0,0,0,0,0
170210,-1.239760065,-0.424527251,-0.334589433,0.823030064,-1.198544266,-0.529047701,-0.147319328,0.567167879,-1.362166912,0.001530943,0.5161151,0.279975478,-1.392843361,-0.31917124,0.136532932,0.365367665,0,0,0,0,0,0,0,0,0
170217,-1.198544266,-0.529047701,-0.147319328,0.567167879,-1.362166912,0.001530943,0.5161151,0.279975478,-1.392843361,-0.31917124,0.136532932,0.365367665,-1.349360407,-0.03270887,0.712255958,0.22657536,0,0,0,0,0,0,0,0,0
170224,-1.362166912,0.001530943,0.5161151,0.279975478,-1.392843361,-0.31917124,0.136532932,0.365367665,-1.349360407,-0.03270887,0.712255958,0.22657536,-1.171871882,-0.877071649,0.030029554,-0.030000255,0,0,0,0,0,0,0,0,0
170303,-1.392843361,-0.31917124,0.136532932,0.365367665,-1.349360407,-0.03270887,0.712255958,0.22657536,-1.171871882,-0.877071649,0.030029554,-0.030000255,-1.200471334,0.026523495,0.833984598,-0.203691921,0,0,0,0,0,0,0,0,0
170310,-1.349360407,-0.03270887,0.712255958,0.22657536,-1.171871882,-0.877071649,0.030029554,-0.030000255,-1.200471334,0.026523495,0.833984598,-0.203691921,-1.118202858,-0.402160248,0.1690323,0.155759363,0,0,0,0,0,0,0,0,0
170317,-1.171871882,-0.877071649,0.030029554,-0.030000255,-1.200471334,0.026523495,0.833984598,-0.203691921,-1.118202858,-0.402160248,0.1690323,0.155759363,-1.202152313,-0.221674208,0.228093721,0.390547896,0,0,0,0,0,0,0,0,0
170324,-1.200471334,0.026523495,0.833984598,-0.203691921,-1.118202858,-0.402160248,0.1690323,0.155759363,-1.202152313,-0.221674208,0.228093721,0.390547896,-1.129133399,-0.506781309,0.244205367,0.038418541,0,0,0,0,0,0,0,0,0
170331,-1.118202858,-0.402160248,0.1690323,0.155759363,-1.202152313,-0.221674208,0.228093721,0.390547896,-1.129133399,-0.506781309,0.244205367,0.038418541,-1.171512683,0.18231788,0.395545102,0.368874184,0,0,0,0,0,0,0,0,0
170407,-1.202152313,-0.221674208,0.228093721,0.390547896,-1.129133399,-0.506781309,0.244205367,0.038418541,-1.171512683,0.18231788,0.395545102,0.368874184,-1.106052971,-0.361422113,-0.277800391,0.689606087,0,0,0,0,0,0,0,0,0
170414,-1.129133399,-0.506781309,0.244205367,0.038418541,-1.171512683,0.18231788,0.395545102,0.368874184,-1.106052971,-0.361422113,-0.277800391,0.689606087,-1.338048798,0.32465289,0.708396619,0.228652398,0,0,0,0,0,0,0,0,0
170421,-1.171512683,0.18231788,0.395545102,0.368874184,-1.106052971,-0.361422113,-0.277800391,0.689606087,-1.338048798,0.32465289,0.708396619,0.228652398,-1.186628323,-0.079952115,0.025979814,0.703920079,0,0,0,0,0,0,0,0,0
170428,-1.106052971,-0.361422113,-0.277800391,0.689606087,-1.338048798,0.32465289,0.708396619,0.228652398,-1.186628323,-0.079952115,0.025979814,0.703920079,-1.077089226,-0.838145872,-0.576330468,0.745945537,1,0,0,0,0,0,0,1,0
170505,-1.338048798,0.32465289,0.708396619,0.228652398,-1.186628323,-0.079952115,0.025979814,0.703920079,-1.077089226,-0.838145872,-0.576330468,0.745945537,-1.133108814,-0.378548522,-0.066618961,0.582795778,1,1,0,0,0,0,1,1,1
170512,-1.186628323,-0.079952115,0.025979814,0.703920079,-1.077089226,-0.838145872,-0.576330468,0.745945537,-1.133108814,-0.378548522,-0.066618961,0.582795778,-1.192064103,-0.447543862,-0.185989064,0.606754354,1,0,0,0,0,0,0,1,0
170519,-1.077089226,-0.838145872,-0.576330468,0.745945537,-1.133108814,-0.378548522,-0.066618961,0.582795778,-1.192064103,-0.447543862,-0.185989064,0.606754354,-1.039709475,-0.853181774,-0.569322993,0.838521335,1,0,0,0,0,0,0,1,0
170526,-1.133108814,-0.378548522,-0.066618961,0.582795778,-1.192064103,-0.447543862,-0.185989064,0.606754354,-1.039709475,-0.853181774,-0.569322993,0.838521335,-1.149724647,-0.14676263,0.492034611,-0.044061104,0,0,0,0,0,0,0,0,0
170602,-1.192064103,-0.447543862,-0.185989064,0.606754354,-1.039709475,-0.853181774,-0.569322993,0.838521335,-1.149724647,-0.14676263,0.492034611,-0.044061104,-0.96825882,-0.274684276,-0.245564847,0.603852788,0,0,0,0,0,0,0,0,0
170609,-1.039709475,-0.853181774,-0.569322993,0.838521335,-1.149724647,-0.14676263,0.492034611,-0.044061104,-0.96825882,-0.274684276,-0.245564847,0.603852788,-1.138827469,-0.146893736,-0.157943951,0.539846847,0,0,0,0,0,0,0,0,0
