time,normper,normcjl,normcje,normjc,normccl
160205,1.194281983,-0.749313091,-0.585351067,0.007650302,-0.950837364
160219,0.571704489,-0.788666367,-0.604319937,-2.051751344,-0.819521181
160226,-1.613327491,-0.688885517,-0.541009855,-2.294859911,-0.791825238
160304,-0.006532267,-0.623850005,-0.510962699,-1.524068109,-0.832205649
160311,-0.245338442,-0.654420948,-0.525267395,-0.600517926,-0.859513757
160318,1.811516589,-0.695252399,-0.546652951,-1.2749861,-0.781581846
160325,0.493656408,-0.677621668,-0.526844843,-1.492395849,-0.755847889
160401,0.615992846,-0.639416247,-0.499981256,-0.609856123,-0.796502066
160408,0.554994866,-0.73038999,-0.555815145,-0.084289629,-0.83359729
160415,0.614421408,-0.705430326,-0.534715327,-1.526423938,-0.82992427
160422,-1.405714358,-0.666940005,-0.518195936,-1.420906068,-0.754912524
160429,0.10121599,-0.682989338,-0.533141045,-1.163966705,-0.741908663
160506,0.10040408,-0.736839452,-0.563573434,-0.323967097,-0.743802208
160513,-1.217351338,-0.681354263,-0.537093351,-0.091409692,-0.852829316
160520,-0.406384633,-0.71638863,-0.56020239,-1.530832669,-0.682387481
160527,0.329807819,-0.665391639,-0.529428285,-0.765850327,-0.645588836
160603,1.688944435,-0.657257555,-0.515667792,0.235398411,-0.712866706
160608,-0.013001353,-0.816285093,-0.61918218,0.246982282,-0.785916466
160617,-0.843899128,-0.693918739,-0.539699031,-1.325174528,-0.804509706
160624,-0.105978093,-0.649804752,-0.51059576,-0.861366563,-0.726554981
160701,1.033026267,-0.690718782,-0.532720669,-0.299551342,-0.725437105
160708,0.93022804,-0.703774607,-0.535389535,0.162166168,-0.798281541
160715,0.668897921,-0.745675462,-0.561116169,0.583228724,-1.272831215
160722,-0.69005536,-0.70904731,-0.536431003,-0.882711729,-0.779574232
160729,-0.750189049,-0.697110438,-0.530045855,-0.651971892,-0.775216798
160805,0.150794855,-0.746587966,-0.568782991,-0.103633216,-0.786053349
160812,0.479722992,-0.734622191,-0.556396567,0.114120769,-0.8423806
160819,0.513404144,-0.765944609,-0.574344224,-0.828001912,-0.728813547
160826,-0.489461316,-0.741484551,-0.559267471,-1.048046634,-0.698151811
160902,-0.100294726,-0.753318198,-0.567743303,-0.477494065,-0.700547259
160909,0.706036236,-0.750770619,-0.563657415,0.272325598,-0.842631552
160914,-0.753908119,-0.852876084,-0.639902266,0.496329666,-1.134648081
160923,0.073872971,-0.796899547,-0.600443904,-0.302616925,-0.809779692
160930,0.075287265,-0.789962866,-0.595442367,0.47971118,-0.833756987
161014,0.618323813,-0.808807516,-0.605645752,0.567261158,-0.894213534
161021,-0.23446933,-0.799323256,-0.598200105,-0.386451652,-0.845597344
161028,0.073218205,-0.806016328,-0.603108513,0.03721959,-0.826547829
161104,-0.007108461,-0.805025373,-0.602923105,0.060278428,-0.863688681
161111,0.565497309,-0.79446758,-0.594530413,0.336999497,-0.947187157
161118,-0.222788309,-0.832912482,-0.620984669,-0.597322159,-0.723520747
161125,0.207654715,-0.810013177,-0.60445241,-0.503329326,-0.697923673
161202,-0.532282998,-0.81181754,-0.605651026,-0.502788562,-0.759931558
161209,-0.030653838,-0.829373949,-0.62019107,-0.126519309,-0.898434085
161216,-1.089410105,-0.81161522,-0.61099493,-0.830118653,-0.850296985
161223,0.031025098,-0.839064657,-0.631326521,-0.305285696,-0.82577216
161230,0.052187128,-0.850332634,-0.639316455,-0.065309056,-0.828692325
170106,0.502718366,-0.873760448,-0.654670586,0.190161982,-0.855361647
170113,-0.66265996,-0.842297646,-0.63213562,0.394942633,-0.899164127
170120,-0.492211332,-0.80874971,-0.612575947,0.107776804,-0.883856073
170126,0.41364403,-0.87968553,-0.660938012,0.161505234,-0.89286752
170203,-0.076487443,-0.950625478,-0.71066012,0.071553111,-0.885202086
170210,0.561935384,-0.836541852,-0.629180289,0.061338676,-0.983643596
170217,-0.343343784,-0.842396741,-0.632306931,-0.580250533,-0.767596992
170224,0.821720254,-0.778504956,-0.585243634,-0.22227964,-0.71403021
170303,-0.048018227,-0.765791837,-0.575122432,-0.150597087,-0.726920002
170310,0.021517899,-0.786333496,-0.589133113,0.128829055,-0.848768461
