time,per,cjl,cje,jc,ccl
200731,4.7656,559011,7.13E+11,-63.6696,103706
200807,1.9145,556796,7.38E+11,-66.6822,95135
200814,0.2843,530104,6.93E+11,6.8367,86776
200821,-0.8453,412805,5.49E+11,-121.7444,133479
200828,2.2884,558265,7.29E+11,-31.2096,135011
200904,-0.9157,520378,6.88E+11,-39.7762,122849
200911,-4.3383,578848,7.39E+11,-31.967,114709
200918,2.4182,434819,5.51E+11,-31.8692,100788
200925,-3.1536,457200,5.75E+11,-27.2904,103853
200930,-0.5519,276773,3.43E+11,-29.5045,90987
201009,2.8921,78291,99272015872,-25.3711,85688
201016,1.3546,284984,3.70E+11,-9.0822,0
201023,-2.8566,404518,5.08E+11,-44.4626,96750
201030,-1.7391,412757,5.09E+11,-43.2803,96674
201106,3.3834,431352,5.36E+11,-12.8477,85497
201113,0.4277,385333,4.87E+11,-14.77,77356
201120,1.7611,309478,3.92E+11,-43.7854,136117
201127,-0.5643,405370,5.16E+11,-7.6119,133653
201204,2.2546,429534,5.48E+11,-6.3345,113529
201211,-3.8573,392175,4.97E+11,-13.027,106683
201218,1.0319,314899,3.93E+11,-45.318,89727
201225,0.3236,386874,4.85E+11,-16.4981,92570
201231,1.3507,289735,3.62E+11,-19.1149,91004
210108,3.2599,384565,4.98E+11,-6.9964,82709
210115,-2.0659,293165,3.80E+11,-27.3011,0
210122,3.1738,319122,4.14E+11,-71.2052,72891
210129,-3.762,334390,4.32E+11,-32.5371,78082
210205,-0.7992,301853,3.83E+11,-8.6709,62476
210210,3.9818,164079,2.09E+11,-33.1658,35304
210219,1.9906,124302,1.63E+11,-73.4821,138714
210226,-4.4188,431668,5.63E+11,-43.9529,137938
210305,1.0103,382430,4.89E+11,-4.4964,125358
210312,-2.8298,426555,5.28E+11,-7.1802,98369
210319,0,280428,3.47E+11,-9.8023,0
210326,1.4718,336753,4.16E+11,-19.3941,95849
210402,0.9589,276239,3.45E+11,-30.2059,86343
210409,0.4701,224299,2.83E+11,-8.4393,80033
210416,0.0696,286203,3.58E+11,-14.1906,82867
210423,2.0819,262564,3.36E+11,-19.7558,74759
210430,0.7152,272189,3.51E+11,-8.1075,76667
210507,-0.5167,119670,1.55E+11,-14.2429,73969
210514,1.703,286205,3.69E+11,19.3964,60860
210521,-0.4781,222117,2.91E+11,-32.664,125308
210528,2.3732,279030,3.68E+11,-16.3696,111990
210604,0.5306,301496,4.01E+11,-24.0574,106383
210611,1.2555,271679,3.63E+11,0.0848,79104
210618,-1.1125,182261,2.41E+11,-9.1635,0
210625,2.8372,251331,3.37E+11,-13.6138,96186
210702,-2.3791,252774,3.41E+11,-19.0451,96509
210709,2.1471,274319,3.68E+11,-20.3389,84885
210716,1.5603,272399,3.76E+11,-38.5232,88600
210723,0.9474,257027,3.55E+11,-38.7499,87385
210730,-2.6503,372298,5.02E+11,-8.716,91968
210806,2.4201,267978,3.66E+11,-40.6679,79136
210813,2.913,258217,3.61E+11,-8.8876,67415
210820,-2.8734,267175,3.70E+11,-58.2248,157080
210827,3.7641,278642,3.92E+11,-73.3088,145668
210903,1.4821,355290,5.09E+11,-61.6809,137934
210910,5.4987,325626,4.84E+11,-13.8749,105957
210917,-3.5645,353031,5.31E+11,-74.5645,101846
210924,0.8567,188689,2.79E+11,-10.3843,98051
210930,-3.6528,275834,3.94E+11,-8.4076,85413
211008,-0.2311,57105,81142640640,-9.9356,83939
211015,-0.8217,252850,3.55E+11,0.8404,0
211022,-0.0428,225510,3.18E+11,-21.8676,77968
211029,0.1885,227480,3.19E+11,-7.0992,77552
211105,-0.0799,234059,3.29E+11,11.6923,74568
211112,2.1995,214158,3.02E+11,8.3873,58029
211119,0.0642,199409,2.83E+11,0.1241,150436
211126,0.4719,208702,3.01E+11,-23.4622,141114
211203,1.3348,258229,3.73E+11,-13.9173,122941
211210,0.6018,268453,3.89E+11,15.354,93005
211217,-0.0492,231630,3.40E+11,1.4399,85508
211224,-0.0027,223668,3.26E+11,30.6444,89080
211231,0.9614,211781,3.10E+11,12.3976,93717
220107,-2.5184,193444,2.81E+11,16.324,85895
220114,-1.5226,205923,2.95E+11,7.2592,77582
220121,-1.1536,214000,3.04E+11,32.5845,77434
220128,-6.3009,259758,3.52E+11,-19.53,80855
220211,2.5821,215672,2.91E+11,8.7765,66091
220218,1.0864,205894,2.78E+11,-5.6217,147682
220225,-0.0616,289869,3.95E+11,-1.2311,138533
220304,-0.0088,250212,3.42E+11,13.1663,126239
220311,-4.7527,400326,5.15E+11,7.0731,100720
220318,-2.3614,390892,4.84E+11,-39.2166,104250
220325,-1.4346,294193,3.71E+11,-57.2376,105048
220401,2.0283,294473,3.70E+11,3.8794,93892
220408,-2.4045,188852,2.36E+11,-14.1167,91359
220415,-2.8948,342488,4.15E+11,-52.7489,100720
220422,-5.7824,358173,4.22E+11,-54.3844,107542
220429,-1.4971,537565,5.78E+11,-8.9021,103391
220506,-1.6264,149340,1.67E+11,-59.5693,102168
220513,4.7574,383735,4.35E+11,-14.4014,82261
220520,2.1041,361352,4.17E+11,-38.2882,179287
220527,-0.3172,432170,5.02E+11,-54.915,174431
220602,3.8269,309490,3.67E+11,-28.2349,166362
220610,3.3773,432148,5.31E+11,10.2968,126044
220617,0.6376,464412,5.79E+11,-33.9092,129198
220624,1.2181,424232,5.29E+11,-19.6827,125766
220701,1.0844,378852,4.86E+11,-25.3375,117152
220708,-0.4988,359726,4.63E+11,-21.2393,98193
220715,-2.3091,299669,3.76E+11,56.2001,0
220722,1.0747,315774,3.97E+11,-44.7325,96095
220729,0.3529,285101,3.57E+11,-38.9144,86312
220805,-0.0639,354198,4.38E+11,-12.5113,81405
220812,2.8063,220209,2.79E+11,-2.453,64579
220819,-1.115,230292,2.97E+11,-41.5159,170846
220826,-1.4556,326813,4.13E+11,-29.3739,161563
220902,-2.0797,335536,4.15E+11,-19.2273,149568
220909,3.0249,284801,3.56E+11,-2.3724,109843
220916,-6.3519,272575,3.37E+11,-36.5037,106956
220923,-0.9478,303662,3.59E+11,-16.2019,112885
220930,-2.9439,329968,3.84E+11,-3.8629,101694
221014,4.4913,331953,3.83E+11,10.3611,87634
221021,-0.7182,264668,3.17E+11,-13.0811,87409
221028,-2.8974,367508,4.35E+11,-10.7972,98258
221104,6.2917,326301,3.88E+11,22.7371,83189
221111,-0.1464,254278,3.13E+11,0.9789,70103
221118,0.5793,235594,2.92E+11,23.9523,175266
221125,-2.003,309597,3.80E+11,8.3409,164179
221202,1.1365,285311,3.51E+11,7.9873,141046
221209,0.3072,277000,3.44E+11,11.8991,108058
221216,-2.5691,233442,2.86E+11,-20.0627,0
221223,-4.8059,237444,2.80E+11,28.4542,103465
221230,1.6589,179184,2.11E+11,6.3331,94133
230106,2.5466,157932,1.89E+11,11.3848,85799
230113,0.9461,184952,2.24E+11,24.3098,67777
230120,3.0566,169122,2.08E+11,-7.2337,0
230203,1.1804,196231,2.49E+11,-0.4861,66562
230210,-0.0946,210619,2.66E+11,3.148,55328
230217,-1.4724,186817,2.37E+11,-0.8053,153714
230224,1.4012,237062,3.00E+11,-1.4435,139385
230303,0.7876,216281,2.75E+11,-17.7177,126170
230310,-2.6919,239578,3.02E+11,-1.8989,101305
230316,-0.8569,208715,2.59E+11,14.1683,24965
