per,normcjl,normcje,jc,normccl,normper,normjc,time
0.025051754,-0.766572399,-0.57,-298.0976,-1.085151311,1.258500301,-2.815697413,151022
0.034568616,-0.777750669,-0.58,-230.2344,-1.083651395,1.73215844,-2.043436126,151023
-0.001165331,-0.789045582,-0.58,-321.7548,-1.076805006,-0.04633481,-3.084908705,151026
0.012544543,-0.769643994,-0.57,-328.0362,-1.064104106,0.636011262,-3.156389007,151027
-0.035670467,-0.781191632,-0.58,-365.4952,-1.066813631,-1.76366963,-3.582660323,151028
0.010026541,-0.781561001,-0.58,-326.9748,-1.054233693,0.510689266,-3.144310618,151029
-0.00103187,-0.769430148,-0.57,-301.1706,-1.042839171,-0.039692401,-2.85066716,151030
-0.021113244,-0.770868743,-0.57,-267.6315,-1.035896013,-1.03915065,-2.46900304,151102
-0.004687359,-0.785274131,-0.58,-263.9029,-1.037033046,-0.221627593,-2.426572777,151103
0.062336051,-0.752478059,-0.55,-177.3884,-1.029122199,3.114155108,-1.442065722,151104
0.001584965,-0.780083526,-0.57,-210.0505,-1.054015963,0.090548554,-1.813749866,151105
0.032520771,-0.798999102,-0.58,-153.0471,-1.048959795,1.630236351,-1.165069594,151106
0.010062825,-0.806192076,-0.59,-190.0014,-1.053338582,0.512495136,-1.585597587,151109
5.41E-05,-0.829054067,-0.61,-181.0084,-1.068990928,0.014356773,-1.483260153,151110
0.019244533,-0.834789006,-0.61,-139.666,-1.06768455,0.969472522,-1.012797,151111
0.003165315,-0.822366546,-0.6,-163.4517,-1.077167889,0.169203224,-1.28347058,151112
-0.005865024,-0.816962096,-0.59,-99.108,-1.082296633,-0.280240465,-0.551260065,151113
0.021523959,-0.820850189,-0.6,-80.8548,-1.095771683,1.082920492,-0.343544548,151116
-0.010016429,-0.824330033,-0.6,-102.7808,-1.135567835,-0.4868576,-0.593055343,151117
-0.007814375,-0.855493105,-0.63,-27.9417,-1.174372108,-0.377260466,0.258589432,151118
0.023515655,-0.890349867,-0.66,-21.622,-1.229070649,1.182048022,0.330505576,151119
-0.031574987,-0.795888627,-0.58,-363.6655,-1.014824615,-1.559835905,-3.561838928,151120
-0.010738656,-0.795966389,-0.58,-387.5822,-0.987971284,-0.522803135,-3.834003246,151123
0.013679561,-0.802673351,-0.58,-327.4975,-0.97776218,0.692501575,-3.150258775,151124
0.023561787,-0.812140859,-0.59,-291.3841,-0.964698398,1.18434403,-2.739299953,151125
