time,val,cmax,avg,std
2015-10-12,"3,447.69",0.967030098,0.976636608,0.033089849
2015-10-13,"3,445.04",0.985967416,0.975934978,0.032715033
2015-10-14,"3,406.11",0.973857858,0.974765198,0.032328628
2015-10-15,"3,486.82",0.959954916,0.973519957,0.032398908
2015-10-16,"3,534.07",0.92842813,0.969970913,0.033289172
2015-10-19,"3,534.18",0.89192684,0.964620346,0.036802757
2015-10-20,"3,577.70",0.92496576,0.960868634,0.036830818
2015-10-21,"3,473.25",0.904771222,0.956888562,0.038423769
2015-10-22,"3,524.53",0.908759818,0.952326553,0.03845221
2015-10-23,"3,571.24",0.924686251,0.948560865,0.037205331
2015-10-26,"3,589.26",0.93028368,0.945075049,0.035352026
2015-10-27,"3,592.88",0.908193427,0.942305384,0.035989546
2015-10-28,"3,524.92",0.914308299,0.943262745,0.034907864
2015-10-29,"3,533.31",0.899542985,0.943735422,0.034206933
2015-10-30,"3,534.08",0.90254893,0.941711535,0.035426777
2015-11-02,"3,475.96",0.884763755,0.936788422,0.036187328
2015-11-03,"3,465.49",0.891471466,0.931844005,0.035225379
2015-11-04,"3,628.54",0.908486609,0.927815946,0.032866965
2015-11-05,"3,705.97",0.901280906,0.923372445,0.029866433
2015-11-06,"3,793.37",0.908872586,0.921005048,0.028989318
2015-11-09,"3,840.35",0.89706407,0.917506746,0.027316212
2015-11-10,"3,833.24",0.886926973,0.912554724,0.022867056
2015-11-11,"3,833.65",0.907943286,0.909258995,0.017742451
2015-11-12,"3,795.32",0.920246853,0.907273592,0.013480819
2015-11-13,"3,746.24",0.920275496,0.90686596,0.012919037
2015-11-16,"3,764.13",0.931607796,0.908850008,0.013536269
2015-11-17,"3,758.39",0.904409754,0.907822208,0.013018715
2015-11-18,"3,715.58",0.917762704,0.908471782,0.013181562
2015-11-19,"3,774.97",0.929925658,0.909530074,0.014028363
2015-11-20,"3,774.38",0.934617938,0.910026658,0.014750314
2015-11-23,"3,753.34",0.935560561,0.910290503,0.015172872
2015-11-24,"3,753.89",0.917864257,0.910774044,0.015256392
2015-11-25,"3,781.61",0.920048954,0.911061077,0.015379887
2015-11-26,"3,759.43",0.920249456,0.9120964,0.015260199
2015-11-27,"3,556.99",0.905115419,0.912224725,0.0151863
2015-11-30,"3,566.41",0.902389105,0.913105992,0.013971686
2015-12-01,"3,591.70",0.944846173,0.915774728,0.014700332
2015-12-02,"3,721.95",0.965008398,0.918600817,0.018233857
2015-12-03,"3,749.30",0.98776674,0.922925109,0.023426203
2015-12-04,"3,677.59",1,0.92748148,0.02879584
2015-12-07,"3,687.61",0.999893052,0.932622929,0.032072562
2015-12-08,"3,623.02",1,0.93827658,0.033526587
2015-12-09,"3,635.94",1,0.942879416,0.035409305
2015-12-10,"3,623.08",0.990646841,0.946399415,0.0365227
2015-12-11,"3,608.06",0.99537763,0.950154522,0.037542001
2015-12-14,"3,711.32",0.993859758,0.95326712,0.038491993
2015-12-15,"3,694.39",0.982539183,0.957173591,0.037216039
2015-12-16,"3,685.44",0.998244134,0.961197663,0.037081238
2015-12-17,"3,755.89",0.998088116,0.964605786,0.037188005
2015-12-18,"3,767.91",0.992524348,0.967501106,0.036984011
2015-12-21,"3,865.97",0.97100857,0.969273507,0.036214129
2015-12-22,"3,876.73",0.975463857,0.972153487,0.034141597
2015-12-23,"3,866.38",0.969742541,0.974638166,0.031883655
2015-12-24,"3,829.40",0.917523273,0.974501857,0.032133266
2015-12-25,"3,838.20",0.919953156,0.975243744,0.030580751
2015-12-28,"3,727.63",0.926476696,0.976448123,0.027918943
2015-12-29,"3,761.87",0.960074599,0.977209545,0.027210383
2015-12-30,"3,765.18",0.967129514,0.9773156,0.02716442
2015-12-31,"3,731.00",0.948631966,0.975358862,0.027774616
2016-01-04,"3,469.07",0.951216618,0.972919693,0.027638482
2016-01-05,"3,478.78",0.934555669,0.969652823,0.028139329
2016-01-06,"3,539.81",0.937888375,0.966547242,0.02804109
2016-01-07,"3,294.38",0.934571146,0.9632758,0.027748009
2016-01-08,"3,361.56",0.930696747,0.960278295,0.027873406
2016-01-11,"3,192.45",0.957332597,0.958376043,0.026622064
2016-01-12,"3,215.71",0.952965515,0.956331331,0.025290433
2016-01-13,"3,155.88",0.950656868,0.954737215,0.02454538
2016-01-14,"3,221.57",0.9688294,0.953266479,0.022605908
2016-01-15,"3,118.73",0.971929951,0.95195857,0.020538344
2016-01-18,"3,130.73",0.997224465,0.952193576,0.021047518
2016-01-19,"3,223.13",1,0.953643148,0.023290372
2016-01-20,"3,174.38",1,0.954869955,0.025077879
2016-01-21,"3,081.35",0.997707259,0.956268191,0.026679225
2016-01-22,"3,113.46",1,0.960392027,0.026749345
2016-01-25,"3,128.89",0.990027037,0.963895721,0.025744122
2016-01-26,"2,940.51",0.999120892,0.967527931,0.025307796
2016-01-27,"2,930.35",1,0.969524201,0.02624619
2016-01-28,"2,853.76",1,0.971167725,0.027103509
2016-01-29,"2,946.09",0.980015877,0.972736921,0.02663455
2016-02-01,"2,901.05",0.982758962,0.974314038,0.026223892
2016-02-02,"2,961.33",1,0.977586255,0.025058931
2016-02-03,"2,948.64",0.980015231,0.979692597,0.023251819
2016-02-04,"2,984.76",1,0.98296404,0.021069676
2016-02-05,"2,963.79",0.990481302,0.985953268,0.017138174
2016-02-15,"2,946.71",0.99769789,0.987971532,0.015924078
2016-02-16,"3,037.04",0.979135188,0.989280016,0.013834293
2016-02-17,"3,063.32",0.999515998,0.991722973,0.010588059
2016-02-18,"3,053.70",0.967609125,0.991661959,0.010729498
2016-02-19,"3,051.59",0.971332214,0.991632072,0.010788027
