ln,dln,per,lncjl,lncjje,jc,lnccl
8.927101746,0.002259167,-0.002415908,8.971956271,23.19127642,-219.6367,9.460554195
8.935350742,0.008248996,0.008320388,8.8149246,23.04286798,-196.3244,9.468078568
8.896314324,-0.039036418,-0.03578371,9.050992879,23.26952059,-298.3609,9.474779406
8.911691719,0.015377395,0.006308808,9.076923259,23.27689899,-256.1881,9.536906562
8.924177145,0.012485426,0.014724286,8.943897803,23.1617918,-229.6472,9.575885856
8.902319529,-0.021857617,-0.022941897,9.050288984,23.26383652,-268.689,9.566965315
8.836548334,-0.065771194,-0.075248503,8.692322278,22.8641823,-102.2044,9.519000851
8.809713541,-0.026834794,-0.044932079,9.230731062,23.34346658,-190.7414,9.614337737
8.826793299,0.017079759,0.020691477,9.165865882,23.28814485,-251.2068,9.571226437
8.757783656,-0.069009643,-0.075251572,7.694392803,21.78941132,-102.2428,9.510593102
8.764022019,0.006238363,-0.033188537,9.273690687,23.33884447,-170.6316,9.572689189
8.68953175,-0.074490269,-0.086694499,9.326878188,23.36126091,-188.2558,9.517825072
8.711904346,0.022372596,0.001152301,9.306831672,23.31751282,-61.8632,9.387565631
8.683453115,-0.028451231,-0.031061581,9.251482315,23.2606895,-19.644,9.213435577
8.712430973,0.028977859,0.021322804,9.093357016,23.07158309,-46.8202,8.725020039
8.689935682,-0.022495292,-0.021000202,8.609954671,22.61569705,49.1185,#NUM!
8.647378994,-0.042556688,-0.043036241,9.436439551,23.38303784,-283.7076,9.547526639
8.687577111,0.040198117,0.03235056,9.37763289,23.34648093,-268.2947,9.583695426
8.671629545,-0.015947566,-0.016520994,9.340315448,23.31816257,-303.5031,9.59987933
8.64453044,-0.027099105,-0.03032224,9.499795871,23.4702025,-207.8835,9.675582684
8.662124359,0.017593919,0.010000346,9.46148812,23.4134981,-200.8111,9.706864211
8.665613197,0.003488838,0.004724138,9.243678432,23.21314754,-241.3261,9.68979916
8.59437643,-0.071236766,-0.071872917,9.413117937,23.34587022,-188.1069,9.721725839
8.571757131,-0.022619299,-0.035413984,9.565283818,23.437018,-233.7886,9.761117211
8.547722396,-0.024034735,-0.025101843,9.391494581,23.25811621,-116.2325,9.74788582
8.581068993,0.033346597,0.02138917,9.512960317,23.38732092,-139.3254,9.755567422
8.579792333,-0.00127666,-0.008829607,9.324561516,23.20290326,-76.4771,9.730502277
8.616785101,0.036992767,0.044210298,9.381769488,23.2866572,-63.0266,9.719744987
8.622777682,0.005992581,0.011049525,9.332646496,23.23941878,-53.3734,9.671050954
8.647343876,0.024566194,0.029675154,9.326165937,23.2658934,-26.4853,9.656691473
