,time,normper,normcjl,normcje,normjc,normccl,val,cmax,avg,std,rc,rc2,rc3
408,170116,0.673081359,-0.813773859,-0.62,0.382354798,-1.029194776,3319.45,0.988323521,0.992115855,0.00838981,0,0,0.452016606
409,170117,0.147689217,-0.825729747,-0.62,0.635810927,-1.108400006,3326.36,0.982409576,0.992592279,0.007458959,0,0,1.365164062
410,170118,-0.253361008,-0.853315773,-0.64,0.614394375,-1.20654772,3339.37,0.99116174,0.993416972,0.006173993,0,0,0.365279313
411,170119,0.219490949,-0.799057423,-0.61,0.130492962,-0.914185105,3329.29,0.990309681,0.99400257,0.005167876,0,1,0.714585519
412,170120,0.207027443,-0.845714549,-0.64,-0.083089917,-0.912080385,3354.89,0.981976125,0.993714833,0.005671151,1,0,2.069899028
413,170123,0.094574234,-0.861189163,-0.65,0.09560401,-0.92064442,3364.08,0.986370019,0.993453526,0.005890085,0,0,1.202615352
414,170124,0.335111199,-0.861461329,-0.65,0.29697991,-0.917983279,3364.45,0.984585742,0.992696838,0.006013549,0,1,1.348803649
415,170125,0.360687566,-0.880824037,-0.66,0.179336811,-0.92374102,3375.9,0.978076957,0.991979924,0.006845955,1,1,2.030829473
416,170126,-0.114275553,-0.870228981,-0.65,0.097562453,-0.915612444,3387.96,0.973376309,0.99064874,0.00773511,1,0,2.232990841
417,170203,0.332784333,-0.850632988,-0.64,-0.102207775,-0.926668275,3364.49,0.977012716,0.989499376,0.007976548,0,0,1.565421518
418,170206,-0.022119912,-0.849330477,-0.64,-0.203258167,-0.944014075,3373.21,0.986502202,0.989172112,0.007957562,0,0,0.335518553
419,170207,0.508842435,-0.83579991,-0.63,0.064497664,-0.961843719,3365.68,0.99420005,0.989376575,0.008035107,0,0,-0.600299911
420,170208,0.32684722,-0.846725454,-0.64,0.048800537,-0.982721579,3383.29,0.994046565,0.989335795,0.008007824,0,0,-0.588270943
421,170209,0.082830308,-0.83455572,-0.63,0.088276636,-1.020001744,3396.29,0.985684379,0.988957192,0.007991687,0,0,0.409527137
422,170210,0.304144596,-0.848261251,-0.64,0.12759911,-1.054185308,3413.49,0.985472346,0.988230809,0.007585034,0,0,0.363671764
423,170213,-0.024492467,-0.868051648,-0.65,0.088537231,-1.09519107,3436.28,0.977298125,0.987095716,0.007428123,0,0,1.3189861
424,170214,-0.352339724,-0.857592676,-0.64,0.325112747,-1.15020411,3435.8,0.970380761,0.985614754,0.00766869,0,1,1.986518242
425,170215,0.345820149,-0.87390323,-0.66,0.413416764,-1.231852751,3421.71,0.965468472,0.983888177,0.008132726,1,0,2.264887001
426,170216,-0.973650549,-0.796802329,-0.6,-0.494984149,-0.790901706,3440.93,0.964829276,0.982543498,0.008951271,0,0,1.978961716
427,170217,0.804673681,-0.774679075,-0.59,-0.234387273,-0.74532362,3421.44,0.964695591,0.981109008,0.009409473,0,1,1.744350317
428,170220,0.378996657,-0.789998165,-0.59,-0.486740712,-0.739082035,3471.39,0.958221346,0.979603899,0.01053494,1,0,2.029679629
429,170221,0.338814117,-0.795344294,-0.6,-0.386448205,-0.741356101,3482.82,0.958812112,0.978424026,0.011482936,0,0,1.707918012
430,170222,0.131469189,-0.776914729,-0.58,-0.292770705,-0.726332751,3489.76,0.954016895,0.976566783,0.012289855,0,0,1.834837565
431,170223,0.26010475,-0.806853052,-0.61,-0.169557254,-0.734098444,3473.32,0.961352643,0.975118932,0.012291306,0,0,1.120002121
432,170224,-0.413281652,-0.788831737,-0.59,-0.291199172,-0.732332414,3473.85,0.963986062,0.974219428,0.012420665,0,0,0.823898454
433,170227,0.242704317,-0.788501249,-0.59,-0.272026692,-0.743847896,3446.22,0.964092087,0.973105532,0.012271696,0,0,0.734490562
434,170228,0.215481893,-0.760409771,-0.57,-0.218182613,-0.742904401,3452.81,0.967373114,0.9722449,0.012025297,0,0,0.405128101
435,170301,-0.119187594,-0.777653467,-0.58,0.068725214,-0.749678214,3458.44,0.97082894,0.971882499,0.011949264,0,0,0.088169447
436,170302,0.072388276,-0.768535887,-0.58,-0.104391535,-0.747767031,3435.1,0.964103549,0.971418861,0.012067561,0,0,0.606196463
437,170303,0.452369393,-0.784574274,-0.59,-0.078041893,-0.763104879,3427.86,0.966602288,0.97089834,0.012038062,0,0,0.356872409
438,170306,0.020902329,-0.811324359,-0.61,-0.085590032,-0.796852984,3446.48,0.964444546,0.969795457,0.011533082,0,0,0.463961912
439,170307,-0.063960653,-0.815154132,-0.61,0.03616113,-0.814997127,3453.96,0.969490739,0.968559992,0.010003181,0,0,-0.093045086
440,170308,-0.368381524,-0.763461924,-0.57,0.023707212,-0.831375239,3448.73,0.973215923,0.96751846,0.008116343,0,0,-0.701974182
441,170309,0.160733196,-0.806133754,-0.6,0.149631302,-0.876977517,3426.94,0.978144629,0.967141472,0.007368846,0,0,-1.493199384
442,170310,0.591907112,-0.768069316,-0.58,0.311451445,-0.921104072,3427.89,0.984675164,0.967101613,0.00726591,0,0,-2.418630274
443,170313,-0.0883382,-0.811654847,-0.61,0.30930979,-0.983132846,3458.1,0.984537619,0.967463588,0.007948851,0,0,-2.147987162
444,170314,-0.017583538,-0.798707495,-0.6,0.352814295,-1.060112395,3456.69,0.980500092,0.967969554,0.00845054,0,0,-1.482808995
445,170315,0.53684516,-0.819158869,-0.61,0.527161186,-1.193991974,3463.64,0.986007634,0.968996512,0.009332583,0,0,-1.822766639
446,170316,-0.971320846,-0.729674389,-0.55,-0.256962276,-0.770822188,3481.51,0.980422722,0.969776185,0.009613258,0,0,-1.107484909
447,170317,-0.039445938,-0.786829368,-0.59,-0.235287406,-0.765233792,3445.81,0.994736028,0.971278207,0.011021366,0,0,-2.128395077
448,170320,0.240245161,-0.804850683,-0.6,-0.23078333,-0.760637276,3449.61,0.998011325,0.973267705,0.012080771,0,0,-2.04818211
449,170321,0.034889556,-0.770907624,-0.58,-0.231318174,-0.747452532,3466.35,1.0,0.9753271,0.012965105,0,0,-1.903023602
450,170322,0.21074584,-0.726466712,-0.55,-0.131115568,-0.741936713,3450.05,0.997647572,0.977508634,0.01286096,0,0,-1.565896966
451,170323,0.708532276,-0.741863563,-0.56,0.362448329,-0.757564868,3461.98,0.997799805,0.979330992,0.013032303,0,0,-1.417156535
452,170324,-0.249452687,-0.772443421,-0.58,0.173345411,-0.766588555,3489.6,0.987568776,0.980510128,0.012631549,0,0,-0.558810984
453,170327,-0.10223395,-0.797560507,-0.6,0.218208649,-0.773652674,3478.04,0.989457244,0.981778385,0.012160968,0,0,-0.631434838
454,170328,-0.210787199,-0.751175548,-0.56,0.156157547,-0.764677372,3469.81,0.99107061,0.98296326,0.011833603,0,0,-0.685112552
455,170329,-0.671600142,-0.727283211,-0.55,0.470228663,-0.779628145,3465.19,0.984382164,0.983640921,0.011485084,0,0,-0.064539602
456,170330,0.039746949,-0.792019974,-0.6,0.332486778,-0.802417188,3436.76,0.982307428,0.984551115,0.010537492,0,0,0.212924245
457,170331,1.288921569,-0.740599933,-0.55,0.561006621,-0.819883949,3456.05,0.987643283,0.985603165,0.009665459,0,0,-0.211073027
458,170405,0.040600462,-0.802828874,-0.6,0.307398004,-0.837229749,3503.89,0.985750123,0.986668444,0.008286448,0,0,0.110821979
459,170406,0.180197309,-0.799776721,-0.6,0.317942413,-0.841027923,3514.05,0.981411761,0.987264495,0.007363111,0,0,0.794872391
460,170407,-0.075012073,-0.829695603,-0.62,0.34277173,-0.84983388,3517.46,0.974265521,0.987316975,0.00726074,0,0,1.79753769
461,170410,0.420248664,-0.751797643,-0.56,0.269691445,-0.837447479,3505.14,0.974535602,0.987136524,0.007540169,0,0,1.671172227
462,170411,-0.243420762,-0.779189264,-0.58,0.341269613,-0.862897663,3517.33,0.983124186,0.987058975,0.007574713,0,0,0.519463747
463,170412,0.305317137,-0.789725998,-0.59,0.511644997,-0.872090695,3509.44,0.982723329,0.98696826,0.007617242,0,0,0.557279327
464,170413,-0.643410579,-0.753158476,-0.56,0.470015863,-0.88517867,3514.57,0.984699186,0.987178215,0.007486321,0,0,0.331141117
465,170414,-0.590845758,-0.755063642,-0.57,0.424092039,-0.927200503,3486.5,0.989779557,0.987366811,0.007502773,0,0,-0.321580532
466,170417,-0.143330723,-0.779733597,-0.58,0.621945929,-0.989180894,3479.94,0.979630188,0.987327184,0.007543362,0,0,1.020366856
467,170418,-0.717647279,-0.744254741,-0.56,0.530509087,-1.067950664,3462.74,0.980710513,0.986625909,0.007469931,0,0,0.791894304
468,170419,0.027345357,-0.82172501,-0.62,0.576861925,-1.202289895,3445.88,0.985469629,0.985998824,0.006973794,0,0,0.075883411
469,170420,-0.605278381,-0.750689536,-0.57,0.115534376,-0.880920844,3461.55,0.980835603,0.985040604,0.00622518,0,0,0.675482686
470,170421,-1.256143423,-0.745712776,-0.57,0.233972915,-0.845164787,3466.79,0.984227255,0.984369588,0.005472539,0,0,0.026008636
471,170424,-0.113411588,-0.761984449,-0.58,0.207158983,-0.856341579,3431.26,0.992079512,0.984083574,0.004847469,0,0,-1.64950797
472,170425,0.076490503,-0.786615523,-0.6,0.185117687,-0.866695836,3440.97,0.98879305,0.984144787,0.004901228,0,0,-0.948387263
473,170426,0.073069235,-0.715385644,-0.55,0.208943316,-0.844511598,3445.18,0.986453293,0.98399459,0.004774243,0,0,-0.514993351
474,170427,0.138900708,-0.785896226,-0.6,0.218525004,-0.878477433,3446.72,0.985139845,0.983698051,0.004487159,0,0,-0.321315502
475,170428,0.050345857,-0.827557151,-0.62,0.120061212,-0.889775186,3439.75,0.977057308,0.983331809,0.004721207,0,0,1.329003355
476,170502,-0.080500256,-0.797482745,-0.6,0.106827786,-0.883702946,3426.58,0.982541379,0.983343506,0.004718825,0,0,0.169984462
477,170503,-0.266301066,-0.754927558,-0.57,-0.023212334,-0.876058214,3413.13,0.996142103,0.983768447,0.005452104,0,0,-2.269519309
478,170504,-0.721196059,-0.742641182,-0.57,0.213740988,-0.874703451,3404.39,0.99903055,0.984432469,0.006427611,0,0,-2.271151885
479,170505,-1.058811107,-0.741396992,-0.57,0.299581304,-0.866792605,3382.55,1.0,0.98536188,0.007258087,0,0,-2.016801213
480,170508,-0.016600274,-0.717932346,-0.55,0.29204682,-0.886339895,3358.81,0.996534303,0.98647532,0.00717384,0,0,-1.40217553
481,170509,-1.133305717,-0.714646906,-0.55,0.079936471,-0.893742705,3352.53,1.0,0.987748539,0.007202902,0,0,-1.700906233
482,170510,-0.50079884,-0.678895884,-0.53,0.059474674,-0.901605166,3337.7,0.998540362,0.988519348,0.007500702,0,0,-1.336010192
483,170511,0.044120176,-0.731832281,-0.57,0.160251955,-0.942199661,3356.65,1.0,0.989383182,0.00778743,0,0,-1.363327559
484,170512,0.487619983,-0.762528782,-0.59,0.386430998,-0.989108317,3385.38,1.0,0.990148222,0.0080502,0,0,-1.223792938
485,170515,1.114765592,-0.727788663,-0.56,0.520405072,-1.048911411,3399.19,1.0,0.990659245,0.008344577,0,0,-1.119380341
486,170516,0.24976848,-0.807844515,-0.61,0.48949787,-1.130826166,3428.65,0.998831772,0.991619324,0.00811017,0,0,-0.889309126
487,170517,-0.499383967,-0.842604074,-0.64,0.393346428,-1.217337437,3409.97,0.993968484,0.992282222,0.007703212,0,0,-0.218903668
488,170518,-0.463013044,-0.747268014,-0.57,-0.121895754,-0.699939072,3398.11,0.998488515,0.992933167,0.007647092,0,0,-0.726465555
489,170519,-0.738059966,-0.703293672,-0.55,-0.10864412,-0.670690714,3403.85,1.0,0.993891387,0.007241356,0,0,-0.843573122
490,170522,-0.97050909,-0.686147179,-0.54,0.020365001,-0.66744896,3411.24,0.995514576,0.994455753,0.006879323,0,0,-0.15391391
491,170523,0.193150307,-0.621818666,-0.5,0.118526094,-0.643934152,3424.19,0.998331747,0.994768364,0.006907658,0,0,-0.515859795
492,170524,0.568418514,-0.618299941,-0.49,0.119087112,-0.647853287,3424.17,0.999553198,0.995306372,0.006836436,0,0,-0.621204797
493,170525,-0.012302549,-0.710292241,-0.55,0.322405522,-0.680512743,3485.66,0.988828515,0.995425133,0.006693688,0,0,0.985498345
494,170526,-0.353901669,-0.68744969,-0.54,-0.009544204,-0.689802544,3480.43,0.986828893,0.995509585,0.006566539,0,1,1.321958505
495,170531,-1.040478973,-0.699599983,-0.55,0.087237672,-0.693794255,3492.88,0.981018529,0.995707646,0.00601747,1,1,2.44107874
496,170601,0.51860749,-0.655742285,-0.52,0.35673118,-0.68501249,3497.74,0.975810095,0.995371082,0.006914079,1,1,2.829152928
497,170602,0.175410988,-0.699580543,-0.55,0.112241098,-0.710873941,3486.51,0.973311338,0.994229544,0.008486091,1,1,2.464999058
498,170605,0.102511121,-0.702924303,-0.55,0.185970024,-0.720841124,3468.75,0.967067306,0.992631382,0.010341322,1,1,2.472031564
499,170606,1.321147811,-0.635621399,-0.5,0.54224381,-0.758750285,3492.88,0.960280067,0.990645385,0.012450626,1,1,2.438858873
500,170607,-0.0302301,-0.732512697,-0.56,0.360604822,-0.798739975,3533.87,0.948685153,0.988252928,0.015486578,1,1,2.554972043
501,170608,0.268677255,-0.700746971,-0.54,0.521091266,-0.818940454,3560.98,0.937298159,0.985117835,0.018944054,1,1,2.52425774
502,170609,-0.634770734,-0.700533126,-0.54,0.341508586,-0.886073781,3576.17,0.938615894,0.982121612,0.021301576,1,0,2.042370834
503,170612,0.524795694,-0.690715689,-0.54,0.295972809,-0.942828658,3574.39,0.946649628,0.979454093,0.022263609,0,0,1.473456742
504,170613,-0.080246377,-0.752983511,-0.58,0.464678794,-1.045451928,3582.27,0.948892741,0.976898731,0.022709796,0,0,1.233211817
505,170614,0.407614146,-0.78360225,-0.6,0.431294236,-1.187024623,3535.3,0.957116577,0.974754559,0.022436669,0,0,0.786123058
506,170615,-0.437786612,-0.7707521,-0.59,-0.053872597,-0.804279987,3528.79,0.951902006,0.972408071,0.022239231,0,0,0.922067165
507,170616,0.369653158,-0.71604662,-0.55,-0.008489308,-0.765499906,3518.76,0.948591256,0.97013921,0.022238562,0,0,0.968945438
508,170619,0.285717599,-0.745557252,-0.57,0.14976672,-0.769443233,3553.67,0.950193592,0.967724464,0.021611454,0,0,0.811184261
