time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model8,y_test_model9,y_test_model10,y_test_model11,y_real
220704,1.140130845,1.139015159,-1.239236999,-1.001987512,1.445167479,1.413540049,-0.816986548,-0.908017754,1.320051115,1.055766827,-1.30156261,-0.441718334,1.176351142,1.972163347,-0.033276975,-0.673692345,1.365444823,0.904310314,-0.793793215,-0.222138253,1.480661271,1.345161486,0.079922891,-0.034716134,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,0,0,0,0,0,0,0,0,0,0,0
220705,1.445167479,1.413540049,-0.816986548,-0.908017754,1.320051115,1.055766827,-1.30156261,-0.441718334,1.176351142,1.972163347,-0.033276975,-0.673692345,1.365444823,0.904310314,-0.793793215,-0.222138253,1.480661271,1.345161486,0.079922891,-0.034716134,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0,0,0,0,0,0,0,0,0,0,0
220706,1.320051115,1.055766827,-1.30156261,-0.441718334,1.176351142,1.972163347,-0.033276975,-0.673692345,1.365444823,0.904310314,-0.793793215,-0.222138253,1.480661271,1.345161486,0.079922891,-0.034716134,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,1,0,0,0,0,0,1,0,0,1,0
220707,1.176351142,1.972163347,-0.033276975,-0.673692345,1.365444823,0.904310314,-0.793793215,-0.222138253,1.480661271,1.345161486,0.079922891,-0.034716134,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0,0,0,0,0,0,0,0,0,0,0
220708,1.365444823,0.904310314,-0.793793215,-0.222138253,1.480661271,1.345161486,0.079922891,-0.034716134,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0,0,0,0,0,0,0,0,0,0,0
220711,1.480661271,1.345161486,0.079922891,-0.034716134,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0,0,0,0,0,0,0,0,0,0,0
220712,0.983706627,0.650076866,0.117107638,0.297320347,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0,0,0,0,0,0,0,0,0,0,0
220713,0.155581055,-0.09048459,-0.126144013,0.737155534,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,0,0,0,0,0,0,0,0,0,0,0
220714,1.515128515,1.302096456,-0.447948927,-0.780010476,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0,0,0,0,0,0,0,0,0,0,0
220718,1.178084843,0.687418895,-0.781471824,-0.863600602,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0.641790404,1.003805485,0.028783793,-0.694748406,0,0,0,0,0,0,0,0,0,1,0
220719,1.393870343,0.617228119,-1.115111482,-0.630809248,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0.641790404,1.003805485,0.028783793,-0.694748406,0.522993778,0.600237197,-0.407339059,-0.54433344,1,0,0,0,0,0,1,0,0,1,0
220720,1.492813984,0.353209276,-1.351018525,-0.605318068,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0.641790404,1.003805485,0.028783793,-0.694748406,0.522993778,0.600237197,-0.407339059,-0.54433344,0.280458751,0.935747259,-0.073435141,-0.661884077,0,0,0,0,0,0,0,0,0,0,0
220721,1.17418933,1.674949054,-0.013062585,-0.994554853,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0.641790404,1.003805485,0.028783793,-0.694748406,0.522993778,0.600237197,-0.407339059,-0.54433344,0.280458751,0.935747259,-0.073435141,-0.661884077,0.379361908,0.330946544,-0.851942136,-0.256282847,0,0,0,0,0,0,0,0,0,0,0
220722,1.054231256,1.467227323,-0.378597683,-0.793537401,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0.641790404,1.003805485,0.028783793,-0.694748406,0.522993778,0.600237197,-0.407339059,-0.54433344,0.280458751,0.935747259,-0.073435141,-0.661884077,0.379361908,0.330946544,-0.851942136,-0.256282847,0.936397645,0.159312295,-0.986782812,-0.118507015,0,0,0,0,0,0,0,0,0,0,0
220725,1.098388349,0.984045041,-0.703950627,-0.801369198,0.768159312,1.447914575,-0.264042097,-0.884892497,1.236163959,0.971211946,-1.434544924,-0.103084634,1.185335929,1.177883971,-0.526723696,-0.660832501,0.74618522,0.858238997,-0.957110605,-0.519546651,0.670380469,1.185549458,-0.326807442,-0.781986896,1.156833633,0.830452573,-0.735424868,-0.497222175,0.988045128,0.725077393,-0.944454113,-0.191554331,0.706309334,0.946374154,-0.344642184,-0.545050017,0.635756434,0.565416186,-0.838780616,-0.157515334,0.777600957,0.330271403,-1.054391063,0.142280468,0.707870777,0.292981808,-0.7008245,0.251641137,0.374619219,0.295717224,0.011092139,0.165242993,-0.202222907,0.400679373,0.628885936,0.572805281,0.641790404,1.003805485,0.028783793,-0.694748406,0.522993778,0.600237197,-0.407339059,-0.54433344,0.280458751,0.935747259,-0.073435141,-0.661884077,0.379361908,0.330946544,-0.851942136,-0.256282847,0.936397645,0.159312295,-0.986782812,-0.118507015,0.649606447,0.145412196,-0.78165832,-0.326079876,0,0,0,0,0,0,0,0,0,0,0
