,per,normcjl,normcje,jc,normccl,y1o,y2o,y3o,y4o,time,y1,y2,y3,y4
1501,0.001473988,-0.061991476,-0.01,-12.406,-0.786256805,-0.276715224,-0.442132584,0.523325939,0.312650643,210715,-0.372683174,-0.043590534,0.419016874,0.703993372
1502,0.002555688,0.14584658,0.16,-38.5232,0.816766082,0.510095899,0.174843731,-0.231098055,-0.749429008,210716,0.414127949,0.573385781,-0.33540712,-0.358086279
1503,-0.004114626,0.110328843,0.12,-35.7375,0.857167039,0.507606933,0.033716334,-0.523231023,-0.647243993,210719,0.411638983,0.432258384,-0.627540088,-0.255901264
1504,0.000874585,-0.019455729,0.02,-40.7318,0.804500642,0.319642771,0.09950204,-0.33538173,-0.785379696,210720,0.223674821,0.49804409,-0.439690795,-0.394036967
1505,0.010664053,0.052804495,0.09,-45.3418,0.735625477,0.342045549,0.298772441,0.105180768,-0.928795985,210721,0.246077599,0.697314491,0.000871703,-0.537453256
1506,0.004730911,-0.117960586,-0.05,-51.1482,0.717191028,0.178102612,0.076909041,-0.146903579,-0.914805757,210722,0.082134662,0.475451091,-0.251212644,-0.523463028
1507,-0.003915359,0.116063781,0.14,-38.7499,0.787372571,0.507198345,-0.018113253,-0.46365213,-0.628811927,210723,0.411230395,0.380428797,-0.567961195,-0.237469198
1508,-0.016902976,0.599470487,0.51,-41.0074,1.065147296,1.236547758,-0.232936889,-0.955317126,-0.422823339,210726,1.140579808,0.165605161,-1.059626191,-0.03148061
1509,-0.014346519,0.535725189,0.45,0.1443,1.107048168,1.076113485,0.172903457,-0.997810841,-0.193444395,210727,0.980145535,0.571445507,-1.102119906,0.197898334
1510,-0.01949306,0.671575188,0.52,6.0155,1.283022158,1.286200481,0.170285378,-1.270457395,-0.122829382,210728,1.190232531,0.568827428,-1.37476646,0.268513347
1511,0.017129795,0.349757661,0.29,-22.0869,1.003699133,0.67048036,0.797308138,0.224941948,-0.927548484,210729,0.57451241,1.195850188,0.120632883,-0.536205755
1512,0.003639807,0.226174599,0.19,-8.716,0.898245377,0.546201989,0.478262877,-0.286790384,-0.565305042,210730,0.450234039,0.876804927,-0.391099449,-0.173962313
1513,0.014428283,0.270440547,0.24,-38.2004,0.803629723,0.569519748,0.498401683,0.253129747,-0.914345502,210802,0.473551798,0.896943733,0.148820682,-0.523002773
1514,-0.005503399,0.093435075,0.1,-20.2107,0.754084118,0.430807208,0.065333143,-0.557420736,-0.450361511,210803,0.334839258,0.463875193,-0.661729801,-0.059018782
1515,0.010921482,0.077357807,0.1,-64.1365,0.670572678,0.378334217,0.129646344,0.199436425,-1.037901687,210804,0.282366267,0.528188394,0.09512736,-0.646558958
1516,-0.001252293,-0.035805164,0.01,-44.4292,0.622188299,0.26544966,-0.076400956,-0.306382688,-0.677943905,210805,0.16948171,0.322141094,-0.410691753,-0.286601176
1517,0.004551912,-0.050754884,0,-40.6679,0.587811197,0.196747706,0.092868134,-0.082674727,-0.735973884,210806,0.100779756,0.491410184,-0.186983792,-0.344631155
1518,0.004946628,0.092093683,0.11,-65.7256,0.529580596,0.389602791,-0.11293271,0.065016458,-0.860689369,210809,0.293634841,0.28560934,-0.039292607,-0.46934664
1519,0.005313344,0.074500058,0.1,-55.6284,0.475099784,0.333501886,-0.052125974,0.082855437,-0.762106023,210810,0.237533936,0.346416076,-0.021453628,-0.370763294
1520,0.006717933,0.040226511,0.08,-77.3219,0.411450132,0.310138785,-0.214403736,0.211197579,-0.929295724,210811,0.214170835,0.184138314,0.106888514,-0.537952995
1521,0.007200975,-0.010746399,0.05,-40.6024,0.33222071,0.160772421,0.042157861,0.179290412,-0.619927119,210812,0.064804471,0.440699911,0.074981347,-0.22858439
1522,0.002344633,-0.031158892,0.03,-8.8876,0.304254539,0.095307364,0.141412956,-0.063932856,-0.278311386,210813,-0.000660586,0.539955006,-0.168241921,0.113031343
1523,-0.00275357,-0.066035093,0,-7.0876,0.134207636,0.027069252,-0.067311402,-0.172129273,-0.089766026,210816,-0.068898698,0.331230648,-0.276438338,0.301576703
1524,-0.02024773,0.197772073,0.21,0.1958,0.003908501,0.389248035,-0.538552255,-0.684320974,0.434646801,210817,0.293280085,-0.140010205,-0.788630039,0.82598953
1525,0.0019952,-0.068620676,-0.01,-24.408,-0.423252996,-0.149541163,-0.344259966,0.360640315,0.003631054,210818,-0.245509113,0.054282084,0.25633125,0.394973783
1526,0.00555204,-0.29255544,-0.19,5.3436,-0.87678398,-0.632393477,-0.247574224,0.616754807,0.357250365,210819,-0.728361427,0.150967826,0.512445742,0.748593094
1527,-0.001661372,0.56850182,0.48,-58.2248,2.473447246,1.573445872,0.732722055,-1.16630701,-1.634787463,210820,1.477477922,1.131264105,-1.270616075,-1.243444734
1528,0.014078425,0.208231046,0.21,-77.7647,2.216187499,1.021547974,0.868501251,-0.496197979,-2.031063572,210823,0.925580024,1.267043301,-0.600507044,-1.639720843
1529,0.010136097,0.08946922,0.12,-66.3817,2.163811407,0.870159892,0.819220898,-0.674658925,-1.879860458,210824,0.774191942,1.217762948,-0.77896799,-1.488517729
1530,0.005466183,-0.038429627,0.02,-91.4043,2.123483027,0.782252129,0.473916389,-0.80942396,-2.010449316,210825,0.686284179,0.872458439,-0.913733025,-1.619106587
1531,2.83E-05,0.068920644,0.12,-57.6442,2.137853188,0.892351286,0.598886648,-1.05906118,-1.620612933,210826,0.796383336,0.997428698,-1.163370245,-1.229270204
1532,0.00627568,0.233795263,0.25,-73.3088,2.197365975,1.096827041,0.682910046,-0.773965365,-1.834305442,210827,1.000859091,1.081452096,-0.87827443,-1.442962713
1533,0.001628482,0.269896214,0.29,-103.6823,2.090775186,1.198210842,0.271081573,-0.804613235,-1.914354218,210830,1.102242892,0.669623623,-0.9089223,-1.523011489
1534,0.004136852,0.178875937,0.21,-100.1418,1.960476051,1.023887529,0.299423714,-0.674354432,-1.888562702,210831,0.927919579,0.697965764,-0.778663497,-1.497219973
1535,-0.004410732,0.670272676,0.61,-74.1,2.149755745,1.671261142,0.38114829,-1.004705001,-1.481161364,210901,1.575293192,0.77969034,-1.109014066,-1.089818635
1536,0.014656176,0.349096685,0.36,-88.2084,1.919083214,1.136635867,0.663915532,-0.228214801,-1.899285662,210902,1.040667917,1.062457582,-0.332523866,-1.507942933
1537,0.00047111,0.583918112,0.55,-61.6809,2.010263578,1.479398479,0.538204408,-0.795137,-1.416943789,210903,1.383430529,0.936746458,-0.899446065,-1.02560106
1538,0.008348717,0.300184465,0.33,-96.8013,1.772091469,1.09277122,0.352495295,-0.373316814,-1.785063222,210906,0.99680327,0.751037345,-0.477625879,-1.393720493
1539,0.024795831,0.496280477,0.51,-54.1255,1.708949853,1.14270505,1.106209386,0.248179326,-1.637422107,210907,1.0467371,1.504751436,0.143870261,-1.246079378
1540,0.005426067,0.166764525,0.25,-61.6411,1.458875186,0.806884205,0.387015067,-0.416743025,-1.317593338,210908,0.710916255,0.785557117,-0.52105209,-0.926250609
1541,0.00949635,0.145243926,0.23,-56.6505,1.392104742,0.725356446,0.502722751,-0.24508544,-1.320449954,210909,0.629388496,0.901264801,-0.349394505,-0.929107225
1542,0.006004899,0.366904155,0.43,-13.8749,1.236669922,0.895406366,0.67210139,-0.307112766,-0.75941462,210910,0.799438416,1.07064344,-0.411421831,-0.368071891
1543,0.000631878,0.27926652,0.36,-52.3481,1.01095679,0.825715692,0.11488571,-0.319758329,-0.865281869,210913,0.729747742,0.51342776,-0.424067394,-0.47393914
1544,-0.007819541,0.606138568,0.64,-11.4157,0.770534807,1.124411656,0.098253883,-0.482138086,-0.150115751,210914,1.028443706,0.496795933,-0.586447151,0.241226978
1545,0.002826276,0.386927838,0.45,-20.5059,0.17037496,0.623157669,0.015522301,0.207511784,-0.144115526,210915,0.527189719,0.414064351,0.103202719,0.247227203
1546,-0.018004945,0.109162415,0.21,-4.5353,-0.56526115,0.14945948,-0.79594087,-0.274855791,0.670572414,210916,0.05349153,-0.39739882,-0.379164856,1.061915143
1547,-0.007649228,0.626648263,0.61,-74.5645,1.137215829,1.349064119,-0.205968001,-0.549536442,-0.85933193,210917,1.253096169,0.192574049,-0.653845507,-0.467989201
1548,0.010614964,0.264277918,0.31,-67.8247,0.996780167,0.748411839,0.258850183,0.081862832,-1.169442071,210922,0.652443889,0.657392233,-0.022446233,-0.778099342
1549,0.005252525,0.165092645,0.24,-77.8391,0.97914406,0.68217945,0.023087884,-0.114620401,-1.172354318,210923,0.5862115,0.421629934,-0.218929466,-0.781011589
1550,-0.007028494,0.325865325,0.37,-10.3843,1.045406469,0.84126449,0.250713831,-0.710866258,-0.414163513,210924,0.74529654,0.649255881,-0.815175323,-0.022820784
1551,-0.025911788,0.711914161,0.67,7.6101,1.149747384,1.404070915,-0.055921158,-1.396917947,0.122936654,210927,1.308102965,0.342620892,-1.501227012,0.514279383
1552,0.002365382,0.157646945,0.2,-11.8966,0.938767295,0.53296925,0.43546988,-0.356696897,-0.595289114,210928,0.4370013,0.83401193,-0.461005962,-0.203946385
1553,-0.020490989,0.502656951,0.46,36.7808,1.029996044,1.004875926,0.25050999,-1.266491807,0.243778228,210929,0.908907976,0.64905204,-1.370800872,0.635120957
1554,0.008484609,0.106168583,0.15,-8.4076,0.739665573,0.361711807,0.529498112,-0.040146665,-0.582455031,210930,0.265743857,0.928040162,-0.14445573,-0.191112302
1555,-0.002315926,0.139159059,0.18,-9.9356,0.704006285,0.459327675,0.208454021,-0.408202683,-0.371783412,211008,0.363359725,0.606996071,-0.512511748,0.019559317
