time,normper,normcjl,normcje,normjc,normccl
181220,-0.627328266,-0.377043719,-0.44,0.290426354,-0.39424656
181221,0.91232733,-0.421251346,-0.46,0.352129238,-0.403657322
181224,-0.621855064,-0.239327435,-0.38,0.231611632,-0.301469512
181225,-0.178435237,-0.460618296,-0.48,0.355730906,-0.378618405
181226,-0.677483104,-0.421115262,-0.46,0.232091855,-0.350894156
181227,-0.377280374,-0.411550552,-0.46,0.034471248,-0.358103428
181228,-0.403818157,-0.490128928,-0.5,0.176485064,-0.365723968
190102,-0.175891322,-0.410909016,-0.46,0.278329758,-0.338120679
190103,1.388458709,-0.316408896,-0.42,0.541523476,-0.340418937
190104,0.98407959,-0.375177434,-0.44,0.352111031,-0.382344003
190107,-0.062919157,-0.522205702,-0.51,0.502626603,-0.400802643
190108,0.007005683,-0.326362416,-0.41,0.406183841,-0.376513685
190109,-0.132618089,-0.442363695,-0.47,0.525796763,-0.435542628
190110,0.316381,-0.405640649,-0.45,0.543832413,-0.458525209
190111,-0.197152993,-0.516606847,-0.5,0.618122357,-0.575567023
190114,0.764270956,-0.356320179,-0.42,0.622582053,-0.602880006
190115,-0.054833954,-0.50597291,-0.49,0.623465115,-0.803021993
190116,-0.397369703,-0.546409086,-0.52,0.61831126,-1.070394075
190117,0.302067677,-0.475937385,-0.48,0.421414401,-0.614274527
190121,-0.709242998,-0.526754772,-0.51,0.416652006,-0.647151713
190122,0.157414953,-0.544153992,-0.52,0.42765843,-0.66147349
190123,0.354131708,-0.4417416,-0.46,0.492688731,-0.586501893
190124,-0.274717741,-0.471952089,-0.48,0.480493131,-0.622330526
190125,-0.41047276,-0.498177282,-0.49,0.398810949,-0.622451487
190128,-0.631231013,-0.399711306,-0.45,0.441281041,-0.616234094
190129,-0.540313809,-0.510988551,-0.5,0.464768694,-0.666602234
190130,-0.3833013,-0.452414418,-0.48,0.657649665,-0.650853118
190131,1.694063818,-0.410734052,-0.45,0.791978784,-0.698826231
190201,1.238192878,-0.538866184,-0.51,0.621315494,-0.769419041
190211,0.404582581,-0.530584544,-0.5,0.507311616,-0.827456104
190212,0.947065534,-0.496136033,-0.48,0.571904938,-0.924321633
190213,0.187306365,-0.662002116,-0.57,0.595106961,-1.14047885
190214,-0.399533621,-0.380543003,-0.42,0.575022969,0.102612636
190215,1.818595112,-0.309488089,-0.38,0.758643159,0.142723287
190218,-0.135756213,-0.136137425,-0.28,0.482292258,0.169479849
190219,0.020223162,-0.285304145,-0.36,0.398757464,0.126417751
190220,0.045826654,-0.083201028,-0.25,0.609067548,0.193599462
190221,1.474281165,-0.119068693,-0.27,0.889524237,0.143473245
190222,3.417775124,0.146040985,-0.09,1.471607226,0.149376139
190225,-0.03158709,0.12844736,-0.09,0.857139952,0.129103084
190226,-0.847369875,-0.003572866,-0.17,0.57104691,0.109846101
190227,0.195537744,-0.132754783,-0.24,0.682486947,0.024713785
190228,0.575856851,0.003406263,-0.16,0.735587934,0.014915948
190301,0.878515303,0.135348727,-0.07,0.418985978,0.010972621
190304,1.422458321,0.044581176,-0.12,0.616524651,-0.054926904
190305,1.226430886,0.221625529,0,0.690019156,-0.013655029
190306,0.856656486,0.254168874,0.03,0.392032075,-0.021831989
190307,-1.621539022,0.507206021,0.18,1.153507705,-0.033492624
190308,1.14430458,0.180800544,-0.02,0.490287619,-0.113254274
190311,1.066981418,0.232570513,0.04,0.521901499,-0.258068723
190312,-0.93150148,0.251058399,0.04,0.334577225,-0.508167582
190313,-1.079792222,-0.191251155,-0.25,0.475250514,-0.915539868
190314,1.479827231,0.188012958,-0.01,0.720134332,0.065622778
190318,0.096921655,0.049441294,-0.08,0.18077065,0.039737135
190319,-0.130277039,0.212391306,0.01,0.055531616,0.093274451
