,ts_code,call_put,k,trade_date,c,s,r,t,ts_code_p,call_put_p,c_p
69,10002993.SH,C,3.9,20210120,0.1001,3.8,0.024929999999999997,0.1726027397260274,10003002.SH,P,0.192
70,10003003.SH,C,3.1,20210120,0.7435,3.8,0.024929999999999997,0.42191780821917807,10003012.SH,P,0.018
71,10003004.SH,C,3.2,20210120,0.6549,3.8,0.024929999999999997,0.42191780821917807,10003013.SH,P,0.0271
72,10003005.SH,C,3.3,20210120,0.5688,3.8,0.024929999999999997,0.42191780821917807,10003014.SH,P,0.04
73,10003006.SH,C,3.4,20210120,0.4891,3.8,0.024929999999999997,0.42191780821917807,10003015.SH,P,0.0581
74,10003007.SH,C,3.5,20210120,0.4112,3.8,0.024929999999999997,0.42191780821917807,10003016.SH,P,0.0826
75,10003008.SH,C,3.6,20210120,0.3456,3.8,0.024929999999999997,0.42191780821917807,10003017.SH,P,0.1138
76,10003009.SH,C,3.7,20210120,0.2851,3.8,0.024929999999999997,0.42191780821917807,10003018.SH,P,0.1532
77,10003010.SH,C,3.8,20210120,0.2349,3.8,0.024929999999999997,0.42191780821917807,10003019.SH,P,0.2018
78,10003011.SH,C,3.9,20210120,0.1923,3.8,0.024929999999999997,0.42191780821917807,10003020.SH,P,0.2563
79,10003101.SH,C,4.2,20210120,0.0005,3.8,0.024929999999999997,0.019178082191780823,10003102.SH,P,0.4021
80,10003103.SH,C,4.2,20210120,0.0139,3.8,0.024929999999999997,0.0958904109589041,10003104.SH,P,0.4042
81,10003105.SH,C,4.2,20210120,0.035,3.8,0.024929999999999997,0.1726027397260274,10003106.SH,P,0.4239
82,10003107.SH,C,4.2,20210120,0.1001,3.8,0.024929999999999997,0.42191780821917807,10003108.SH,P,0.462
83,10002761.SH,C,2.859,20210120,0.9467,3.8,0.024929999999999997,0.1726027397260274,10002762.SH,P,0.0026
84,10003023.SH,C,4.0,20210120,0.0018,3.8,0.024929999999999997,0.019178082191780823,10003024.SH,P,0.2015
85,10003025.SH,C,4.0,20210120,0.0705,3.8,0.024929999999999997,0.1726027397260274,10003026.SH,P,0.2621
86,10003027.SH,C,4.0,20210120,0.155,3.8,0.024929999999999997,0.42191780821917807,10003028.SH,P,0.3178
