,ts_code,call_put,k,trade_date,c,s,r,t,q
43,10002922.SH,P,3.056,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.02279351849258277
44,10002923.SH,P,3.154,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.023436581408257603
45,10002924.SH,P,3.253,20210120,0.0004,3.8,0.024929999999999997,0.019178082191780823,0.0268319154229099
46,10002925.SH,P,3.351,20210120,0.0005,3.8,0.024929999999999997,0.019178082191780823,0.028847949888282935
47,10002926.SH,P,3.45,20210120,0.0008,3.8,0.024929999999999997,0.019178082191780823,0.03361668360727687
48,10002927.SH,P,3.549,20210120,0.001,3.8,0.024929999999999997,0.019178082191780823,0.037012680595725274
49,10002928.SH,P,3.647,20210120,0.0028,3.8,0.024929999999999997,0.019178082191780823,0.04589560041108152
50,10002929.SH,P,3.746,20210120,0.0152,3.8,0.024929999999999997,0.019178082191780823,0.014966742182803586
51,10002930.SH,P,3.844,20210120,0.0618,3.8,0.024929999999999997,0.019178082191780823,0.025218732974610837
52,10002976.SH,P,3.1,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.023082239636969867
53,10002977.SH,P,3.2,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.023738430001609693
54,10002978.SH,P,3.3,20210120,0.0004,3.8,0.024929999999999997,0.019178082191780823,0.027140346044790667
55,10002979.SH,P,3.4,20210120,0.0005,3.8,0.024929999999999997,0.019178082191780823,0.029169517690729934
56,10002980.SH,P,3.5,20210120,0.0009,3.8,0.024929999999999997,0.019178082191780823,0.03531793615545813
57,10002981.SH,P,3.6,20210120,0.0018,3.8,0.024929999999999997,0.019178082191780823,0.029109095130812758
58,10002982.SH,P,3.7,20210120,0.0071,3.8,0.024929999999999997,0.019178082191780823,0.03663063314416308
59,10002983.SH,P,3.8,20210120,0.0346,3.8,0.024929999999999997,0.019178082191780823,0.024929999999998762
60,10002984.SH,P,3.9,20210120,0.1076,3.8,0.024929999999999997,0.019178082191780823,0.028331993787282662
61,10002994.SH,P,3.1,20210120,0.0052,3.8,0.024929999999999997,0.1726027397260274,0.007033794939789721
62,10002995.SH,P,3.2,20210120,0.0077,3.8,0.024929999999999997,0.1726027397260274,0.012271091030409038
63,10002996.SH,P,3.3,20210120,0.0124,3.8,0.024929999999999997,0.1726027397260274,0.009108291660520016
64,10002997.SH,P,3.4,20210120,0.0209,3.8,0.024929999999999997,0.1726027397260274,0.01511172726423804
65,10002998.SH,P,3.5,20210120,0.033,3.8,0.024929999999999997,0.1726027397260274,0.008434520256870748
66,10002999.SH,P,3.6,20210120,0.0553,3.8,0.024929999999999997,0.1726027397260274,0.016577481177130364
67,10003000.SH,P,3.7,20210120,0.0892,3.8,0.024929999999999997,0.1726027397260274,0.014023634370504466
68,10003001.SH,P,3.8,20210120,0.1334,3.8,0.024929999999999997,0.1726027397260274,0.012693175002521066
69,10003002.SH,P,3.9,20210120,0.192,3.8,0.024929999999999997,0.1726027397260274,0.013196476947443615
70,10003012.SH,P,3.1,20210120,0.018,3.8,0.024929999999999997,0.42191780821917807,0.004330180130409428
71,10003013.SH,P,3.2,20210120,0.0271,3.8,0.024929999999999997,0.42191780821917807,0.003546941760914613
72,10003014.SH,P,3.3,20210120,0.04,3.8,0.024929999999999997,0.42191780821917807,0.0035758812079799414
73,10003015.SH,P,3.4,20210120,0.0581,3.8,0.024929999999999997,0.42191780821917807,0.0028553382267547094
74,10003016.SH,P,3.5,20210120,0.0826,3.8,0.024929999999999997,0.42191780821917807,0.005008445567335577
75,10003017.SH,P,3.6,20210120,0.1138,3.8,0.024929999999999997,0.42191780821917807,0.0036627016693496703
76,10003018.SH,P,3.7,20210120,0.1532,3.8,0.024929999999999997,0.42191780821917807,0.00425393078894381
77,10003019.SH,P,3.8,20210120,0.2018,3.8,0.024929999999999997,0.42191780821917807,0.004157912868391122
78,10003020.SH,P,3.9,20210120,0.2563,3.8,0.024929999999999997,0.42191780821917807,0.0029999967769435013
79,10003102.SH,P,4.2,20210120,0.4021,3.8,0.024929999999999997,0.019178082191780823,0.049526024643027626
80,10003104.SH,P,4.2,20210120,0.4042,3.8,0.024929999999999997,0.0958904109589041,0.0009010400964878696
81,10003106.SH,P,4.2,20210120,0.4239,3.8,0.024929999999999997,0.1726027397260274,0.010581110286143886
82,10003108.SH,P,4.2,20210120,0.462,3.8,0.024929999999999997,0.42191780821917807,0.003648940912140417
83,10002762.SH,P,2.859,20210120,0.0026,3.8,0.024929999999999997,0.1726027397260274,0.014006766434019643
84,10003024.SH,P,4.0,20210120,0.2015,3.8,0.024929999999999997,0.019178082191780823,0.022123984499159127
85,10003026.SH,P,4.0,20210120,0.2621,3.8,0.024929999999999997,0.1726027397260274,0.013394179795252939
86,10003028.SH,P,4.0,20210120,0.3178,3.8,0.024929999999999997,0.42191780821917807,0.0029040296408883704
