time,normval,normbuy,normsell,normavg,normper
160328,-0.651025941,-0.691961125,-0.620577265,-0.656385571,0.477170107
160405,-0.638980608,-0.680292703,-0.610721158,-0.645720958,0.314503763
160412,-0.557822709,-0.605535697,-0.539362945,-0.572451119,0.317906112
160419,-0.442305991,-0.4775786,-0.401377449,-0.439538445,0.412204783
160426,-0.042242963,-0.109331126,-0.033547542,-0.071411813,-0.035013073
160504,-0.263403176,-0.277435505,-0.218250984,-0.247970402,-1.020370041
160512,-0.249185734,-0.272491258,-0.225150259,-0.248957866,-0.12216895
160519,-0.076009388,-0.119219619,-0.05641371,-0.087803718,0.298530759
160526,-0.096150765,-0.138996605,-0.083419443,-0.111305364,0.709372975
160602,-0.072257563,-0.129305882,-0.054639611,-0.091951067,0.211938355
160612,-0.123005934,-0.134052358,-0.083419443,-0.108737958,-0.280667495
160617,-0.252740094,-0.26992025,-0.196764671,-0.233355932,-0.312666372
160624,-0.32975124,-0.40835915,-0.347168862,-0.377920683,-0.808742874
160701,-0.425916439,-0.465316869,-0.401377449,-0.433416168,-2.734316191
160708,-0.445465422,-0.470261115,-0.41616161,-0.443290809,-0.167332337
160715,-0.392150014,-0.431498223,-0.379102648,-0.405372186,-0.045888771
160722,-0.42552151,-0.460372622,-0.401377449,-0.430848761,0.227833767
160729,-0.399456199,-0.43565139,-0.386593289,-0.411099478,-0.077373413
160805,-0.433815018,-0.460372622,-0.390732854,-0.425713947,-0.184138189
160812,-0.421177292,-0.442968875,-0.388958755,-0.416036799,-0.074841347
160819,-0.398271413,-0.433871462,-0.376737182,-0.405372186,0.393921386
160826,-0.234968291,-0.286532918,-0.236189099,-0.261399914,-0.052828469
160902,-0.296774672,-0.328657898,-0.275613526,-0.30228093,-0.409695037
160909,-0.289468487,-0.308880912,-0.239540175,-0.274236948,-0.309417394
160919,-0.238917581,-0.293059323,-0.238751687,-0.265942249,0.107869841
160926,-0.230426608,-0.271700179,-0.201692725,-0.236713311,0.02735663
161010,-0.213247199,-0.244605708,-0.189471152,-0.216964028,0.265171459
161017,-0.170002479,-0.216324619,-0.157340244,-0.186945118,0.238106531
161024,0.002186544,-0.064239599,0.002722931,-0.03072829,1.20052733
161031,0.202415522,0.203936327,0.280468021,0.242206799,0.945674361
161107,0.135080136,0.129772631,0.199056579,0.164592117,-0.180322944
161114,0.437003319,0.447588791,0.503018914,0.475445829,1.013563068
161121,0.668629149,0.640414401,0.695212997,0.668001337,-0.359581987
161128,0.727078634,0.680166142,0.757897836,0.71915198,-0.326238052
161205,1.184603824,1.157582577,1.219163636,1.188789926,-0.437492662
161212,1.215013353,1.218297923,1.31082543,1.264824665,1.835886191
161219,1.682806695,1.67811284,1.774456695,1.726760391,1.078366712
161226,1.428472451,1.366625316,1.444277116,1.405834544,0.561566448
170103,1.456709871,1.449886426,1.502033902,1.476339484,0.738033129
170110,1.036308002,1.045842608,1.094385324,1.070294229,-2.206326506
170117,1.192304938,1.107744573,1.158450018,1.133294441,0.834953122
170123,0.959691786,0.943002282,1.008045828,0.975892657,-0.351710058
170206,1.48139293,1.500119969,1.537910131,1.519392921,-0.465108631
170213,1.418796692,1.386797841,1.465369185,1.426571291,-0.096424147
170220,1.358767491,1.351792576,1.412146208,1.382332898,-0.332735241
170227,1.435383708,1.41606778,1.47877349,1.447703024,-0.480548263
170306,1.556429431,1.537102932,1.584628078,1.561261401,0.074363317
170313,1.697813996,1.631043614,1.683189146,1.657637901,-0.750578754
170320,1.89211904,1.870938451,1.917370244,1.894629295,0.686274707
170328,1.76593924,1.766318197,1.826102695,1.796672852,-0.859127814
170405,1.823401402,1.785501873,1.862176046,1.824321848,-0.785285416
170412,1.812935785,1.849579306,1.826102695,1.838146346,-0.134205815
170419,1.949778666,1.986040508,1.94930403,1.968096627,-0.164273045
170427,1.960046819,1.987029357,1.959160137,1.973626427,0.356053814
170505,2.269868581,2.229297432,2.210490861,2.220492462,0.44168647
170515,2.20628502,2.178866118,2.146426167,2.163022049,-0.692622828
170522,2.135790202,2.130412503,2.113112526,2.122338526,0.154789925
170601,1.872372592,1.833757718,1.818217809,1.826494269,-2.80840324
170608,1.899227761,1.942531139,1.909879603,1.926623133,-0.200106793
170615,1.800890452,1.843646211,1.811318535,1.827876719,-0.23019274
170622,1.744613076,1.754649775,1.73246968,1.743942267,0.066315739
170629,1.578150523,1.576656904,1.555059757,1.566198721,0.571713709
170706,1.531746372,1.556879918,1.53041949,1.544079524,-0.413268006
170713,1.512592318,1.52721444,1.495923116,1.511888193,-0.553835988
170720,1.495215444,1.497548961,1.471282849,1.484831676,-0.262928644
170727,1.490871225,1.502493207,1.46674904,1.484831676,-0.210018832
170803,1.546753672,1.566768411,1.535347543,1.551386759,-0.236670234
170810,1.572818983,1.585161008,1.555059757,1.570543563,-0.241826765
170817,1.650225057,1.661302403,1.625235238,1.64361591,0.445461347
170824,1.692482455,1.700263064,1.673333039,1.687261825,0.297507247
170831,1.785290758,1.794203746,1.766966054,1.781070919,-0.287373716
170907,1.743625754,1.703031842,1.673530161,1.688644275,-0.873428279
170914,1.716375656,1.710151557,1.678261092,1.69456906,-0.030888575
170921,1.688335701,1.715095804,1.686737344,1.701283816,-0.210074285
170928,1.686163592,1.703427382,1.668602108,1.686471854,-0.164449323
171011,1.715980727,1.739817036,1.70290136,1.72182307,-0.18947861
171018,1.76593924,1.769482514,1.737397733,1.753816908,-0.223479116
171026,1.894093684,1.876278237,1.843449443,1.860265543,0.220597805
171102,1.870003018,1.895857453,1.870455176,1.883569697,0.0222346
171109,1.883628067,1.917809907,1.884253725,1.901344051,0.125313196
171117,1.900807476,1.917809907,1.880311283,1.899566616,-0.132590405
171127,1.903966908,1.9276984,1.890167389,1.909441257,0.014365325
171204,1.917394492,1.936598043,1.900023496,1.91872342,-0.064842985
171211,2.07655086,2.100747025,2.067577312,2.084617396,0.55710895
171218,2.007043364,2.036471821,2.003512618,2.020432227,-0.140195404
171225,1.987296917,2.011355049,1.978872351,1.99554813,-0.463102463
180102,1.985519736,1.98208511,1.959160137,1.97105902,-0.421633847
180109,1.877704133,1.912865661,1.875383229,1.894629295,0.166400833
180116,1.890934253,1.910887962,1.874594741,1.893246845,-0.354281863
180124,1.850454035,1.843646211,1.806390481,1.825506805,-0.020614134
180201,1.815897752,1.828813471,1.811318535,1.820569484,-0.835903553
180209,1.759620376,1.774426761,1.742325787,1.758754229,0.042415213
180224,1.72624888,1.725973146,1.71768552,1.722218056,-0.212895072
180302,1.740071393,1.757616323,1.723993428,1.741177367,0.345442462
180312,1.67372333,1.698285366,1.663476932,1.68133704,0.050996302
180320,1.649632664,1.649040671,1.615970497,1.632951297,-0.265079661
180327,1.531153978,1.466301324,1.439940429,1.453430316,0.125877158
180403,1.381278441,1.390753238,1.372721781,1.382135405,-0.383319505
180411,1.281361417,1.260225133,1.239664338,1.250210196,0.026649216
180418,1.076393291,1.106953494,1.077038576,1.092215933,-2.393555673
180425,1.161697944,1.185270357,1.156873041,1.171410557,-0.016027501
180503,1.18223425,1.1817105,1.150959377,1.166670729,-0.805875853
180511,1.127734055,1.151056172,1.115674514,1.133491934,-0.284380982
180518,1.117465902,1.136618972,1.101678843,1.119469943,-0.315044091
180525,1.092190449,1.092120754,1.062254415,1.077403971,0.246915579
180601,1.077775542,1.087769818,1.062254415,1.075231549,-0.554920959
180611,1.041244614,1.057511029,1.022829988,1.040472812,-0.167879467
180619,0.90558652,0.899295144,0.870060332,0.884848463,-0.890017695
180626,0.786515441,0.795465969,0.76657121,0.781164728,-0.261570317
180705,0.51203982,0.459257212,0.443882273,0.451549197,-1.75992306
180712,0.504931099,0.508699676,0.490600219,0.499737447,-0.286186917
180720,0.294828897,0.339804219,0.327777334,0.333843471,-0.294448765
180801,0.263432045,0.281462111,0.24892848,0.26531346,-2.271132036
180809,0.120467765,0.239337131,0.216797571,0.228184808,1.433387257
180817,0.322276459,0.350483791,0.323046403,0.336805864,1.093921093
180827,0.352685988,0.392411001,0.371144204,0.381834228,1.246472651
180904,0.335901508,0.349099402,0.31910396,0.334238457,-0.119542111
180914,0.435226139,0.43453598,0.402486624,0.418567895,-0.183070328
180926,0.486764367,0.464201459,0.443290906,0.453721618,0.258929886
181009,0.309441268,0.328926877,0.29604067,0.312514246,-0.704331932
181018,0.285745531,0.294712691,0.26371264,0.27933545,-0.349535784
181026,0.263037116,0.234590655,0.204773121,0.219692616,0.350879752
181106,0.247042494,0.256543109,0.224485335,0.240626856,-0.687528455
181113,0.273502733,0.29609708,0.262924151,0.279532943,-0.320462734
181121,0.214460855,0.24171037,0.214629228,0.228184808,-0.328924465
181129,0.22966562,0.246654616,0.214629228,0.230752215,-0.212490905
181206,0.134092814,0.147374148,0.116068159,0.131808308,0.232142435
181214,0.214855784,0.212044891,0.185060907,0.198560884,0.472164013
181221,0.082357121,0.10327147,0.076052366,0.089544842,-0.088794984
190104,-0.116094677,-0.124163866,-0.154383412,-0.139349346,0.083517307
190116,-0.330343633,-0.292268244,-0.314840831,-0.303663379,-0.965573908
190131,-0.230624073,-0.223048794,-0.238751687,-0.230986018,-0.027932856
190220,-0.300131568,-0.29721249,-0.325879671,-0.311760585,-0.298961577
190228,-0.063569126,0.004386541,-0.024479924,-0.009991543,0.243884503
190311,-0.152230676,-0.098651554,-0.12560358,-0.112095336,-0.287661389
190321,-0.073837279,-0.067997226,-0.090910084,-0.079509019,-0.447787915
190329,-0.058632515,-0.040111676,-0.066269817,-0.053242473,0.273262128
190408,0.10348582,0.135903496,0.11054874,0.123118623,0.513713295
190416,0.497822378,0.491691469,0.467931173,0.479790671,1.169283778
190423,0.577005632,0.563284157,0.537318165,0.550493104,1.170218313
190429,0.4537878,0.479034198,0.451175792,0.465176202,-0.53138975
190508,0.193529621,0.221933384,0.194917014,0.208435525,-0.838782308
190515,0.15818348,0.17249092,0.14563648,0.159062318,0.009761791
190523,0.205969883,0.202156398,0.1752048,0.188686242,-0.382273434
190531,0.241513488,0.239534901,0.214629228,0.227197344,0.017145605
190612,0.152851939,0.166557824,0.135780373,0.151162605,-0.010763066
190620,-0.105826524,-0.050593479,-0.081053977,-0.065882014,-0.781764479
190627,0.019760882,0.053829006,0.023420755,0.038591692,0.134080899
190704,-0.162893758,-0.156598122,-0.184543099,-0.170553213,0.032409938
190711,-0.094965978,-0.074721401,-0.100766191,-0.087803718,-0.316513115
190719,-0.10562906,-0.10438688,-0.134276954,-0.11940257,-0.110766586
190729,-0.021509193,0.004386541,-0.021917336,-0.008806586,0.542398661
190805,-0.141567594,-0.138996605,-0.164830885,-0.151988887,-0.704774511
190815,-0.085290219,-0.045055923,-0.061341764,-0.053242473,-0.163855958
190823,-0.017362439,0.004386541,-0.02684539,-0.0111765,0.06858744
190904,0.021932991,-0.000557705,-0.020931726,-0.010781515,-0.223379802
190920,0.123429732,0.127399392,0.103846587,0.115613896,0.15733533
190930,0.126589163,0.142825441,0.116068159,0.129438394,0.427794782
191015,0.178127392,0.206902875,0.1752048,0.191056156,0.18908809
191024,0.247239958,0.246654616,0.218571671,0.232727143,-0.131483155
191101,0.420613768,0.429591734,0.406823311,0.418370402,-0.609043412
191114,0.351303737,0.382324738,0.350840624,0.366627281,0.078726251
191125,0.060833493,0.098327223,0.06718187,0.082632593,0.637409356
191203,0.09775935,0.093382977,0.071715679,0.082632593,-0.135086434
191210,0.106052858,0.108215716,0.076643732,0.092507235,-0.212189264
191223,-0.00946386,-0.010446198,-0.040841061,-0.025593477,-0.707913421
191230,-0.0059095,0.009330788,-0.012061229,-0.001301859,0.15866628
200107,-0.029210308,-0.000557705,-0.021917336,-0.0111765,0.336020355
200115,0.007123156,0.024163527,-0.002796489,0.010547711,0.023332842
200122,-0.07344235,-0.041693835,-0.07119787,-0.056599851,0.179646008
200206,-0.402220702,-0.401041665,-0.421089663,-0.411099478,-0.525871934
200214,-0.501150404,-0.470261115,-0.495010464,-0.482789375,-0.023516564
200225,-0.582110839,-0.557279852,-0.584701036,-0.571068669,-0.278538478
200310,-0.861128143,-0.785110727,-0.807449051,-0.796605479,1.998702902
200318,-0.914641016,-0.925131786,-0.950953966,-0.93840533,-0.813651821
200325,-1.316086295,-1.380200227,-1.406700346,-1.393823793,-0.549896496
200401,-1.542380584,-1.536042874,-1.554541949,-1.545695778,-8.475664459
200409,-2.431168189,-2.388628727,-2.391522541,-2.390767591,-0.28384342
200416,-2.435907336,-2.394957363,-2.416951297,-2.406567018,-0.694698347
200423,-2.433932691,-2.413349959,-2.4339038,-2.424341372,0.530717843
200429,-2.418925391,-2.444004287,-2.465837586,-2.455545239,-1.227061094
200509,-2.289388695,-2.304576538,-2.278965801,-2.29221867,0.034609843
200515,-2.401548517,-2.378740234,-2.397239083,-2.38859517,-0.556543144
200522,-2.290968411,-2.314465031,-2.333174388,-2.324410001,-1.383254553
200529,-1.772821627,-1.81845823,-1.820656833,-1.820013317,-0.621716733
200605,-1.264942996,-1.260747233,-1.283104767,-1.272168211,1.51118053
200612,-1.341361748,-1.327988985,-1.352491759,-1.340500729,-1.246471925
200619,-1.139553054,-1.108068904,-1.130729355,-1.119703747,0.408343443
200630,-0.97703979,-0.975958639,-0.997671913,-0.987186059,1.012702564
200707,-0.641547646,-0.661109027,-0.689767135,-0.675739868,3.007248023
200714,-0.453561466,-0.429718295,-0.457557258,-0.443685795,-0.854845616
200722,-0.640165395,-0.639156573,-0.654088028,-0.646905915,-0.030156158
200729,-0.570262971,-0.56064194,-0.585095281,-0.573043598,0.423703527
200805,-0.517342491,-0.485093854,-0.514722678,-0.499971251,-0.047028218
