time,buy
180409,3.2829
180410,3.2925
180411,3.2800
180412,3.2856
180413,3.2959
180416,3.2951
180417,3.3043
180418,3.1975
180419,3.2316
180420,3.2375
180423,3.2426
180424,3.2275
180425,3.2380
180426,3.2750
180427,3.2852
180428,3.2775
180502,3.2825
180503,3.2350
180504,3.2022
180507,3.2075
180509,3.2250
180510,3.2237
180511,3.2171
180514,3.2275
180515,3.2443
180516,3.2469
180517,3.2251
180518,3.2100
180521,3.2000
180522,3.1950
180523,3.1902
180524,3.1850
180525,3.1900
180528,3.2000
180529,3.2022
180530,3.2175
180531,3.1988
180601,3.1900
180604,3.1850
180605,3.1864
180607,3.1850
180608,3.1775
180611,3.1700
180612,3.1852
180613,3.1775
180614,3.1600
180615,3.1440
180619,3.0925
180620,3.1075
180621,3.0775
180622,3.0666
180625,3.0525
180626,3.0400
180627,3.0445
180628,3.0514
180702,2.9700
180703,2.9800
180704,2.9700
180705,2.8763
180706,2.8344
180709,2.9000
180710,2.9355
180711,2.9164
180712,2.9000
180713,2.8650
180716,2.8700
180717,2.8756
180718,2.8450
180719,2.7862
180720,2.8174
180723,2.7975
180724,2.8000
180726,2.8150
180730,2.7900
180731,2.7811
180801,2.7774
180802,2.7593
180803,2.6707
180806,2.6258
180808,2.6902
180809,2.7611
180810,2.7725
180813,2.8183
180815,2.7600
180816,2.7800
180817,2.8150
180821,2.8758
180822,2.8441
180823,2.7862
180824,2.7850
180827,2.8394
180828,2.8211
180829,2.8250
180830,2.8044
180831,2.8075
180903,2.8206
180904,2.8130
180905,2.8000
180906,2.8325
180910,2.8600
180911,2.8694
180912,2.8675
180914,2.8553
180917,2.8400
180918,2.8525
180920,2.9016
180921,2.8800
180926,2.8760
180928,2.8450
180929,2.8391
180930,2.8350
181008,2.8200
181009,2.8013
181010,2.8150
181011,2.7975
181012,2.7959
181017,2.8076
181018,2.7849
181022,2.7975
181023,2.7775
181024,2.7600
181025,2.7684
181026,2.7550
181030,2.7619
181031,2.7600
181101,2.7700
181105,2.7850
181106,2.7650
181107,2.7571
181108,2.7721
181109,2.7925
181112,2.7946
181113,2.7845
181114,2.7567
181116,2.7550
181119,2.7750
181120,2.7575
181121,2.7600
181122,2.7672
181126,2.7700
181127,2.7675
181128,2.7675
181129,2.7600
181130,2.7700
181203,2.7600
181204,2.7312
181205,2.7150
181206,2.7100
181210,2.6994
181211,2.7025
181212,2.7125
181213,2.7427
181214,2.7450
181217,2.7625
181218,2.7346
181219,2.7187
181220,2.6874
181221,2.6897
181224,2.6900
181225,2.6800
181226,2.6650
181227,2.6580
181228,2.6539
181229,2.6250
190103,2.5850
190104,2.5728
190107,2.5291
190108,2.4725
190110,2.5325
190114,2.5162
190115,2.5003
190116,2.4914
190117,2.4889
190121,2.5300
190123,2.5375
190124,2.5450
190128,2.5400
190129,2.5313
190131,2.5300
190201,2.5114
190202,2.5100
190203,2.5200
190213,2.4800
190215,2.4725
190218,2.5054
190219,2.5000
190220,2.4858
190221,2.5025
190222,2.5279
190225,2.5805
190226,2.6000
190227,2.6100
190228,2.6387
190301,2.6515
190304,2.6493
190305,2.6798
190306,2.6327
190308,2.5700
190311,2.5874
190314,2.6400
190315,2.6200
190318,2.6400
190319,2.6367
190320,2.6231
190321,2.6050
190325,2.5775
190326,2.6175
190327,2.6150
190328,2.6100
190329,2.6175
190401,2.6613
190402,2.6550
190403,2.6775
190404,2.7050
190408,2.7072
190409,2.7594
190410,2.7516
190411,2.7363
190412,2.8000
190415,2.8550
190416,2.8885
190417,2.8980
190418,2.8450
190419,2.8450
190422,2.9150
190423,2.9237
190424,2.9626
190425,2.9175
190426,2.8700
190428,2.8750
190429,2.8800
190430,2.8425
190505,2.8400
190506,2.7925
190507,2.7650
190508,2.7500
190509,2.7155
190510,2.7325
190513,2.7050
190514,2.7257
190515,2.7250
190517,2.7100
190520,2.7404
190521,2.7575
190522,2.7700
190523,2.7400
190524,2.7430
190527,2.8200
190528,2.7800
190530,2.7675
190531,2.7600
190603,2.7350
190604,2.6975
190605,2.7000
190606,2.6875
190610,2.7020
190611,2.7300
190612,2.7200
190613,2.6900
190614,2.6725
190617,2.6500
190619,2.6250
190620,2.6100
190621,2.6150
190624,2.6398
190625,2.6450
190626,2.6530
190627,2.6630
190628,2.6400
190701,2.6200
190702,2.5725
190703,2.5600
190704,2.5575
190705,2.5954
190708,2.6175
190709,2.6118
190710,2.6125
190711,2.6000
190712,2.6000
190716,2.6150
190717,2.6075
190718,2.5950
190719,2.5830
190722,2.5705
190723,2.5850
190724,2.6050
190726,2.6200
190729,2.6400
190730,2.6350
190731,2.6175
190801,2.6225
190802,2.5900
190805,2.5675
190806,2.5750
190808,2.5650
190809,2.5701
190813,2.6025
190815,2.6200
190816,2.6225
190819,2.6050
190820,2.6250
190821,2.6350
190822,2.6375
190823,2.6375
190826,2.6393
190827,2.6600
190828,2.6525
190902,2.6775
190904,2.6405
190905,2.6085
190906,2.6050
190911,2.6500
190912,2.6727
190916,2.6675
190919,2.7000
190920,2.7038
190923,2.7058
190924,2.7025
190925,2.6900
190927,2.6975
190929,2.7050
190930,2.7100
191008,2.6875
191010,2.7025
191011,2.7050
191012,2.7225
191014,2.7250
191015,2.7400
191016,2.7375
191017,2.7251
191018,2.7525
191023,2.7675
191024,2.7620
191025,2.7855
191028,2.8425
191030,2.9032
191031,2.8725
191101,2.8575
191105,2.8150
191107,2.8274
191108,2.8300
191113,2.8200
191114,2.8291
191118,2.7375
191119,2.6789
191120,2.6450
191121,2.6475
191122,2.6450
191125,2.6852
191126,2.6800
191127,2.6916
191128,2.6900
191129,2.6800
191203,2.6875
191204,2.6750
191205,2.6800
191206,2.7025
191209,2.7100
191210,2.6900
191211,2.6750
191212,2.6671
191216,2.6920
191217,2.7150
191220,2.6545
191223,2.6304
191224,2.6250
191225,2.6275
191226,2.6300
191227,2.6375
191230,2.6450
191231,2.6475
200102,2.6550
200103,2.6400
200106,2.6176
200107,2.6400
200108,2.6375
200109,2.6325
200110,2.6275
200113,2.6400
200115,2.6497
200116,2.6375
200117,2.6275
200119,2.6300
200120,2.6100
200121,2.6050
200122,2.6150
200123,2.6000
200203,2.4600
200204,2.4700
200205,2.4450
200206,2.4375
200207,2.3897
200210,2.3712
200212,2.4075
200213,2.3900
200214,2.4000
200217,2.3975
200219,2.4100
200220,2.4243
200221,2.3884
200225,2.3545
200226,2.3275
200228,2.2825
200302,2.2910
200303,2.2800
200306,2.1950
200310,2.2415
200311,2.2498
200313,2.2775
200316,2.2250
200317,2.2132
200318,2.1687
200319,2.1500
200320,2.1111
200323,2.0272
200324,1.9700
200325,1.9375
200326,1.9212
200327,1.9723
200330,1.9250
200331,1.9037
200401,1.8625
200402,1.8550
200403,1.7986
200407,1.4585
200408,1.3750
200409,1.4379
200410,1.5076
200413,1.5500
200414,1.4800
200415,1.4294
200416,1.4250
200417,1.4750
200420,1.4575
200421,1.4125
200422,1.4029
200423,1.4164
200424,1.4513
200426,1.4525
200427,1.4475
200428,1.4425
200429,1.4002
200430,1.4300
200506,1.4675
200507,1.5100
200508,1.4801
200509,1.4950
200511,1.5275
200512,1.4775
200513,1.4475
200514,1.4175
200515,1.4350
200518,1.4800
200519,1.5116
200520,1.5250
200521,1.5366
200522,1.4675
200525,1.5475
200526,1.6925
200527,1.7800
200528,1.7564
200529,1.7275
200601,1.7086
200602,1.8577
200603,1.8825
200604,2.0181
200605,2.0002
200608,1.9825
200609,1.9643
200610,2.0146
200611,1.9900
200612,1.9650
200615,1.9361
200616,1.9840
200617,2.0575
200618,2.0550
200619,2.0775
200622,2.1750
200623,2.1558
