time,buy
170413,3.5750
170414,3.5950
170417,3.6333
170418,3.6271
170419,3.6370
170420,3.6451
170421,3.6458
170424,3.6441
170426,3.6200
170427,3.6375
170428,3.6750
170502,3.7115
170503,3.7550
170504,3.8088
170505,3.7600
170508,3.7700
170509,3.8014
170510,3.8366
170511,3.7875
170512,3.8022
170515,3.7345
170516,3.7375
170517,3.7100
170518,3.6994
170519,3.7150
170522,3.7100
170523,3.6430
170524,3.6460
170525,3.6524
170526,3.6415
170601,3.5600
170602,3.5961
170605,3.5835
170606,3.6076
170607,3.5900
170608,3.6150
170609,3.5842
170612,3.5700
170613,3.5700
170614,3.5400
170615,3.5650
170616,3.5700
170619,3.4904
170620,3.5050
170621,3.5310
170622,3.5200
170623,3.4750
170626,3.3925
170627,3.3875
170628,3.4302
170629,3.4300
170630,3.4800
170703,3.5036
170704,3.4750
170705,3.4100
170706,3.4200
170707,3.4450
170710,3.4600
170711,3.4550
170712,3.4300
170713,3.4050
170714,3.3950
170717,3.3886
170718,3.4077
170719,3.4119
170720,3.3900
170721,3.3975
170724,3.3725
170725,3.3847
170726,3.4075
170727,3.3925
170728,3.3900
170731,3.4104
170801,3.4400
170802,3.4375
170803,3.4250
170804,3.4075
170807,3.4357
170808,3.4400
170809,3.4475
170810,3.4343
170811,3.4175
170814,3.4195
170815,3.4407
170816,3.4671
170817,3.4728
170818,3.4572
170821,3.4700
170822,3.4800
170823,3.4900
170824,3.4925
170825,3.4946
170828,3.5538
170829,3.5500
170830,3.5500
170831,3.5400
170901,3.5475
170904,3.5846
170905,3.5975
170906,3.5525
170907,3.4939
170908,3.4600
170911,3.4925
170912,3.4950
170913,3.5225
170914,3.4975
170915,3.4900
170918,3.4969
170919,3.4900
170920,3.4900
170921,3.5000
170922,3.4850
170925,3.4775
170926,3.4850
170927,3.5096
170928,3.4941
170929,3.4950
170930,3.4925
171009,3.5175
171010,3.5178
171011,3.5125
171012,3.5199
171013,3.5150
171016,3.5359
171017,3.5500
171018,3.5275
171019,3.5275
171020,3.5360
171023,3.5425
171025,3.6050
171026,3.5815
171027,3.6020
171030,3.6383
171031,3.6000
171101,3.5895
171102,3.5914
171103,3.5875
171106,3.5825
171107,3.5850
171108,3.5900
171109,3.6025
171110,3.6305
171113,3.6504
171114,3.6433
171116,3.6000
171117,3.6025
171120,3.5875
171121,3.5925
171123,3.6100
171124,3.5975
171127,3.6075
171128,3.6275
171129,3.6200
171130,3.6200
171201,3.6125
171204,3.6120
171205,3.6125
171206,3.6297
171207,3.6397
171208,3.6625
171211,3.6950
171212,3.7223
171213,3.7275
171214,3.6925
171215,3.6600
171218,3.6625
171219,3.6750
171220,3.6875
171221,3.6907
171222,3.6600
171225,3.6498
171226,3.6575
171227,3.6700
171228,3.6850
171229,3.6914
180102,3.6350
180103,3.6300
180104,3.6006
180105,3.5651
180108,3.5850
180109,3.6000
180110,3.6418
180111,3.6475
180112,3.6206
180115,3.6102
180116,3.5990
180118,3.6150
180119,3.6050
180122,3.5850
180123,3.5679
180124,3.5650
180126,3.5844
180129,3.5800
180130,3.5905
180131,3.5750
180201,3.5575
180202,3.5561
180205,3.5525
180206,3.5475
180208,3.5326
180209,3.5300
180211,3.5262
180212,3.5334
180213,3.5350
180214,3.5350
180222,3.5453
180224,3.5055
180226,3.4375
180227,3.4675
180228,3.5125
180301,3.5100
180302,3.5215
180305,3.5325
180306,3.4900
180307,3.4925
180308,3.4875
180312,3.4915
180313,3.5225
180314,3.5025
180315,3.5050
180316,3.4880
180319,3.4850
180320,3.4666
180321,3.4650
180322,3.4241
180323,3.3994
180326,3.4191
180327,3.3742
180328,3.3667
