time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,val,cmax,avg,std,rc,rc2,rc3
150527,-0.389439141,-0.760617344,-0.228579643,1.120827121,0.093289427,9.786576673,-0.67306874,-10.83880836,-0.414043366,0.973647884,-0.171669096,1.675958776,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,5181.43,0.918331115,0.919572421,0.037603908,0,0,0.033010039
150528,-0.228579643,1.120827121,0.093289427,9.786576673,-0.67306874,-10.83880836,-0.414043366,0.973647884,-0.171669096,1.675958776,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,4834.01,0.913630139,0.922364456,0.034739095,0,0,0.251426152
150529,0.093289427,9.786576673,-0.67306874,-10.83880836,-0.414043366,0.973647884,-0.171669096,1.675958776,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,4840.83,0.920910497,0.925511356,0.031277216,0,0,0.147099372
150601,-0.67306874,-10.83880836,-0.414043366,0.973647884,-0.171669096,1.675958776,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,5076.18,0.884191332,0.926346383,0.029836424,0,0,1.412872086
150602,-0.414043366,0.973647884,-0.171669096,1.675958776,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,5161.87,0.875822286,0.925832139,0.030644166,0,0,1.631953428
150603,-0.171669096,1.675958776,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,5143.59,0.859811268,0.924145431,0.033325869,0,0,1.930457191
150604,-0.328415438,-0.592925318,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,5181.42,0.876797489,0.923658107,0.033969697,0,0,1.379482942
150605,-0.560178863,-1.191290283,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,5230.55,0.896756555,0.923313005,0.034217722,0,0,0.776102214
150608,-0.812467941,-2.07314228,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,5353.75,0.886746673,0.921670232,0.035180399,0,0,0.992699345
150609,-1.189941362,-2.398015495,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,5317.46,0.881333645,0.91957886,0.036312163,0,0,1.053234303
150610,-1.521227555,-2.400488529,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,5309.11,0.878035022,0.917922338,0.037453911,0,0,1.064970627
150611,-1.738621488,-2.36524653,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,5306.59,0.862473967,0.914104117,0.039067134,0,0,1.321575051
150612,-1.739258998,-0.221229585,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,5335.12,0.854567359,0.909031612,0.039915615,0,0,1.364484876
150615,-1.485987599,1.606890451,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,5221.17,0.883720756,0.906188681,0.039573783,0,0,0.567747695
150616,-1.285286641,2.035581984,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,5064.82,0.88814756,0.902555773,0.037580862,0,0,0.383392283
150617,-1.395783428,-0.624938777,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,5138.83,0.904222274,0.898471813,0.032082789,0,0,-0.179238185
