val,buy,sell,avg,per
2.4177,2.395,2.44,2.4175,-0.002352067
2.4254,2.4059,2.4438,2.4248,0.003184845
2.4362,2.4129,2.4538,2.4333,0.004452874
2.4457,2.4137,2.4656,2.4396,0.003899516
2.4462,2.4197,2.4705,2.4451,0.00020444
2.4447,2.4146,2.4588,2.4367,-0.000613196
2.4342,2.4063,2.4513,2.4288,-0.004295006
2.4293,2.4069,2.4538,2.4303,-0.002012982
2.422,2.4063,2.45,2.4281,-0.003004981
2.4198,2.3975,2.4488,2.4231,-0.00090834
2.4278,2.4,2.4475,2.4238,0.003306058
2.4407,2.4154,2.4575,2.4364,0.005313453
2.4427,2.4138,2.4588,2.4363,0.000819437
2.4462,2.4184,2.465,2.4417,0.001432841
2.4436,2.4013,2.4575,2.4294,-0.001062873
2.441,2.4125,2.455,2.4338,-0.001064004
2.438,2.4167,2.4611,2.4389,0.001355403
2.4373,2.4154,2.4588,2.4371,-0.000287121
2.4344,2.4125,2.4613,2.4369,-0.001189841
2.4299,2.3998,2.4596,2.4297,-0.001848505
2.4236,2.4,2.4529,2.4264,-0.002592699
2.43,2.4038,2.45,2.4269,0.0026407
2.4269,2.405,2.4488,2.4269,-0.00127572
2.428,2.4041,2.455,2.4296,0.000453253
2.4325,2.4096,2.4575,2.4336,0.001853377
2.43,2.4088,2.4538,2.4313,-0.001027749
2.4175,2.395,2.44,2.4175,-0.005144033
2.4209,2.4038,2.445,2.4244,0.001406412
2.47,2.4033,2.4467,2.425,0.020281713
2.4278,2.3975,2.45,2.4238,-0.01708502
2.4416,2.4134,2.46,2.4367,0.005684158
2.4445,2.4238,2.4625,2.4431,0.001187746
2.4684,2.4588,2.5013,2.48,0.009777051
2.5152,2.4725,2.53,2.5013,0.01895965
2.5261,2.4841,2.54,2.5121,0.004333651
2.5243,2.4879,2.5313,2.5096,-0.000712561
2.5256,2.4929,2.5363,2.5146,0.000514994
2.5307,2.5016,2.545,2.5233,0.002019322
2.5224,2.4916,2.5363,2.5139,-0.003279725
2.5076,2.4825,2.5275,2.505,-0.005867428
2.493,2.4666,2.5113,2.4889,-0.0058223
2.5016,2.4759,2.5238,2.4998,0.003449659
2.5035,2.4788,2.5225,2.5006,0.000759514
2.5078,2.4784,2.5313,2.5048,0.001717595
2.5077,2.4788,2.5388,2.5088,-3.99E-05
2.4967,2.4766,2.5296,2.5031,-0.00438649
2.5102,2.4809,2.5288,2.5048,0.005407137
2.5059,2.4825,2.5263,2.5044,-0.001713011
2.512,2.4891,2.5338,2.5114,0.002434255
2.5183,2.485,2.52,2.5025,0.002507962
2.5223,2.4846,2.53,2.5073,0.001588373
2.5235,2.4896,2.5363,2.5129,0.000475756
2.5516,2.505,2.5675,2.5363,0.011135328
2.5376,2.5046,2.54,2.5223,-0.005486753
2.5255,2.495,2.5438,2.5194,-0.004768285
2.5266,2.4954,2.5488,2.5221,0.000435557
2.5308,2.4996,2.55,2.5248,0.001662313
2.5409,2.5038,2.55,2.5269,0.003990833
2.5556,2.5041,2.5525,2.5283,0.005785352
2.5256,2.5084,2.5625,2.5354,-0.011738926
2.5353,2.5091,2.555,2.5321,0.003840672
2.5455,2.5104,2.5563,2.5333,0.004023193
