time,feature_0,feature_1
170227,2.882819418,-0.513046727
170228,2.894699565,-0.019092141
170301,3.004034614,0.439619347
170302,3.126551142,0.684040508
170303,3.114842832,-0.066663929
170306,3.119785573,0.039242701
170307,3.174524472,0.272630035
170308,3.501802584,0.962430252
170309,3.567288929,0.843716521
170310,3.513917925,-0.038617745
170313,3.325606375,-0.787968575
170314,3.26951211,-0.630016402
170315,3.161629333,-0.35628032
170316,3.489098961,1.026157549
170317,3.594010695,1.064735059
170320,3.794418591,0.643602623
170321,4.138638975,1.72876064
170323,3.877339246,-0.725468963
170324,3.714850292,-0.968438529
170327,3.685994643,-0.198244331
170328,3.567041458,-0.899389757
170329,3.754110666,0.878641437
170330,3.777447865,0.365611796
170331,3.810436519,0.016048659
170401,3.728737174,-0.075885821
170405,3.638045952,-0.826273724
170406,3.700315578,0.231410096
170407,3.6014574,-0.535140614
170410,3.622936692,0.034705525
170411,3.633312901,0.122828837
170412,3.661054315,-0.17549572
170413,3.703012428,0.263120303
170414,3.772765865,0.100817235
170417,3.919026182,0.603502498
170418,3.913719417,0.360225075
170419,3.92391531,-0.20851248
170420,3.97376127,0.290758812
170421,3.980081643,-0.137903264
170424,3.985560257,0.18210603
170426,3.859230712,-0.244861769
170427,3.943090138,0.31164279
170428,4.086796002,0.59632155
170502,4.211912466,1.308263484
170503,4.411132784,1.306788091
170504,4.590222739,0.297077511
170505,4.469135,0.39149629
170509,4.597853904,0.336118333
170510,4.722724777,0.682742626
170511,4.556019183,-0.311404362
170512,4.576799564,-0.378614261
170515,4.338608585,-0.74142966
170516,4.328132116,-0.462272456
170517,4.263964675,0.03123689
170518,4.174009465,-0.813289643
170519,4.254870326,0.22257228
170522,4.25168526,0.106954086
170523,3.985728151,-0.934733552
170524,3.976621725,-0.420052283
170525,3.990166702,-0.2256017
170526,3.994033793,0.181710106
170601,3.64299166,-2.849497538
170602,3.7744581,-0.047554122
170605,3.732480506,-0.101496653
170606,3.813277798,0.111580585
170607,3.798585573,0.317374256
170608,3.836043199,-0.243377417
170609,3.760918125,0.039907661
170612,3.675252235,-0.694620131
170613,3.671003744,-0.247582282
170614,3.600918019,-0.016118824
170615,3.638460458,-0.271240434
170616,3.682284582,0.324794127
170619,3.398705719,-0.807220926
170620,3.415839528,-0.549332767
170621,3.51711485,0.237908612
170622,3.487781696,0.027043518
170623,3.31941409,-0.650350301
170626,3.003337799,-1.223446894
170627,2.951061101,-0.938681965
170628,3.110006078,0.418916699
170629,3.143699981,0.536368661
170630,3.392269784,1.744345632
170703,3.403380748,-0.682417831
170704,3.314728969,-0.216064887
170705,3.070850559,-1.040402671
170706,3.076154279,-0.447965031
170707,3.176622644,0.390117336
170710,3.236272303,0.041602976
170711,3.231366999,0.394563618
170712,3.113588997,-0.62260917
170713,3.016823436,-0.587847663
170714,2.994223656,-0.11256611
170717,2.945926203,-0.553122723
170718,3.045044598,0.621745557
170719,3.049979953,-0.019007922
170720,2.970731595,-0.29638184
170721,2.983113326,-0.127056044
170724,2.89765025,-0.307147503
170725,2.941438646,0.056710128
170726,3.030760888,0.395789447
170727,2.969360714,-0.243465764
170728,2.960183549,-0.163840621
170731,3.057485012,0.55141079
170801,3.168087013,0.343049156
170802,3.143760454,-0.064881327
170803,3.096704231,-0.271573208
170804,3.030107056,-0.328666891
170807,3.152681265,0.456746281
170808,3.176732393,0.225389829
170809,3.194875335,0.003470238
170810,3.138304537,-0.277183066
170811,3.072401716,-0.334103733
170814,3.08174364,0.013225781
170815,3.154509675,0.118269856
170816,3.255080288,0.395300106
170817,3.294420118,0.40839665
170818,3.21757607,-0.462917972
170821,3.272488157,0.17012481
170822,3.329712257,0.334011072
170823,3.345900686,-0.070824835
170824,3.37922722,0.259479087
170825,3.371870549,-0.122855726
170828,3.581122937,0.493836389
170829,3.621431498,0.761048926
170830,3.599035172,-0.080795882
170831,3.559721568,-0.327470787
170901,3.599684893,0.013474961
170904,3.73764575,0.594184633
170905,3.783599461,0.264276764
170906,3.609550019,-0.585142321
170907,3.393788079,-0.911586246
170908,3.244050139,-1.039797404
170911,3.370003984,0.264392628
170912,3.375799808,0.05093518
170913,3.47839108,0.323356977
170914,3.398535987,-0.069120297
170915,3.358121928,-0.46643435
170918,3.379773445,0.052883259
170919,3.362683837,0.0609931
170920,3.374635786,0.114605464
170921,3.392571552,-0.248322332
170922,3.346725779,-0.180510954
170925,3.29855453,-0.312298645
170926,3.335862009,0.134084865
170927,3.430953775,0.336894788
170928,3.369692114,-0.202412114
170929,3.372088667,-0.051033113
170930,3.412433057,0.378038114
171009,3.465755384,-0.061974755
171010,3.46877768,0.057174605
171011,3.437332551,-0.228216567
171012,3.46954483,0.081133702
171013,3.458916183,-0.125418693
171016,3.548687658,0.481656657
171017,3.588322395,0.116289222
171018,3.509997418,-0.262997534
171019,3.501353486,-0.224149632
171020,3.531776033,0.022450848
171023,3.560979786,0.17831802
171025,3.809188062,0.906198879
171026,3.738693958,0.178578005
171027,3.794396948,-0.109804216
171030,3.957573885,0.695573452
171031,3.795205139,-0.581499151
171101,3.743048187,-0.44384007
171102,3.759363897,-0.020128085
171103,3.739036021,-0.03738973
171106,3.719195216,-0.124695483
171107,3.722913907,-0.11901272
171108,3.747965328,0.106774022
171109,3.794095914,0.082554416
171110,3.901895323,0.422821134
171113,4.005778437,0.592137107
171114,3.970856572,-0.089807215
171116,3.798050561,-0.328852349
171117,3.796920765,-0.17535722
171120,3.751587305,-0.202183646
171121,3.758748848,-0.084219343
171123,3.840880743,0.011632296
171124,3.788682567,-0.310020193
171127,3.814962814,-0.028609949
171128,3.888889494,0.162186708
171129,3.883438646,0.231205347
171130,3.868358915,-0.179279865
171201,3.841295678,-0.206203268
171204,3.834801603,-0.108037375
171205,3.833311901,-0.152549859
171206,3.903882859,0.301319271
171207,3.945481673,0.198991984
171208,4.040506131,0.448461145
171211,4.170143272,0.510164533
171212,4.27450325,0.387314619
171213,4.320732589,0.54760214
171214,4.144983323,-1.023832832
171215,4.025993287,-0.630160626
171218,4.031294586,-0.185630338
171219,4.092279042,0.189376703
171220,4.13543476,0.207110385
171221,4.154414673,0.200316629
171222,4.031079575,-0.520477922
171225,3.980471517,-0.507973805
171226,4.009481149,-0.027209522
171227,4.068106434,0.35670418
171228,4.119589789,0.123605094
171229,4.184425835,0.517190071
180102,3.94331545,-0.466033441
180103,3.91030908,-0.294020841
180104,3.816777115,-0.278409285
180105,3.656509978,-0.886465212
180108,3.731245805,0.060250882
180109,3.78133283,0.123788948
180110,3.952924293,0.667477291
180111,3.988747159,0.411764432
180112,3.889494196,-0.440498186
180115,3.838914138,-0.338396092
180116,3.78001225,-0.396878908
180118,3.856434895,0.20933539
180119,3.83410421,-0.001794871
180122,3.737891602,-0.436884497
180123,3.678546666,-0.384094448
180124,3.661943644,-0.061804685
180126,3.72324598,-0.123341347
180129,3.71252211,0.203804041
180130,3.745784649,0.09716781
180131,3.724783947,0.32898783
180201,3.628076081,-0.876818926
180202,3.616115181,-0.081026671
180205,3.598870819,-0.21817498
180206,3.579839661,-0.084674457
180208,3.529769088,-0.312706448
180209,3.517235703,0.002807471
180212,3.523839875,-0.129732895
180213,3.532996561,0.052102882
180214,3.549502485,0.002384882
180222,3.589794231,0.274434505
180224,3.442869262,-0.251667315
180226,3.197816498,-0.716018654
180227,3.264406035,-0.258374295
180228,3.465676163,0.98373119
180301,3.426763193,-0.368757772
180302,3.484515346,0.306216604
180305,3.524865154,0.189099304
180306,3.373258349,-0.481426131
180307,3.374767955,-0.215950273
180308,3.345169145,-0.275862024
180312,3.358197658,0.013160372
180313,3.479321024,0.475912683
180314,3.410258903,-0.106976911
180315,3.413696126,-0.178684442
180319,3.337656394,-0.048638439
180320,3.2700333,-0.301890297
180321,3.256250717,-0.254574282
180322,3.109987902,-0.52943844
180323,2.974838986,-1.273895991
180326,3.072399643,0.577606439
180327,2.94607597,0.092867562
180328,2.870623814,-0.813743793
180329,2.822487254,-0.239328296
180330,2.832432691,-0.34581117
180402,2.802390059,-1.946619056
180403,2.758405274,-0.414411601
180404,2.667443214,-0.463488141
180408,2.555736509,-0.332359951
180409,2.498791605,-0.778696959
180410,2.566197109,0.358594997
180411,2.515327208,-0.001615357
180412,2.516541576,-0.377251377
180413,2.584042254,0.603243259
180416,2.543915686,-0.532503688
180417,2.609289946,0.380388285
180418,2.148703563,-2.417942238
180419,2.309681927,0.586415466
180420,2.345529618,0.376567563
180423,2.356212932,-0.025317716
180424,2.285366059,-0.097827196
180425,2.336765549,-0.042373854
180426,2.469185293,0.362378995
180427,2.528484798,0.499261557
180428,2.471686795,-0.158886014
180502,2.522246027,0.392739622
180503,2.331035726,-0.832152411
180504,2.196295559,-0.732241402
180507,2.217533556,-0.241361728
180509,2.292833935,0.370289664
180510,2.295356307,0.129432754
180511,2.260105403,-0.309874701
180514,2.301019063,0.097007324
180515,2.368451445,0.378001205
180516,2.38363622,0.192205784
180517,2.285777724,-0.581245394
180518,2.233401201,-0.340230729
180521,2.197931211,-0.193226959
180522,2.176915048,-0.112655011
180523,2.153603207,-0.060046497
180524,2.132471081,-0.271831535
180525,2.164099012,0.222579804
180528,2.190588448,-0.07365385
180529,2.204839158,0.166709949
