time,0,1,2,3,4,5,6,7,8,9,10,11
1711,3.477855366,-0.33091867,3.2731803,0.210980948,3.700957667,0.006660268,3.562216916,-0.02039321,3.831314632,-0.238255684,3.939239709,-0.12563104
1712,3.2731803,0.210980948,3.700957667,0.006660268,3.562216916,-0.02039321,3.831314632,-0.238255684,3.939239709,-0.12563104,4.034215757,-0.266564416
1801,3.700957667,0.006660268,3.562216916,-0.02039321,3.831314632,-0.238255684,3.939239709,-0.12563104,4.034215757,-0.266564416,3.699788065,-0.448942383
1802,3.562216916,-0.02039321,3.831314632,-0.238255684,3.939239709,-0.12563104,4.034215757,-0.266564416,3.699788065,-0.448942383,3.512214346,-0.17324607
1803,3.831314632,-0.238255684,3.939239709,-0.12563104,4.034215757,-0.266564416,3.699788065,-0.448942383,3.512214346,-0.17324607,2.824038114,-0.923596677
1804,3.939239709,-0.12563104,4.034215757,-0.266564416,3.699788065,-0.448942383,3.512214346,-0.17324607,2.824038114,-0.923596677,2.618090235,0.290948336
1805,4.034215757,-0.266564416,3.699788065,-0.448942383,3.512214346,-0.17324607,2.824038114,-0.923596677,2.618090235,0.290948336,2.201274012,-0.171794633
1806,3.699788065,-0.448942383,3.512214346,-0.17324607,2.824038114,-0.923596677,2.618090235,0.290948336,2.201274012,-0.171794633,1.202653439,-1.42620412
1807,3.512214346,-0.17324607,2.824038114,-0.923596677,2.618090235,0.290948336,2.201274012,-0.171794633,1.202653439,-1.42620412,0.475141344,-0.897085188
1808,2.824038114,-0.923596677,2.618090235,0.290948336,2.201274012,-0.171794633,1.202653439,-1.42620412,0.475141344,-0.897085188,0.75960113,0.412435107
1809,2.618090235,0.290948336,2.201274012,-0.171794633,1.202653439,-1.42620412,0.475141344,-0.897085188,0.75960113,0.412435107,0.725870784,-0.072586321
1810,2.201274012,-0.171794633,1.202653439,-1.42620412,0.475141344,-0.897085188,0.75960113,0.412435107,0.725870784,-0.072586321,0.502856635,-0.046246603
1811,1.202653439,-1.42620412,0.475141344,-0.897085188,0.75960113,0.412435107,0.725870784,-0.072586321,0.502856635,-0.046246603,0.483232697,0.058253827
