,time,val,per,buy
341,160725,2.4407,0.005313453,2.4
342,160726,2.4427,0.000819437,2.6
343,160727,2.4462,0.001432841,2.62
344,160728,2.4436,-0.001062873,2.6
345,160729,2.441,-0.001064004,2.5
346,160801,2.438,0.001355403,2.4
347,160802,2.4373,-0.000287121,2.37
348,160803,2.4344,-0.001189841,2.35
349,160804,2.4299,-0.001848505,2.4
350,160805,2.4236,-0.002592699,2.4
351,160808,2.43,0.0026407,2.4
352,160809,2.4269,-0.00127572,2.4
353,160810,2.428,0.000453253,2.5
354,160811,2.4325,0.001853377,2.6
355,160812,2.43,-0.001027749,2.5
356,160815,2.4175,-0.005144033,2.5
357,160816,2.4209,0.001406412,2.45
358,160817,2.47,0.020281713,2.5
359,160818,2.4278,-0.01708502,2.5
360,160819,2.4416,0.005684158,2.5
361,160822,2.4445,0.001187746,2.48
362,160823,2.4684,0.009777051,2.4
363,160824,2.5152,0.01895965,2.6
364,160825,2.5261,0.004333651,2.6
365,160826,2.5243,-0.000712561,2.6
366,160829,2.5256,0.000514994,2.44
367,160830,2.5307,0.002019322,2.35
368,160831,2.5224,-0.003279725,2.35
369,160901,2.5076,-0.005867428,2.4
370,160902,2.493,-0.0058223,2.4
371,160905,2.5016,0.003449659,2.4
372,160906,2.5035,0.000759514,2.36
373,160907,2.5078,0.001717595,2.38
374,160908,2.5077,-3.99e-05,2.32
375,160909,2.4967,-0.00438649,2.3
376,160912,2.5102,0.005407137,2.35
377,160913,2.5059,-0.001713011,2.5
378,160914,2.512,0.002434255,2.65
379,160918,2.5183,0.002507962,2.4
380,160919,2.5223,0.001588373,2.56
381,160920,2.5235,0.000475756,2.7
382,160921,2.5516,0.011135328,2.74
383,160922,2.5376,-0.005486753,2.68
384,160923,2.5255,-0.004768285,2.4
385,160926,2.5266,0.000435557,2.44
386,160927,2.5308,0.001662313,2.49
387,160928,2.5409,0.003990833,2.6
388,160929,2.5556,0.005785352,2.85
389,160930,2.5256,-0.011738926,2.55
390,161010,2.5353,0.003840672,2.45
391,161011,2.5455,0.004023193,2.36
392,161012,2.5541,0.003378511,2.39
393,161013,2.5529,-0.000469833,2.41
394,161014,2.5484,-0.001762701,2.4
395,161017,2.5572,0.003453147,2.45
396,161018,2.57,0.005005475,2.5
397,161019,2.5787,0.003385214,2.75
398,161020,2.5761,-0.00100826,2.7
399,161021,2.5996,0.009122317,3.0
400,161024,2.6444,0.017233421,2.95
401,161025,2.6554,0.004159734,2.7
402,161026,2.6865,0.011711983,2.8
403,161027,2.709,0.008375209,3.0
404,161028,2.709,0.0,3.0
405,161031,2.7458,0.013584348,3.0
406,161101,2.7501,0.001566028,2.8
407,161102,2.7143,-0.013017708,2.5
408,161103,2.692,-0.008215746,2.45
409,161104,2.7186,0.009881129,2.4
410,161107,2.7117,-0.002538071,2.45
411,161108,2.7333,0.007965483,2.35
412,161109,2.7266,-0.002451249,2.4
413,161110,2.7855,0.021601995,2.45
414,161111,2.8235,0.013642075,2.5
415,161114,2.8646,0.014556402,2.7
416,161115,2.9197,0.019234797,2.6
417,161116,2.9217,0.000685002,2.85
418,161117,3.0028,0.027757812,2.85
419,161118,2.9972,-0.001864926,2.85
420,161121,2.9819,-0.005104764,2.65
421,161122,2.9475,-0.011536269,2.7
422,161123,2.9488,0.000441052,2.7
423,161124,2.9771,0.009597124,2.8
424,161125,3.0255,0.016257432,2.9
425,161128,3.0115,-0.004627334,2.9
426,161129,3.1107,0.032940395,2.8
427,161130,3.2049,0.030282573,3.24
428,161201,3.26,0.017192424,3.2
429,161202,3.2635,0.00107362,2.7
430,161205,3.2432,-0.006220316,2.6
431,161206,3.2407,-0.000770844,2.45
432,161207,3.2022,-0.011880149,2.5
433,161208,3.1612,-0.012803697,2.5
434,161209,3.175,0.004365431,2.5
435,161212,3.2586,0.026330709,2.6
436,161213,3.2954,0.011293193,2.6
437,161214,3.2998,0.001335195,2.89
438,161215,3.4682,0.051033396,2.5
439,161216,3.4422,-0.007496684,3.24
440,161219,3.4955,0.015484283,3.0
441,161220,3.5315,0.010298956,2.65
442,161221,3.4272,-0.029534192,3.0
443,161222,3.3422,-0.024801587,2.7
444,161223,3.3397,-0.00074801,2.55
445,161226,3.3667,0.008084558,2.5
446,161227,3.3907,0.007128642,2.5
447,161228,3.3985,0.00230041,2.8
448,161229,3.3482,-0.014800647,3.24
449,161230,3.33,-0.005435757,3.24
450,170103,3.381,0.010611269,2.7
451,170104,3.3772,-0.001123928,2.56
452,170105,3.3934,0.004796873,2.48
453,170106,3.325,-0.020156775,2.4
454,170109,3.2713,-0.016150376,2.35
455,170110,3.1681,-0.031547091,2.35
456,170111,3.1972,0.009185316,2.45
457,170112,3.1694,-0.008695108,2.4
458,170113,3.142,-0.008645169,2.4
459,170116,3.2086,0.02119669,2.55
460,170117,3.2471,0.011999003,2.33
461,170118,3.2168,-0.009331403,3.2
462,170119,3.2047,-0.003761502,2.5
463,170120,3.137,-0.021125222,3.0
464,170122,3.145,0.002550207,2.55
465,170123,3.1293,-0.004992051,2.45
466,170124,3.1577,0.009075512,2.85
467,170125,3.2607,0.032618678,2.6
468,170126,3.3,0.012052627,2.7
469,170203,3.4161,0.058861819,2.7
470,170206,3.3935,-0.006615731,2.55
471,170207,3.3827,-0.003182555,2.6
472,170208,3.3504,-0.009548585,2.9
473,170209,3.3606,0.003044413,2.65
474,170210,3.3663,0.001696126,2.6
475,170213,3.3618,-0.001336779,2.6
476,170214,3.3587,-0.000922125,2.68
477,170215,3.3891,0.009051121,3.34
478,170216,3.3496,-0.011655012,2.83
479,170217,3.3472,-0.000716503,3.34
480,170220,3.3314,-0.004720363,3.34
481,170221,3.3655,0.010235937,3.3
482,170222,3.3845,0.005645521,3.03
483,170223,3.3705,-0.004136505,3.34
484,170224,3.3934,0.006794244,3.34
485,170227,3.3702,-0.006836801,2.6
486,170228,3.371,0.000237375,3.0
487,170301,3.394,0.006822901,3.24
488,170302,3.4291,0.01034178,3.1
489,170303,3.4277,-0.00040827,2.8
490,170306,3.4315,0.001108615,2.9
491,170307,3.4468,0.004458692,3.3
492,170308,3.4964,0.014390159,3.1
493,170309,3.5408,0.012698776,3.0
494,170310,3.541,5.65e-05,2.8
495,170313,3.5031,-0.010703191,2.9
496,170314,3.4735,-0.008449659,3.0
497,170315,3.4577,-0.004548726,3.0
498,170316,3.5106,0.015299187,3.8
499,170317,3.5663,0.015866234,3.44
500,170320,3.6015,0.009870174,3.85
501,170321,3.6932,0.025461613,5.5
502,170322,3.6732,-0.005415358,5.0
503,170323,3.6375,-0.009719046,3.44
504,170324,3.5894,-0.013223368,3.2
505,170327,3.5815,-0.002200925,3.2
506,170328,3.5376,-0.012257434,2.72
507,170329,3.5844,0.013229308,3.5
508,170330,3.6055,0.00588662,3.11
509,170331,3.6087,0.000887533,4.5
510,170401,3.6071,-0.000443373,2.65
511,170405,3.5667,-0.011200133,2.9
512,170406,3.5808,0.003953234,3.4
513,170407,3.5556,-0.007037534,3.0
514,170410,3.5596,0.001124986,2.9
515,170411,3.5681,0.002387909,2.8
516,170412,3.5614,-0.00187775,3.0
517,170413,3.5771,0.004408379,2.9
518,170414,3.5846,0.00209667,2.9
519,170417,3.618,0.009317637,3.44
520,170418,3.6391,0.005831951,3.4
521,170419,3.6307,-0.002308263,3.8
522,170420,3.6483,0.00484755,3.6
523,170421,3.6436,-0.001288271,3.44
524,170424,3.6556,0.003293446,3.44
525,170425,3.6276,-0.007659481,3.44
526,170426,3.6173,-0.002839343,3.5
527,170427,3.6359,0.005141957,4.0
528,170428,3.6695,0.009241178,4.3
529,170502,3.6783,0.019456223,3.7
530,170503,3.7499,0.019465514,4.5
531,170504,3.7688,0.005040134,4.3
532,170505,3.7928,0.006368075,3.44
533,170508,3.7687,-0.006354145,3.3
534,170509,3.7898,0.005598748,3.3
535,170510,3.8299,0.010581033,3.3
536,170511,3.8158,-0.003681558,3.4
537,170512,3.7981,-0.004638608,3.4
538,170515,3.7606,-0.009873358,3.15
539,170516,3.7385,-0.005876722,3.4
540,170517,3.7429,0.001176943,3.44
541,170518,3.702,-0.010927356,3.44
542,170519,3.7165,0.003916802,3.2
543,170522,3.7249,0.002260191,2.8
544,170523,3.6776,-0.012698327,2.85
545,170524,3.658,-0.005329563,2.9
546,170525,3.6487,-0.002542373,3.2
547,170526,3.6607,0.003288843,3.2
548,170527,3.6457,-0.004097577,2.8
