time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
200707,-4.811186094,-0.793472214,-4.855401186,0.574931188,-4.867933691,-1.389169246,-4.578070728,0.024411251,-4.769232091,-0.638590861,-4.605315692,-1.560080077,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247
200714,-4.855401186,0.574931188,-4.867933691,-1.389169246,-4.578070728,0.024411251,-4.769232091,-0.638590861,-4.605315692,-1.560080077,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763
200722,-4.867933691,-1.389169246,-4.578070728,0.024411251,-4.769232091,-0.638590861,-4.605315692,-1.560080077,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131
200729,-4.578070728,0.024411251,-4.769232091,-0.638590861,-4.605315692,-1.560080077,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982
200805,-4.769232091,-0.638590861,-4.605315692,-1.560080077,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652
200812,-4.605315692,-1.560080077,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945
200820,-3.602992418,-0.695635818,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646
200827,-2.561713783,1.70158568,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953
200903,-2.660138895,-1.380631057,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901
200910,-2.253904848,0.473744858,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901,-0.538634568,-0.879839405
200917,-1.983461922,1.152563624,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901,-0.538634568,-0.879839405,-0.697872895,0.898281022
200924,-1.380026622,3.38908247,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901,-0.538634568,-0.879839405,-0.697872895,0.898281022,-0.841863365,-0.232543257
201009,-0.880020409,-0.918780763,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901,-0.538634568,-0.879839405,-0.697872895,0.898281022,-0.841863365,-0.232543257,-0.52439661,1.08253633
201016,-1.289861968,-0.003062131,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901,-0.538634568,-0.879839405,-0.697872895,0.898281022,-0.841863365,-0.232543257,-0.52439661,1.08253633,-0.421248977,0.069877708
201023,-1.151375827,0.50589982,-1.00845665,-0.018008652,-0.859891376,0.806531945,-0.712926307,1.321784646,-0.530445377,0.20301953,-0.32346637,0.626859901,-0.538634568,-0.879839405,-0.697872895,0.898281022,-0.841863365,-0.232543257,-0.52439661,1.08253633,-0.421248977,0.069877708,-0.561927513,0.307239143
