time,feature_0,feature_1,feature_2,feature_3,feature_4
200922,-0.827019852,0.011948773,0.022849194,-0.002000193,5.66E-05
200923,-0.797204414,0.152412349,0.023102076,-0.007913817,-2.22E-05
200924,-0.847730317,-0.231574442,0.020673704,0.000973928,5.63E-05
200925,-0.740946495,0.422413427,0.032744299,-0.022233576,-2.09E-05
200928,-0.798798663,0.054542769,0.015156218,0.009077049,-2.47E-05
200929,-0.720288721,0.205051136,0.029651455,-0.015859734,-2.19E-05
200930,-0.630972292,0.824866893,0.020821998,-0.001867946,-2.26E-05
201009,-0.498679924,0.93779471,0.022850686,-0.000851182,5.71E-05
201012,-0.493938281,0.174828811,0.017796144,0.005743924,-2.44E-05
201013,-0.533222329,-0.32431975,0.021221695,0.000558851,5.62E-05
201014,-0.454299297,0.503510907,0.022245147,-0.000218884,5.68E-05
201015,-0.410326233,0.269831479,0.024587215,-0.003751965,5.69E-05
201016,-0.419453011,0.029180573,0.02078973,0.001613479,5.64E-05
201019,-0.517808959,-0.26989,-0.000898213,0.026791428,-2.47E-05
201020,-0.506041666,-0.207547713,0.01547369,0.009091093,5.57E-05
201021,-0.576290841,-0.35991691,0.001021343,0.011464475,-2.07E-05
201022,-0.631543768,-0.550833975,0.017466836,0.005496274,-2.48E-05
201023,-0.554658162,0.244812725,0.03008398,-0.012018848,5.74E-05
201026,-0.490440808,0.327256992,0.035979201,-0.020488747,5.81E-05
201027,-0.556634422,0.254155928,0.002368459,0.027287915,-2.55E-05
201028,-0.611741558,-0.774038643,0.022014946,-0.003022282,-0.000104593
201029,-0.571810618,0.169058887,0.02079163,-0.01087602,6.03E-05
201030,-0.584165867,0.177266903,0.005890137,0.004724283,-1.99E-05
201102,-0.65642929,-0.541389231,-0.001775213,0.020006955,-0.000103164
201103,-0.686744075,-0.604362108,0.022799776,-0.002175909,5.62E-05
201104,-0.705469395,0.013361251,0.012218296,0.007541959,-2.32E-05
201105,-0.656076288,0.032553747,0.02990406,-0.012057362,5.73E-05
201106,-0.54945938,0.636851925,0.031863387,-0.020511692,-2.09E-05
201109,-0.426165941,1.05603069,0.022974614,-0.00702552,-2.15E-05
201110,-0.431815101,0.211728723,0.015885635,0.008902309,5.60E-05
201111,-0.3133969,0.443798079,0.024749215,-0.0222749,-1.79E-05
201112,-0.15011968,0.844148537,0.041482834,-0.037811728,-1.86E-05
201113,-0.07081293,1.276755482,0.00793351,0.016391684,5.75E-05
201116,-0.15298662,-0.726306925,0.019391005,-0.003434282,-0.000103355
201117,-0.102013427,0.065074244,0.034165684,-0.018208693,-2.27E-05
201118,0.056449594,1.170378311,0.027457698,-0.007359896,-2.27E-05
201119,0.310829451,1.28774602,0.047514093,-0.035501196,5.97E-05
201120,0.229605715,0.31793152,0.005893129,0.022572329,5.56E-05
201123,-0.041850754,-1.808684037,0.009883292,0.011325648,5.58E-05
201124,0.223239333,0.962297578,0.04354257,-0.036487951,-0.000100162
201125,0.081290789,-0.113517723,0.00641998,0.020530091,-2.50E-05
201126,0.114176389,-0.385922451,0.039447834,-0.021499556,-2.38E-05
201127,0.110138523,0.0980825,0.029178434,-0.012562304,-2.26E-05
201130,-0.148031361,-1.365521864,0.016993959,0.009012051,-0.000106844
201201,-0.105865071,-0.092919581,0.031504646,-0.013695544,5.73E-05
201202,0.07132091,1.07033223,0.035436356,-0.018587185,-2.22E-05
201203,0.10439808,0.438967875,0.025983675,-0.004927427,5.71E-05
201204,0.074034864,-0.142891331,0.009593406,-0.012344778,-1.60E-05
201207,0.028129824,-0.003359464,0.00829476,0.019523052,5.54E-05
201208,-0.094599171,-0.889941403,0.013391342,0.011242787,5.54E-05
201209,-0.096969488,-0.188264856,0.020252104,0.001717574,-0.00010477
201210,-0.187397745,-0.740049154,0.026480653,-0.009906002,-0.000103872
201211,-0.071143629,0.755400532,0.026336931,-0.006455433,-0.000103614
201214,-0.155905225,-0.019928544,-0.002735619,0.027215957,-2.38E-05
201215,-0.311398262,-1.194940868,0.007746743,0.013768247,-2.44E-05
201216,-0.375587786,-0.661265502,0.018384356,0.001227468,-0.000104453
201217,-0.267799393,0.520627585,0.025589351,-0.011012808,-2.16E-05
201218,-0.265317556,0.522290207,0.002527674,0.024456146,-0.000105019
201221,-0.406010573,-1.02188376,0.008536601,0.014829405,-0.000105482
201222,-0.555110313,-1.128619972,0.014995139,0.009046749,5.51E-05
201223,-0.572717817,-0.456305942,0.029148106,-0.011188655,5.69E-05
201224,-0.505384678,0.54374986,0.02438289,-0.003390127,5.70E-05
201225,-0.5757665,-0.024366681,0.000910978,0.024240926,-2.43E-05
201228,-0.543140875,-0.336619591,0.024963533,-0.017306575,6.04E-05
201229,-0.527994512,0.246190174,0.017595233,-0.006080969,6.00E-05
201230,-0.62998696,-0.455900147,0.009752808,0.010914154,-2.37E-05
201231,-0.518497303,2.53128946,-0.078332778,0.135917336,5.19E-05
210104,-0.525229372,-1.946903608,0.017815283,-0.014186581,-2.00E-05
210105,-0.696121389,-0.585714272,-0.006677812,0.036735798,-2.60E-05
210106,-0.700775012,-0.666680664,0.023830528,-0.005480865,-2.38E-05
210107,-0.785230405,-0.467976802,0.015953126,0.003096158,-2.35E-05
210108,-0.729433785,0.190730501,0.026265539,-0.007715121,5.73E-05
210111,-0.680708322,0.634113886,0.013369316,0.012532249,5.60E-05
210112,-0.782684275,-0.364012762,-0.004030575,0.030921723,-2.50E-05
210113,-0.906087408,-0.994674534,0.00227694,0.021056372,-2.47E-05
210114,-0.84885684,-0.428423411,0.039959618,-0.032081104,-2.11E-05
210115,-0.660131748,1.418201153,0.035611634,-0.023356212,-0.000101344
210118,-0.47594065,1.098353082,0.044445134,-0.041192755,6.21E-05
210119,-0.48983289,0.407816252,0.026767675,-0.006955275,5.72E-05
210120,-0.566246153,-0.205181223,0.010459992,0.011639409,-2.39E-05
210121,-0.655952269,-0.57004611,0.009858724,0.015338254,5.54E-05
210122,-0.605936956,0.25958653,0.013110894,0.011754893,5.61E-05
210125,-0.51803749,0.296813825,0.027431299,-0.010768815,-2.26E-05
210126,-0.252259321,1.971808252,0.01938594,0.001123424,-2.20E-05
210127,-0.213732839,0.666716244,0.002995401,0.024446456,5.62E-05
210128,-0.023790205,0.690382416,0.033297493,-0.016368608,-2.24E-05
210129,-0.055055503,0.167828824,0.011727116,0.005849517,-2.21E-05
210201,-0.164307707,2.575315154,0.016371114,0.01030673,5.74E-05
210202,-0.21311544,-0.489651683,0.026895103,-0.01358241,-2.21E-05
210203,0.049744983,1.162169861,0.05318361,-0.052426208,-1.79E-05
210204,0.175635661,1.365232952,0.026428677,-0.015682846,6.10E-05
210205,0.177634671,0.208885749,0.023286285,-0.002281084,-2.36E-05
210208,0.241389454,0.215277972,0.031201174,-0.017967064,5.91E-05
210209,0.175321271,-0.207370015,0.023477616,-0.00064243,5.61E-05
210210,0.259055435,0.32947404,0.024078162,-0.020550081,-1.81E-05
210218,0.355752516,1.051678607,0.010329081,0.018781581,5.59E-05
210219,0.172641529,-1.208583481,0.015602617,0.009150903,5.51E-05
210220,0.156876285,-0.22280282,0.016454357,0.00241879,-2.30E-05
210222,0.208445093,0.31470571,0.019321163,0.004877258,5.63E-05
210223,0.145049418,-0.300061108,0.013893868,0.011038013,-2.48E-05
210224,0.09567904,-0.563602231,0.023613594,-0.008390592,-2.25E-05
210225,0.136014789,0.38882045,0.015653968,0.004006574,-2.27E-05
210226,0.161112301,-0.08319805,0.025735089,-0.017232606,6.05E-05
210301,0.05093173,-0.126798929,0.013407666,0.011987091,5.58E-05
210302,0.028659328,-0.439212333,0.027155127,-0.010360931,5.76E-05
210303,0.031374615,0.065213055,0.02498972,-0.00409949,-2.38E-05
210304,0.096372549,0.436510969,0.024139633,-0.002243536,5.69E-05
210305,-0.044912014,-0.519136688,0.005191194,0.024569536,5.45E-05
210308,-0.058803139,-0.367008706,0.013367634,0.002558715,-2.21E-05
210309,0.014367021,0.379175684,0.019490018,-0.001045245,5.81E-05
210310,-0.048138333,-0.200618549,0.012387632,0.014271536,5.54E-05
210311,0.014404169,0.171555134,0.023599738,-0.001765952,5.67E-05
210312,0.034619562,0.07311616,0.023779236,-0.008255534,-2.21E-05
210315,0.118305377,0.665971719,0.020187036,0.003737786,-0.000104593
210316,0.073522345,-0.233968241,0.018624389,0.00530038,5.60E-05
210317,0.008733291,-0.472693517,0.020942821,0.001641086,5.61E-05
210318,0.050561873,0.27889156,0.018925449,0.004212319,5.66E-05
210330,-0.250579157,-2.072749951,0.024035928,-0.010611895,-2.33E-05
210331,-0.217882848,1.360230616,-0.033589157,0.082417788,5.18E-05
210401,-0.283158519,-1.414297627,0.015977743,0.001609176,-2.37E-05
210402,-0.278517101,-0.16008446,0.025524702,-0.005247174,5.67E-05
210406,-0.213932797,0.464392297,0.020534931,-0.003583022,-2.21E-05
210407,-0.191822349,0.182780478,0.022443918,-0.000365004,5.66E-05
210408,-0.195378456,0.007185023,0.021238542,0.001264986,-0.00010485
210409,-0.271795904,-0.3960988,0.01596743,0.008569388,5.56E-05
210412,-0.326712092,-0.468214065,0.020414293,0.001932916,5.60E-05
210413,-0.535710504,-1.238322879,0.012043831,0.013064265,-2.58E-05
210414,-0.531455533,-0.044301043,0.013415011,0.01218497,5.56E-05
210415,-0.47077385,0.180063622,0.024563642,-0.00387043,5.68E-05
210416,-0.458128647,0.312585436,0.013924684,0.011559151,-2.47E-05
210419,-0.521044515,-0.355995271,0.009891998,0.013662332,-0.000105094
210420,-0.568407856,-0.423917857,0.015738711,0.007960816,-0.000105461
210421,-0.572627501,-0.105506119,0.016102133,0.001966042,-2.29E-05
210422,-0.554124871,0.134547242,0.018519582,0.004816538,5.62E-05
210423,-0.524285736,-0.039095098,0.029026002,-0.013850768,-2.25E-05
210425,-0.405140514,0.959154492,0.020515825,-0.003469513,-2.18E-05
210426,-0.387348104,0.13621186,0.021624202,-0.005666731,-2.22E-05
210427,-0.409253801,-0.196450877,0.027256263,-0.007995355,5.69E-05
210428,-0.461695825,-0.13572378,0.013560909,0.005821227,-2.32E-05
210429,-0.458198073,-0.149883801,0.023067777,-0.005368805,5.76E-05
210430,-0.472009801,0.395405857,0.000980637,0.03102766,-2.60E-05
210506,-0.543521078,-0.756741217,0.014767805,0.008678806,-0.000105605
210507,-0.586896445,-0.408386625,0.016530283,0.001097725,-2.30E-05
210508,-0.63256514,-0.281524416,0.014484652,0.004116659,-2.31E-05
210510,-0.707825147,-0.239624775,0.001362177,0.023975163,-0.000105242
210511,-0.743418264,-0.525061804,0.014458844,0.00455816,5.71E-05
210512,-0.694288787,0.058687708,0.029113914,-0.011679633,-2.32E-05
210513,-0.596618646,1.026190805,0.01308297,0.013112042,-2.43E-05
210514,-0.651753733,-0.460458101,0.019420056,0.002923361,5.60E-05
210517,-0.530568325,0.718671811,0.023816973,-0.00296519,-0.000103991
210518,-0.58704123,-0.158259239,0.014538019,0.00988439,-0.00010542
210519,-0.663851564,-0.54362727,0.012748359,0.006419507,-2.35E-05
210520,-0.74084456,-0.44562188,0.010409553,0.014995667,5.54E-05
210521,-0.786590005,-0.431039276,0.015355441,0.00795349,-2.48E-05
210524,-0.721185965,0.344685095,0.020252574,0.00219403,5.65E-05
210525,-0.71569742,0.289058949,0.006416293,0.016215349,-2.36E-05
210526,-0.76398834,-0.571615666,0.015657022,-0.004184762,5.93E-05
210527,-0.683157208,0.495220679,0.023635367,-0.002588985,5.70E-05
210528,-0.617221759,0.590222663,0.018371574,0.00527506,5.65E-05
210531,-0.606689794,0.175111302,0.014314345,0.009931756,5.61E-05
210601,-0.661891519,-0.466415313,0.019592224,0.002652532,5.60E-05
210602,-0.614614476,0.110990602,0.029021097,-0.010648615,5.73E-05
