time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
220329,-1.714882255,0.378837848,-1.60265766,0.796553968,-1.68265099,-0.143682698,-1.720485153,-0.338100256,-1.730570871,-0.541646339,-1.633996712,0.88923928,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817
220330,-1.60265766,0.796553968,-1.68265099,-0.143682698,-1.720485153,-0.338100256,-1.730570871,-0.541646339,-1.633996712,0.88923928,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279
220331,-1.68265099,-0.143682698,-1.720485153,-0.338100256,-1.730570871,-0.541646339,-1.633996712,0.88923928,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451
220401,-1.720485153,-0.338100256,-1.730570871,-0.541646339,-1.633996712,0.88923928,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411
220402,-1.730570871,-0.541646339,-1.633996712,0.88923928,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858
220406,-1.633996712,0.88923928,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738
220407,-1.587745773,0.243874984,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115
220408,-1.81697612,-0.620664222,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657
220411,-2.022198634,-2.345097578,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364
220412,-1.716870161,1.702400365,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547
220413,-1.8839952,0.091660608,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734
220414,-1.935274877,-1.017218591,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802
220415,-1.874706001,0.118290029,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242
220418,-1.819768085,0.65712255,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275
220419,-1.719394556,0.829478281,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494
220420,-1.721110134,-0.069167233,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744
220421,-1.761346927,-0.021241104,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166
220422,-1.72619064,-0.047080551,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818
220424,-1.683761553,0.336340042,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405
220425,-1.70794653,-0.031236817,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479
220426,-1.761490233,-0.384679279,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108
220427,-1.770356709,0.134511451,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638
220428,-1.852493673,-0.750269411,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119
220429,-1.873493753,0.018064858,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792
220505,-1.879440812,-0.363817738,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593
220506,-1.913318868,-0.075098115,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115
220509,-1.901699587,-0.043071657,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755
220510,-1.868121806,0.273415364,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237
220511,-1.858597931,0.13705547,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628
220512,-1.87947041,-0.094499734,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759
220513,-1.947122989,-0.622312802,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049
220516,-2.034587596,-0.419114242,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464
220517,-1.832899169,1.192237275,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133
220518,-1.86524422,-0.085081494,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992
220519,-1.817915386,0.462130744,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992,-2.259123091,-0.068932288
220520,-1.880363883,-0.340572166,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992,-2.259123091,-0.068932288,-2.24699823,0.394441888
220523,-1.843336269,0.098123818,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992,-2.259123091,-0.068932288,-2.24699823,0.394441888,-2.329790217,-0.636557244
220524,-1.847742418,0.110967405,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992,-2.259123091,-0.068932288,-2.24699823,0.394441888,-2.329790217,-0.636557244,-2.249139063,0.300819882
220525,-1.978587995,-0.513739479,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992,-2.259123091,-0.068932288,-2.24699823,0.394441888,-2.329790217,-0.636557244,-2.249139063,0.300819882,-2.22990073,0.448456054
220526,-1.953536787,-0.411453108,-1.844467707,0.743672638,-1.752815957,0.719051119,-1.821705778,-0.199499792,-1.857300108,0.182198593,-1.858475173,0.033920115,-1.935272147,-0.305923755,-2.047960402,-1.045802237,-1.969831285,0.333923628,-2.105145374,-0.651930759,-2.117154132,-0.526542049,-2.167960874,0.047956464,-2.211885485,-0.679036133,-2.279814412,-0.47733992,-2.259123091,-0.068932288,-2.24699823,0.394441888,-2.329790217,-0.636557244,-2.249139063,0.300819882,-2.22990073,0.448456054,-2.38464655,-1.113226114
