,val,buy,sell,avg,per,feature_0,feature_1,feature_2,feature_3,feature_4
92,2.4666,2.4433,2.497,2.4702,-0.010549962,-0.6920166621863739,-0.7321484439326695,-0.0370930968060576,-0.04132946628988558,8.895879442552082e-05
93,2.5142,2.4911,2.547,2.5191,0.019297819,-0.4767476386481544,1.3501331074863792,-0.034575004777789464,-0.0486216033060463,9.208556835218576e-05
94,2.5455,2.5225,2.5721,2.5473,0.012449288,-0.36760442104944424,0.8705802892382454,-0.030973975986243688,-0.03849675511591459,6.7628714502064106e-06
95,2.5518,2.5143,2.5727,2.5435,0.002474956,-0.3804943649639583,0.17411891593877526,-0.05207807768252176,-0.029924942161225366,1.0925211154667415e-05
96,2.541,2.513,2.57,2.5415,-0.004232307,-0.40234671299567815,-0.29413944913920065,-0.04280738862663486,-0.04039580559139071,1.0503610036650492e-05
97,2.5475,2.514,2.569,2.5415,0.002558048,-0.39059137045972925,0.18002443709949423,-0.04593716568812106,-0.030506648524170777,8.964045957760937e-06
98,2.491,2.4692,2.5297,2.4994,-0.022178606,-0.5904009744450054,-1.5455074223229623,-0.041544936577413816,-0.05208700232125234,-6.807111829962761e-05
99,2.5085,2.4829,2.54,2.5114,0.007025291,-0.5146292931050258,0.49339753098242256,-0.03933662725784742,-0.045306033411979516,-6.92205325895969e-05
100,2.5444,2.5171,2.565,2.5411,0.014311341,-0.3856860489933993,1.0008587931058217,-0.03375496106629611,-0.030154645280527737,8.590278507572083e-05
101,2.5162,2.4938,2.55,2.5219,-0.011083163,-0.49025911296961233,-0.7716680393031179,-0.03778313308464737,-0.04624188056075122,1.0118318611663603e-05
102,2.5125,2.4896,2.5479,2.5188,-0.001470471,-0.49564002479603175,-0.10021321706375098,-0.03851051410877998,-0.04988993065779783,9.265305009556005e-05
103,2.4979,2.4744,2.533,2.5037,-0.005810945,-0.5580868909699266,-0.402667218786099,-0.03989095283836325,-0.04892403324769705,1.1950604230893482e-05
104,2.4643,2.4313,2.4719,2.4516,-0.013451299,-0.7515373035763595,-0.9340611123910616,-0.03806395007468971,-0.007736217665191658,-1.7734114370106732e-06
105,2.4724,2.4531,2.5013,2.4772,0.003286937,-0.6545770942967089,0.23385546911902008,-0.027855836343209487,-0.040474407118660724,5.660811341702078e-06
106,2.4897,2.46,2.5179,2.4889,0.00699725,-0.5998494272453225,0.49241419374595496,-0.043915632990350895,-0.04071116487024233,-6.905903117535492e-05
107,2.5521,2.5159,2.5775,2.5467,0.025063261,-0.35297307622575325,1.7514718011614911,-0.05023284624057073,-0.03934703598995219,1.445976341087988e-05
108,2.5554,2.5038,2.57,2.5369,0.001293053,-0.39743064174665044,0.09180728454655614,-0.0710717213210112,-0.021523118328326474,1.4904410924799584e-05
109,2.5373,2.5125,2.5688,2.5406,-0.00708304,-0.410804856892911,-0.49316506363873513,-0.03961927762572487,-0.04348493410826619,-7.044875303272488e-05
110,2.5636,2.5063,2.56,2.5331,0.010365349,-0.39334339310348376,0.7254555617892006,-0.06708675734196484,0.004039786752609809,-7.439631589776138e-05
111,2.577,2.5425,2.6025,2.5725,0.005227024,-0.2675685247920665,0.3650502098177371,-0.04981722159187435,-0.0368872387272972,1.2459880379257306e-05
112,2.582,2.5429,2.6,2.5714,0.001940241,-0.26837130322592806,0.1355186317985036,-0.05271437193571654,-0.025644380533325118,-7.077343575521053e-05
113,2.5947,2.563,2.6256,2.5943,0.004918668,-0.18577720660179686,0.34257694946076983,-0.04882038405125194,-0.04467544305665298,1.4502305404363404e-05
114,2.5753,2.5463,2.605,2.5756,-0.00747678,-0.26994804408736073,-0.5222371329846364,-0.04518689660675784,-0.04109606521508673,-6.921329137441387e-05
115,2.5686,2.5406,2.6,2.5703,-0.002601639,-0.2885270463880598,-0.18153066948857083,-0.044110070379202726,-0.04418072011157252,1.2245627041519248e-05
116,2.4101,2.385,2.4416,2.4133,-0.061706766,-0.9564211649946461,-4.302199676084984,-0.04720786829178708,-0.03670052500229341,7.44106177188545e-06
117,2.4231,2.3966,2.4559,2.4263,0.005393967,-0.852454003070612,0.3832609715906515,-0.042186279345095945,-0.047149070807518664,9.336816464069567e-05
118,2.5245,2.395,2.4438,2.4194,0.041847221,-0.7440441678414214,2.928553857087016,-0.12994591600750288,0.10920941424348425,-2.327349921204168e-06
119,2.42,2.3959,2.4488,2.4223,-0.041394336,-0.9039249121875894,-2.8840739855959994,-0.041278867989870294,-0.035106970841537286,-7.455491350880547e-05
120,2.4395,2.4294,2.4729,2.4511,0.008057851,-0.7604974215353533,0.5682391897778154,-0.015377208281453784,-0.047008402846231465,-7.707469554205557e-05
121,2.4445,2.405,2.4613,2.4331,0.0020496,-0.8136178947715305,0.149296708955648,-0.053096828199293566,-0.023883422888981754,-7.135572332004256e-05
122,2.4677,2.4397,2.4918,2.4658,0.009490693,-0.6882102268185779,0.6675639014067393,-0.0381358333800485,-0.034817301331353565,8.84773521365965e-05
123,2.466,2.4367,2.492,2.4644,-0.000688901,-0.702040108695245,-0.043270254265914396,-0.04277716944908788,-0.0364842365047902,9.00186905763665e-05
124,2.4755,2.445,2.4988,2.4719,0.003852393,-0.6667796867706137,0.2735254336545853,-0.04236052544615937,-0.03310022334699307,8.49084574674567e-06
125,2.4451,2.4263,2.4788,2.4525,-0.012280347,-0.7668221671442765,-0.852181562483036,-0.03226370498059,-0.045620275610147185,-7.277643829526245e-05
126,2.4572,2.4254,2.4813,2.4533,0.004948673,-0.7389749314900484,0.3509097237268317,-0.044981819185152705,-0.03450850197633985,-7.074662312909116e-05
127,2.4876,2.4414,2.4956,2.4685,0.012371805,-0.658212332544224,0.8685297650497459,-0.05673139912985298,-0.012622057402376142,7.730949206608918e-06
128,2.46,2.4425,2.49,2.4663,-0.011095031,-0.7105004361734988,-0.7700255713293038,-0.02741908071731775,-0.04019657028709793,8.520363504740483e-05
129,2.4752,2.4475,2.4938,2.4706,0.006178862,-0.6689870192720537,0.43604133979325155,-0.034359238385263946,-0.026134475345510878,-7.691396365514433e-05
130,2.4837,2.4471,2.4975,2.4723,0.003434066,-0.6578248683519039,0.24423737838955706,-0.04599705971430529,-0.01937867903203432,5.544436117800124e-06
131,2.4797,2.4497,2.4989,2.4743,-0.0016105,-0.6598118739566736,-0.10810219627948998,-0.0394365557787108,-0.02626666555061301,5.074152749996265e-06
132,2.4742,2.4463,2.495,2.4706,-0.00221801,-0.6765770874616059,-0.1503528129046638,-0.03718196489165643,-0.028382464400376107,-7.572504893313867e-05
133,2.4708,2.4409,2.4988,2.4698,-0.001374182,-0.6816539365428387,-0.09136418730271316,-0.04519683429558102,-0.03938214258750476,-6.952397930046669e-05
134,2.4588,2.4321,2.4879,2.46,-0.004856727,-0.7253562102766082,-0.33411985618562023,-0.04114719629985503,-0.04035141771535104,9.766952451052226e-06
135,2.4642,2.435,2.49,2.4625,0.002196193,-0.7070775602642367,0.15829500796462934,-0.04215339305334792,-0.03651419502987045,9.3537770864636e-06
136,2.4576,2.435,2.49,2.4625,-0.002678354,-0.7174227341470232,-0.18207736725580248,-0.03638735465804194,-0.04521198174392231,9.720303731498382e-06
137,2.4642,2.4363,2.4941,2.4652,0.002685547,-0.6987005167669285,0.19236984907361182,-0.042714817989703835,-0.04258258232978167,1.1434553254719794e-05
138,2.4576,2.435,2.4925,2.4638,-0.002678354,-0.713675075847723,-0.1821233666282025,-0.03804783795444194,-0.048962480875922185,9.206598393143398e-05
139,2.434,2.4225,2.4766,2.4496,-0.009602865,-0.7844628999609125,-0.6650082567472687,-0.025965852041869245,-0.058679234332312855,9.040524989580948e-05
