time,val,cmax,avg,std,rc,rc2,rc3
160118,3130.73,0.997224465,0.952193576,0.021047518,0,0,-2.139486905
160119,3223.13,1,0.953643148,0.023290372,0,0,-1.99038694
160120,3174.38,1,0.954869955,0.025077879,0,0,-1.799595768
160121,3081.35,0.997707259,0.956268191,0.026679225,0,0,-1.553233568
160122,3113.46,1,0.960392027,0.026749345,0,0,-1.48070813
160125,3128.89,0.990027037,0.963895721,0.025744122,0,0,-1.015040117
160126,2940.51,0.999120892,0.967527931,0.025307796,0,0,-1.248348966
160127,2930.35,1,0.969524201,0.02624619,0,0,-1.161151343
160128,2853.76,1,0.971167725,0.027103509,0,0,-1.063783831
160129,2946.09,0.980015877,0.972736921,0.02663455,0,0,-0.273289985
160201,2901.05,0.982758962,0.974314038,0.026223892,0,0,-0.322031668
160202,2961.33,1,0.977586255,0.025058931,0,0,-0.894441409
160203,2948.64,0.980015231,0.979692597,0.023251819,0,0,-0.013875632
160204,2984.76,1,0.98296404,0.021069676,0,0,-0.808553493
160205,2963.79,0.990481302,0.985953268,0.017138174,0,0,-0.264207525
160215,2946.71,0.99769789,0.987971532,0.015924078,0,0,-0.61079566
160216,3037.04,0.979135188,0.989280016,0.013834293,0,0,0.733310136
160217,3063.32,0.999515998,0.991722973,0.010588059,0,1,-0.736020245
160218,3053.7,0.967609125,0.991661959,0.010729498,1,0,2.241748281
160219,3051.59,0.971332214,0.991632072,0.010788027,0,0,1.881702564
160222,3118.87,1,0.991770849,0.010881203,0,0,-0.75627217
160223,3089.36,1,0.991770849,0.010881203,0,0,-0.75627217
160224,3109.55,0.984806113,0.991011154,0.01080657,0,0,0.574191562
160225,2918.75,0.995068539,0.990879218,0.010736395,0,0,-0.39019803
160226,2948.03,1,0.990879218,0.010736395,0,1,-0.849519922
160229,2877.47,0.942812621,0.988518498,0.01519755,1,1,3.007450332
160301,2930.69,0.939555031,0.985540205,0.018490326,1,1,2.486985608
160302,3051.33,0.91499806,0.981290108,0.023953675,1,0,2.767510488
160303,3058.42,0.944601731,0.978520194,0.024862063,0,0,1.364265861
160304,3093.89,0.930160603,0.97602743,0.027102589,0,0,1.692341156
160307,3104.84,0.949488116,0.974363888,0.027682534,0,0,0.898608937
160308,3107.67,0.945419335,0.971634855,0.027712581,0,0,0.945979036
160309,3071.91,0.957000452,0.970484116,0.027823888,0,0,0.484607462
160310,3013.15,0.950276863,0.967997959,0.02726356,0,0,0.649992
160311,3018.28,0.944800521,0.96571392,0.027194249,0,0,0.769037578
