feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
1.66055506,1.555650072,0.452122584,-0.177608382,0.474517509,-0.538520629,0.11799471,0.54556654,-0.655331337,-0.894335687,0.024544161
2.029029971,1.420766816,0.315260125,-0.173741062,0.471957488,-0.749611794,0.215986073,0.394537216,-0.626201225,-0.955257148,0.055112808
2.801946975,1.50882926,-0.347825568,-0.184725129,0.541905892,-1.366959619,0.307689359,0.092529768,-0.547092399,-1.001294504,0.088101307
3.346047822,0.335989499,-0.124656421,0.140549623,0.77592896,-0.973789305,-0.344891084,-0.059368049,-0.078521845,-0.499924717,0.05251695
3.04793903,0.083454559,-0.113708211,0.589039637,0.495210361,-0.510722446,-0.344065674,-0.497402416,0.006084676,0.003507042,0.145046199
3.767050278,-0.198964613,-0.414509487,0.616603936,0.656614034,-0.904034163,-0.385076514,-0.679503246,0.190566287,0.054633921,0.139075538
4.323249004,-0.745925789,-0.952735843,1.268153583,0.526984437,-0.908395258,-0.449517288,-1.281013661,0.490427483,0.677264544,0.274037118
4.225439079,-1.310542072,-1.187845786,2.098825142,0.166375495,-0.427436562,-0.412660554,-1.5956041,0.690800685,1.267660693,0.469785323
4.507500282,-1.360252176,-1.376608708,2.122360637,0.229389791,-0.545650427,-0.476304943,-1.733752716,0.784564279,1.336113549,0.389667993
6.392639724,-1.281929197,-2.639541712,2.046630535,0.881427298,-2.063178618,-0.665057827,-2.362518777,1.273391816,1.726058222,0.242078281
6.738481894,-1.88172707,-3.202997555,2.883722713,0.761041254,-1.834694258,-0.867918645,-2.536923166,1.668191646,2.31167385,0.341351046
5.128649186,-3.225927821,-5.286183457,7.842067323,-1.08043032,-0.043467313,0.552363301,1.17474419,1.640384939,1.107244511,0.511542479
5.821922752,-5.267184005,-8.482694227,12.57486026,-2.732426029,0.680133445,1.813063628,4.389330233,1.985461729,-0.433039595,-0.00367333
6.567776826,1.699203432,-3.624099846,1.272420894,3.291199616,-5.051468736,-0.935482189,-0.901756422,1.612190947,1.956621048,0.516048342
1.405059276,0.60047215,0.900622852,0.545454137,3.125031624,-1.690082679,-1.888208244,1.88446514,0.072480631,-1.029683401,-0.092254697
0.862137016,0.86384202,1.020848535,0.60949185,2.947353021,-1.515523654,-1.637485773,1.845209069,-0.132353843,-1.001041698,-0.069633227
1.895988677,0.698082557,0.436200734,0.492106743,2.994000204,-2.06233929,-1.635502092,1.491309177,-0.012145223,-1.126533741,-0.043639469
1.34957849,0.347410773,0.609294639,0.972473827,2.511310262,-1.2883528,-1.589962896,0.853343981,0.020405827,-0.461394021,0.250705676
1.306603809,0.451013948,0.580811109,1.004827005,2.465156757,-1.343450883,-1.459867355,0.78024798,-0.02984227,-0.475118619,0.224696188
1.051912719,0.665646363,0.541629839,1.036216765,2.347288263,-1.237465701,-1.373987792,0.723874247,-0.111327421,-0.455110206,0.217411908
1.165261302,0.959822128,0.166030691,1.012904802,2.073332496,-1.367737345,-1.080245636,0.390503139,-0.293265247,-0.565387612,0.26147085
-0.290091081,1.565815071,0.392695805,1.244268993,1.580478035,-0.521891452,-0.925571431,0.39678104,-0.600138689,-0.350720347,0.312667445
-0.463772606,1.594409929,0.540227359,1.37681376,1.534019571,-0.678885224,-0.538739111,0.349314916,-0.711796398,-0.338774546,0.347391903
-0.86236197,1.940125609,0.553074001,1.46370194,1.58685566,-0.748082304,-0.406652937,0.431799626,-0.743388792,-0.247398296,0.272576995
-0.772660559,1.853911713,0.433573704,1.437395322,1.390902714,-0.674882987,-0.320324688,0.234328218,-0.791082016,-0.314224327,0.30538535
-0.118460192,1.734869466,0.06131964,1.322651278,1.172924701,-0.966612097,-0.041606609,-0.118974714,-0.899326699,-0.596485831,0.360145532
0.083658076,1.762448588,-0.105019215,1.280017015,1.174655429,-1.143647954,0.026225291,-0.152407874,-0.898290194,-0.688940226,0.367675864
-0.470542185,2.138850881,-0.196617355,1.367870388,0.960032813,-0.742842118,-0.043165489,-0.177063089,-0.955288813,-0.587833943,0.383365078
-0.595115705,2.113565042,-0.193587619,1.430791888,0.712915313,-0.552810869,0.088335048,-0.383079528,-1.04621064,-0.577966178,0.412855053
-1.479204356,2.508422791,-0.350090667,1.663197245,0.330837157,0.208709054,-0.148521355,-0.440576773,-1.150952908,-0.251355056,0.43592881
-2.257657141,3.033198661,-0.399794044,2.224050686,0.323079076,0.009892076,0.443630934,-0.235259232,-1.318796119,-0.002738708,0.461190233
-0.486941539,1.094356675,-0.069894916,2.068449691,-0.300570847,-0.105196195,1.028148306,-1.795411405,-1.301881032,-0.178613289,0.423470139
-0.464809266,1.413836623,-0.508696519,1.986902962,-0.402926779,0.176697213,0.636610722,-1.778285504,-1.27114983,-0.214148039,0.400576163
