price,settle,per,jc,gse,iv,cjl,cje,ccl
0.5968457,-0.2043395,0.014296261,-0.28756416,0.28007028,0.2002045,0.5170535,0.021547362,0.76000357
0.19075127,-0.056731753,-0.001920696,-0.1119816,0.12784526,0.000882633,-0.021071061,0.000143711,-0.054694794
0.1962463,-0.07558918,0.002387146,-0.15636595,0.17938724,0.015045768,-0.033911616,0.001727264,0.05414349
0.121165045,0.005279884,0.013339281,0.03610866,-0.058714785,-0.03128352,0.5018846,0.027521793,0.018654758
0.25806275,0.3326927,0.00507295,0.14825328,0.019344617,0.012452425,-0.014015912,-0.001647815,0.061558276
0.83488834,-0.22231269,0.001255457,-0.45170087,0.52509433,0.040746845,-0.026034186,0.001155928,0.2314347
0.4064408,0.21444173,0.001871711,-0.014069382,0.17795838,0.008349208,-0.081360675,-0.001526341,-0.03458565
0.21521904,0.60139346,0.014077246,0.46923187,-0.26962247,-0.06567218,-0.09179216,0.005329594,-0.15797791
0.027905852,0.25299978,0.001110325,0.18082455,-0.095023125,-0.004248003,-0.04922627,-0.000730988,-0.06628879
0.04653611,0.22396365,0.002772237,0.1648882,-0.09100725,-0.025231604,-0.048939772,-0.002212435,-0.06975616
0.07900423,0.5905618,0.002505101,0.40661156,-0.18771449,-0.02090156,-0.095435,0.000153091,-0.13765565
0.06451963,0.42888,0.013176769,0.37127432,-0.266526,-0.035412535,-0.032038175,0.010783434,-0.17600223
-0.00127699,0.18798098,0.003801362,0.14820635,-0.09349786,-0.008229448,-0.04673188,-0.002470046,-0.06707537
0.17272905,-0.07743224,-0.004549838,-0.12610961,0.13539043,-0.013705025,-0.035666965,0.000100039,0.009028105
0.3656625,-0.15663294,0.001597646,-0.29327428,0.33549646,-0.027096337,-0.08563261,-0.004422844,-0.05537966
0.070459746,-0.047225323,0.006821836,0.011658501,-0.05761064,-0.052237406,0.16298524,0.005761448,0.07079601
0.36958143,-0.15439864,-0.005072243,-0.32200995,0.38017166,0.009437045,-0.06535871,-0.003054492,0.004835287
-0.009637794,0.26584476,0.006771812,0.23932694,-0.17740655,-0.04459046,-0.09339588,-0.003273048,-0.13623038
-0.01133127,0.15493476,0.003099625,0.13214901,-0.0925845,-0.021082036,-0.046945125,-0.002444714,-0.06623822
-0.14270602,0.4863647,0.023097895,0.45989302,-0.34907556,-0.025614705,-0.15032363,-0.005630881,-0.20019194
-0.07297982,0.131468,0.000730087,0.12083988,-0.09194999,0.010410661,-0.04963331,-0.00180909,-0.06688249
0.032872535,-0.06345683,0.002626101,-0.05661786,0.03901153,-0.033198033,-0.039374333,-0.003241763,-0.070411764
0.5006258,-0.31343827,0.012405748,-0.29384986,0.20924726,0.14904934,0.9074019,0.039861865,0.8835323
0.09552268,-0.015941814,0.001084851,-0.14017537,0.21017389,0.03180196,-0.086399764,-0.002957664,-0.08201004
-0.07233668,0.09754145,0.000695339,0.10276641,-0.088606834,-0.025524834,-0.048588734,-0.001164492,-0.07018481
-0.1482286,0.02989339,-0.003078393,0.121450335,-0.17055722,-0.03265847,-0.072949246,-0.00176245,-0.11982414
-0.56174666,0.26386526,0.047473364,0.37759873,-0.40439105,-0.023613587,0.848386,0.047851782,-0.04491993
-0.052779205,0.000469249,0.001556553,0.036593307,-0.05578004,-0.03224104,-0.047673415,-0.000780709,-0.07620658
-0.038810354,-0.17325027,0.011746537,-0.083182834,-0.004740506,-0.013767747,0.11144356,0.006187867,0.04086055
0.121553086,-0.26901948,0.027292889,-0.14755681,0.014324969,-0.059314176,0.36997983,-0.005834118,0.5499754
-0.07202514,0.0844519,-6.35E-05,0.095759705,-0.087303266,-0.036995403,-0.047458075,-0.000886641,-0.06897949
-0.15057458,0.11014913,0.002805239,0.1527708,-0.16308369,-0.059926264,-0.0902443,-0.001537561,-0.13650599
